# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
IO, 91, 2026012212, 03, GENC,   0, 125S, 1182E,  41, 1001, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
IO, 91, 2026012212, 03, GENC,   6, 132S, 1186E,  43, 1000, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
IO, 91, 2026012212, 03, GENC,  12, 139S, 1189E,  45,  999, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
IO, 91, 2026012212, 03, GENC,  18, 146S, 1196E,  49,  997, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
IO, 91, 2026012212, 03, GENC,  24, 152S, 1202E,  52,  994, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
IO, 91, 2026012212, 03, GENC,  30, 157S, 1211E,  56,  992, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
IO, 91, 2026012212, 03, GENC,  36, 163S, 1219E,  60,  989, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
IO, 91, 2026012212, 03, GENC,  42, 169S, 1226E,  63,  987, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
IO, 91, 2026012212, 03, GENC,  48, 174S, 1233E,  66,  984, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
IO, 91, 2026012212, 03, GENC,  54, 179S, 1234E,  65,  985, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
IO, 91, 2026012212, 03, GENC,  60, 183S, 1236E,  64,  986, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
IO, 91, 2026012212, 03, GENC,  66, 189S, 1236E,  62,  988, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
IO, 91, 2026012212, 03, GENC,  72, 194S, 1237E,  60,  989, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
IO, 91, 2026012212, 03, GENC,  78, 202S, 1237E,  58,  990, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
IO, 91, 2026012212, 03, GENC,  84, 210S, 1236E,  57,  992, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
IO, 91, 2026012212, 03, GENC,  90, 221S, 1239E,  56,  992, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
IO, 91, 2026012212, 03, GENC,  96, 232S, 1242E,  55,  993, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
IO, 91, 2026012212, 03, GENC, 102, 242S, 1248E,  53,  994, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
IO, 91, 2026012212, 03, GENC, 108, 251S, 1253E,  51,  995, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
IO, 91, 2026012212, 03, GENC, 114, 252S, 1256E,  50,  996, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
IO, 91, 2026012212, 03, GENC, 120, 260S, 1265E,  48,  997, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
SH, 90, 2026012212, 03, GENC,   0, 172S, 1522E,  38, 1003, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
SH, 90, 2026012212, 03, GENC,   6, 172S, 1507E,  36, 1004, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
SH, 90, 2026012212, 03, GENC,  12, 171S, 1491E,  34, 1005, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
SH, 90, 2026012212, 03, GENC,  18, 172S, 1489E,  35, 1005, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
SH, 90, 2026012212, 03, GENC,  24, 173S, 1488E,  35, 1005, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
SH, 90, 2026012212, 03, GENC,  30, 169S, 1481E,  35, 1005, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
SH, 90, 2026012212, 03, GENC,  36, 166S, 1474E,  35, 1005, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
SH, 90, 2026012212, 03, GENC,  42, 165S, 1472E,  36, 1005, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
SH, 90, 2026012212, 03, GENC,  48, 165S, 1470E,  37, 1004, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
SH, 90, 2026012212, 03, GENC,  54, 157S, 1430E,  38, 1003, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
SH, 90, 2026012212, 03, GENC,  60, 159S, 1431E,  39, 1003, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
SH, 90, 2026012212, 03, GENC,  66, 163S, 1423E,  40, 1002, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
SH, 90, 2026012212, 03, GENC,  72, 168S, 1422E,  40, 1002, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
SH, 90, 2026012212, 03, GENC,  78, 173S, 1421E,  39, 1003, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
SH, 90, 2026012212, 03, GENC,  84, 177S, 1419E,  38, 1003, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
