# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
SH, 90, 2026012718, 03, FNV3,   0, 145S, 1699E,  25,  995, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,  40,
SH, 90, 2026012718, 03, FNV3,   6, 151S, 1717E,  34,  997, XX,  34, NEQ,   16,    8,    6,    6,     ,     ,  46,
SH, 90, 2026012718, 03, FNV3,   6, 151S, 1717E,  34,  997, XX,  50, NEQ,    1,    0,    0,    0,     ,     ,  46,
SH, 90, 2026012718, 03, FNV3,  12, 168S, 1729E,  38,  995, XX,  34, NEQ,   43,   32,   25,   27,     ,     ,  44,
SH, 90, 2026012718, 03, FNV3,  12, 168S, 1729E,  38,  995, XX,  50, NEQ,    0,    0,    1,    0,     ,     ,  44,
SH, 90, 2026012718, 03, FNV3,  18, 189S, 1737E,  41,  995, XX,  34, NEQ,   51,   44,   31,   34,     ,     ,  39,
SH, 90, 2026012718, 03, FNV3,  18, 189S, 1737E,  41,  995, XX,  50, NEQ,    4,    2,    1,    1,     ,     ,  39,
SH, 90, 2026012718, 03, FNV3,  24, 210S, 1739E,  45,  992, XX,  34, NEQ,   74,   73,   54,   53,     ,     ,  38,
SH, 90, 2026012718, 03, FNV3,  24, 210S, 1739E,  45,  992, XX,  50, NEQ,    6,    4,    2,    2,     ,     ,  38,
SH, 90, 2026012718, 03, FNV3,  30, 230S, 1737E,  49,  990, XX,  34, NEQ,   95,  102,   80,   74,     ,     ,  36,
SH, 90, 2026012718, 03, FNV3,  30, 230S, 1737E,  49,  990, XX,  50, NEQ,   11,   11,    8,    7,     ,     ,  36,
SH, 90, 2026012718, 03, FNV3,  36, 244S, 1734E,  45,  991, XX,  34, NEQ,   70,   83,   64,   54,     ,     ,  40,
SH, 90, 2026012718, 03, FNV3,  36, 244S, 1734E,  45,  991, XX,  50, NEQ,    7,    5,    4,    4,     ,     ,  40,
SH, 90, 2026012718, 03, FNV3,  42, 256S, 1728E,  39,  995, XX,  34, NEQ,   53,   62,   48,   42,     ,     ,  40,
SH, 90, 2026012718, 03, FNV3,  42, 256S, 1728E,  39,  995, XX,  50, NEQ,    1,    1,    1,    1,     ,     ,  40,
SH, 90, 2026012718, 03, FNV3,  48, 264S, 1721E,  32,  998, XX,  34, NEQ,   15,   19,   15,   11,     ,     ,  46,
SH, 90, 2026012718, 03, FNV3,  54, 269S, 1714E,  27, 1000, XX,  34, NEQ,    1,    1,    1,    1,     ,     ,  48,
SH, 90, 2026012718, 03, FNV3,  60, 271S, 1708E,  23, 1002, XX,  34, NEQ,    0,    1,    0,    0,     ,     ,  48,
SH, 90, 2026012718, 03, FNV3,  66, 273S, 1700E,  22, 1002, XX,  34, NEQ,    0,    0,    0,    0,     ,     ,  46,
SH, 90, 2026012718, 03, FNV3,  72, 277S, 1694E,  20, 1004, XX,  34, NEQ,    0,    0,    0,    0,     ,     ,  48,
SH, 90, 2026012718, 03, FNV3,  78, 280S, 1690E,  19, 1003, XX,  34, NEQ,    0,    0,    0,    0,     ,     ,  47,
SH, 90, 2026012718, 03, FNV3,  84, 283S, 1687E,  18, 1004, XX,  34, NEQ,    0,    0,    0,    0,     ,     ,  48,
SH, 90, 2026012718, 03, FNV3,  90, 287S, 1683E,  18, 1005, XX,  34, NEQ,    0,    0,    0,    0,     ,     ,  53,
SH, 90, 2026012718, 03, FNV3,  96, 293S, 1684E,  16, 1005, XX,  34, NEQ,    0,    0,    0,    0,     ,     ,  48,
