# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
IO, 97, 2026012912, 03, FNV3,   0, 156S,  423E,  29, 1003, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,  40,
IO, 97, 2026012912, 03, FNV3,   6, 158S,  419E,  34, 1002, XX,  34, NEQ,   12,    9,    9,    9,     ,     ,  37,
IO, 97, 2026012912, 03, FNV3,  12, 157S,  422E,  42,  999, XX,  34, NEQ,   44,   36,   30,   35,     ,     ,  31,
IO, 97, 2026012912, 03, FNV3,  12, 157S,  422E,  42,  999, XX,  50, NEQ,    2,    2,    1,    1,     ,     ,  31,
IO, 97, 2026012912, 03, FNV3,  18, 158S,  426E,  51,  995, XX,  34, NEQ,   64,   56,   47,   55,     ,     ,  26,
IO, 97, 2026012912, 03, FNV3,  18, 158S,  426E,  51,  995, XX,  50, NEQ,   14,    7,    5,    8,     ,     ,  26,
IO, 97, 2026012912, 03, FNV3,  18, 158S,  426E,  51,  995, XX,  64, NEQ,    1,    0,    0,    1,     ,     ,  26,
IO, 97, 2026012912, 03, FNV3,  24, 159S,  431E,  59,  990, XX,  34, NEQ,   66,   60,   51,   54,     ,     ,  19,
IO, 97, 2026012912, 03, FNV3,  24, 159S,  431E,  59,  990, XX,  50, NEQ,   20,   12,    9,   11,     ,     ,  19,
IO, 97, 2026012912, 03, FNV3,  24, 159S,  431E,  59,  990, XX,  64, NEQ,    3,    1,    0,    0,     ,     ,  19,
IO, 97, 2026012912, 03, FNV3,  30, 161S,  438E,  67,  984, XX,  34, NEQ,   73,   66,   60,   63,     ,     ,  15,
IO, 97, 2026012912, 03, FNV3,  30, 161S,  438E,  67,  984, XX,  50, NEQ,   31,   25,   20,   24,     ,     ,  15,
IO, 97, 2026012912, 03, FNV3,  30, 161S,  438E,  67,  984, XX,  64, NEQ,   12,    7,    6,    7,     ,     ,  15,
IO, 97, 2026012912, 03, FNV3,  36, 165S,  444E,  67,  985, XX,  34, NEQ,   79,   73,   63,   66,     ,     ,  15,
IO, 97, 2026012912, 03, FNV3,  36, 165S,  444E,  67,  985, XX,  50, NEQ,   33,   28,   23,   27,     ,     ,  15,
IO, 97, 2026012912, 03, FNV3,  36, 165S,  444E,  67,  985, XX,  64, NEQ,   12,   10,    8,   10,     ,     ,  15,
