# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
IO, 21, 2026021306, 03, FNV3,   0, 220S,  370E,  84,  973, XX,  34, NEQ,   70,   80,   80,   60,     ,     ,   5,
IO, 21, 2026021306, 03, FNV3,   6, 224S,  364E,  82,  974, XX,  34, NEQ,   64,   89,   78,   51,     ,     ,  11,
IO, 21, 2026021306, 03, FNV3,   6, 224S,  364E,  82,  974, XX,  50, NEQ,   29,   33,   28,   23,     ,     ,  11,
IO, 21, 2026021306, 03, FNV3,   6, 224S,  364E,  82,  974, XX,  64, NEQ,   13,   16,   11,   11,     ,     ,  11,
IO, 21, 2026021306, 03, FNV3,  12, 230S,  359E,  82,  972, XX,  34, NEQ,   55,   81,   75,   45,     ,     ,  10,
IO, 21, 2026021306, 03, FNV3,  12, 230S,  359E,  82,  972, XX,  50, NEQ,   32,   37,   34,   27,     ,     ,  10,
IO, 21, 2026021306, 03, FNV3,  12, 230S,  359E,  82,  972, XX,  64, NEQ,   19,   20,   17,   17,     ,     ,  10,
IO, 21, 2026021306, 03, FNV3,  18, 238S,  357E,  77,  976, XX,  34, NEQ,   62,   82,   67,   46,     ,     ,  11,
IO, 21, 2026021306, 03, FNV3,  18, 238S,  357E,  77,  976, XX,  50, NEQ,   31,   35,   28,   25,     ,     ,  11,
IO, 21, 2026021306, 03, FNV3,  18, 238S,  357E,  77,  976, XX,  64, NEQ,   14,   16,   12,   12,     ,     ,  11,
IO, 21, 2026021306, 03, FNV3,  24, 246S,  359E,  72,  978, XX,  34, NEQ,   73,   82,   68,   55,     ,     ,  15,
IO, 21, 2026021306, 03, FNV3,  24, 246S,  359E,  72,  978, XX,  50, NEQ,   33,   33,   25,   25,     ,     ,  15,
