# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
IO, 22, 2026022006, 03, FNV3,   0, 147S,  758E,  35, 1001, XX,  34, NEQ,   60,  150,   60,   90,     ,     ,  55,
IO, 22, 2026022006, 03, FNV3,   6, 157S,  759E,  40,  998, XX,  34, NEQ,   25,   30,   22,   16,     ,     ,  35,
IO, 22, 2026022006, 03, FNV3,  12, 158S,  751E,  41,  997, XX,  34, NEQ,   39,   46,   38,   34,     ,     ,  35,
IO, 22, 2026022006, 03, FNV3,  12, 158S,  751E,  41,  997, XX,  50, NEQ,    1,    2,    1,    1,     ,     ,  35,
IO, 22, 2026022006, 03, FNV3,  18, 160S,  744E,  44,  996, XX,  34, NEQ,   41,   47,   39,   33,     ,     ,  29,
IO, 22, 2026022006, 03, FNV3,  18, 160S,  744E,  44,  996, XX,  50, NEQ,    2,    3,    3,    2,     ,     ,  29,
IO, 22, 2026022006, 03, FNV3,  24, 161S,  738E,  45,  996, XX,  34, NEQ,   47,   52,   48,   41,     ,     ,  27,
IO, 22, 2026022006, 03, FNV3,  24, 161S,  738E,  45,  996, XX,  50, NEQ,    5,    6,    4,    3,     ,     ,  27,
IO, 22, 2026022006, 03, FNV3,  30, 162S,  731E,  53,  992, XX,  34, NEQ,   58,   66,   62,   52,     ,     ,  21,
IO, 22, 2026022006, 03, FNV3,  30, 162S,  731E,  53,  992, XX,  50, NEQ,   10,   13,   13,    8,     ,     ,  21,
IO, 22, 2026022006, 03, FNV3,  30, 162S,  731E,  53,  992, XX,  64, NEQ,    1,    3,    1,    1,     ,     ,  21,
IO, 22, 2026022006, 03, FNV3,  36, 163S,  722E,  54,  991, XX,  34, NEQ,   67,   74,   72,   63,     ,     ,  22,
IO, 22, 2026022006, 03, FNV3,  36, 163S,  722E,  54,  991, XX,  50, NEQ,   15,   18,   15,   13,     ,     ,  22,
IO, 22, 2026022006, 03, FNV3,  36, 163S,  722E,  54,  991, XX,  64, NEQ,    2,    2,    2,    2,     ,     ,  22,
IO, 22, 2026022006, 03, FNV3,  42, 165S,  713E,  62,  986, XX,  34, NEQ,   61,   76,   71,   56,     ,     ,  17,
IO, 22, 2026022006, 03, FNV3,  42, 165S,  713E,  62,  986, XX,  50, NEQ,   21,   26,   23,   17,     ,     ,  17,
IO, 22, 2026022006, 03, FNV3,  42, 165S,  713E,  62,  986, XX,  64, NEQ,    5,    5,    5,    4,     ,     ,  17,
IO, 22, 2026022006, 03, FNV3,  48, 168S,  704E,  63,  986, XX,  34, NEQ,   59,   78,   74,   55,     ,     ,  14,
IO, 22, 2026022006, 03, FNV3,  48, 168S,  704E,  63,  986, XX,  50, NEQ,   24,   29,   26,   20,     ,     ,  14,
IO, 22, 2026022006, 03, FNV3,  48, 168S,  704E,  63,  986, XX,  64, NEQ,    7,    8,    7,    7,     ,     ,  14,
IO, 22, 2026022006, 03, FNV3,  54, 172S,  694E,  71,  981, XX,  34, NEQ,   61,   83,   78,   54,     ,     ,  14,
IO, 22, 2026022006, 03, FNV3,  54, 172S,  694E,  71,  981, XX,  50, NEQ,   30,   36,   31,   25,     ,     ,  14,
IO, 22, 2026022006, 03, FNV3,  54, 172S,  694E,  71,  981, XX,  64, NEQ,   12,   13,   11,   10,     ,     ,  14,
IO, 22, 2026022006, 03, FNV3,  60, 177S,  684E,  78,  977, XX,  34, NEQ,   61,   83,   82,   56,     ,     ,  11,
IO, 22, 2026022006, 03, FNV3,  60, 177S,  684E,  78,  977, XX,  50, NEQ,   31,   36,   34,   27,     ,     ,  11,
IO, 22, 2026022006, 03, FNV3,  60, 177S,  684E,  78,  977, XX,  64, NEQ,   15,   17,   14,   14,     ,     ,  11,
IO, 22, 2026022006, 03, FNV3,  66, 183S,  675E,  88,  968, XX,  34, NEQ,   66,   95,   87,   57,     ,     ,  10,
IO, 22, 2026022006, 03, FNV3,  66, 183S,  675E,  88,  968, XX,  50, NEQ,   39,   44,   40,   32,     ,     ,  10,
IO, 22, 2026022006, 03, FNV3,  66, 183S,  675E,  88,  968, XX,  64, NEQ,   19,   21,   18,   17,     ,     ,  10,
