# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
IO, 22, 2026022018, 03, FNV3,   0, 156S,  753E,  35, 1001, XX,  34, NEQ,     ,  100,   90,     ,     ,     ,  50,
IO, 22, 2026022018, 03, FNV3,   6, 161S,  744E,  40,  998, XX,  34, NEQ,   22,   34,   25,   19,     ,     ,  31,
IO, 22, 2026022018, 03, FNV3,  12, 163S,  738E,  45,  996, XX,  34, NEQ,   36,   42,   38,   31,     ,     ,  23,
IO, 22, 2026022018, 03, FNV3,  12, 163S,  738E,  45,  996, XX,  50, NEQ,    4,    5,    3,    3,     ,     ,  23,
IO, 22, 2026022018, 03, FNV3,  18, 163S,  731E,  52,  992, XX,  34, NEQ,   51,   59,   53,   46,     ,     ,  21,
IO, 22, 2026022018, 03, FNV3,  18, 163S,  731E,  52,  992, XX,  50, NEQ,    8,   10,    8,    6,     ,     ,  21,
IO, 22, 2026022018, 03, FNV3,  18, 163S,  731E,  52,  992, XX,  64, NEQ,    0,    1,    0,    0,     ,     ,  21,
IO, 22, 2026022018, 03, FNV3,  24, 164S,  722E,  53,  992, XX,  34, NEQ,   60,   67,   66,   58,     ,     ,  19,
IO, 22, 2026022018, 03, FNV3,  24, 164S,  722E,  53,  992, XX,  50, NEQ,   13,   16,   13,   11,     ,     ,  19,
IO, 22, 2026022018, 03, FNV3,  24, 164S,  722E,  53,  992, XX,  64, NEQ,    2,    2,    2,    2,     ,     ,  19,
IO, 22, 2026022018, 03, FNV3,  30, 166S,  713E,  60,  988, XX,  34, NEQ,   59,   73,   69,   54,     ,     ,  15,
IO, 22, 2026022018, 03, FNV3,  30, 166S,  713E,  60,  988, XX,  50, NEQ,   21,   24,   22,   17,     ,     ,  15,
IO, 22, 2026022018, 03, FNV3,  30, 166S,  713E,  60,  988, XX,  64, NEQ,    3,    5,    3,    3,     ,     ,  15,
IO, 22, 2026022018, 03, FNV3,  36, 169S,  703E,  63,  986, XX,  34, NEQ,   53,   70,   70,   50,     ,     ,  13,
IO, 22, 2026022018, 03, FNV3,  36, 169S,  703E,  63,  986, XX,  50, NEQ,   24,   27,   24,   20,     ,     ,  13,
