# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
SH, 27, 2026031912, 03, FNV3,   0, 136S, 1454E, 124,  933, XX,  34, NEQ,  100,  110,  145,  105,     ,     ,   5,
SH, 27, 2026031912, 03, FNV3,   6, 135S, 1442E, 119,  943, XX,  34, NEQ,   83,  101,  108,   86,     ,     ,  12,
SH, 27, 2026031912, 03, FNV3,   6, 135S, 1442E, 119,  943, XX,  50, NEQ,   50,   56,   55,   48,     ,     ,  12,
SH, 27, 2026031912, 03, FNV3,   6, 135S, 1442E, 119,  943, XX,  64, NEQ,   33,   35,   31,   32,     ,     ,  12,
SH, 27, 2026031912, 03, FNV3,  12, 134S, 1432E, 102,  955, XX,  34, NEQ,   81,   97,   98,   79,     ,     ,   9,
SH, 27, 2026031912, 03, FNV3,  12, 134S, 1432E, 102,  955, XX,  50, NEQ,   41,   48,   47,   40,     ,     ,   9,
SH, 27, 2026031912, 03, FNV3,  12, 134S, 1432E, 102,  955, XX,  64, NEQ,   24,   26,   23,   22,     ,     ,   9,
SH, 27, 2026031912, 03, FNV3,  18, 134S, 1423E,  73,  977, XX,  34, NEQ,   76,   92,   87,   69,     ,     ,  17,
SH, 27, 2026031912, 03, FNV3,  18, 134S, 1423E,  73,  977, XX,  50, NEQ,   33,   39,   36,   29,     ,     ,  17,
SH, 27, 2026031912, 03, FNV3,  18, 134S, 1423E,  73,  977, XX,  64, NEQ,   15,   17,   14,   13,     ,     ,  17,
SH, 27, 2026031912, 03, FNV3,  24, 134S, 1413E,  65,  983, XX,  34, NEQ,   76,   87,   88,   73,     ,     ,  21,
SH, 27, 2026031912, 03, FNV3,  24, 134S, 1413E,  65,  983, XX,  50, NEQ,   29,   34,   33,   26,     ,     ,  21,
SH, 27, 2026031912, 03, FNV3,  24, 134S, 1413E,  65,  983, XX,  64, NEQ,    7,   10,    9,    7,     ,     ,  21,
SH, 27, 2026031912, 03, FNV3,  30, 134S, 1402E,  71,  981, XX,  34, NEQ,   76,   95,   93,   73,     ,     ,  19,
SH, 27, 2026031912, 03, FNV3,  30, 134S, 1402E,  71,  981, XX,  50, NEQ,   34,   42,   38,   31,     ,     ,  19,
SH, 27, 2026031912, 03, FNV3,  30, 134S, 1402E,  71,  981, XX,  64, NEQ,   14,   17,   14,   14,     ,     ,  19,
SH, 27, 2026031912, 03, FNV3,  36, 134S, 1391E,  79,  976, XX,  34, NEQ,   85,  105,  106,   82,     ,     ,  18,
SH, 27, 2026031912, 03, FNV3,  36, 134S, 1391E,  79,  976, XX,  50, NEQ,   41,   47,   45,   37,     ,     ,  18,
SH, 27, 2026031912, 03, FNV3,  36, 134S, 1391E,  79,  976, XX,  64, NEQ,   18,   22,   19,   16,     ,     ,  18,
SH, 27, 2026031912, 03, FNV3,  42, 135S, 1379E,  82,  974, XX,  34, NEQ,   90,  116,  117,   86,     ,     ,  18,
SH, 27, 2026031912, 03, FNV3,  42, 135S, 1379E,  82,  974, XX,  50, NEQ,   48,   57,   53,   43,     ,     ,  18,
SH, 27, 2026031912, 03, FNV3,  42, 135S, 1379E,  82,  974, XX,  64, NEQ,   22,   26,   22,   20,     ,     ,  18,
SH, 27, 2026031912, 03, FNV3,  48, 135S, 1368E,  77,  975, XX,  34, NEQ,   83,  103,  105,   80,     ,     ,  17,
SH, 27, 2026031912, 03, FNV3,  48, 135S, 1368E,  77,  975, XX,  50, NEQ,   43,   52,   48,   39,     ,     ,  17,
SH, 27, 2026031912, 03, FNV3,  48, 135S, 1368E,  77,  975, XX,  64, NEQ,   20,   23,   20,   18,     ,     ,  17,
SH, 27, 2026031912, 03, FNV3,  54, 138S, 1357E,  66,  981, XX,  34, NEQ,   75,   93,   83,   66,     ,     ,  17,
SH, 27, 2026031912, 03, FNV3,  54, 138S, 1357E,  66,  981, XX,  50, NEQ,   32,   37,   33,   26,     ,     ,  17,
SH, 27, 2026031912, 03, FNV3,  54, 138S, 1357E,  66,  981, XX,  64, NEQ,    9,   13,    9,    8,     ,     ,  17,
SH, 27, 2026031912, 03, FNV3,  60, 139S, 1344E,  52,  988, XX,  34, NEQ,   49,   57,   51,   43,     ,     ,  23,
SH, 27, 2026031912, 03, FNV3,  60, 139S, 1344E,  52,  988, XX,  50, NEQ,   10,   12,   10,    7,     ,     ,  23,
SH, 27, 2026031912, 03, FNV3,  60, 139S, 1344E,  52,  988, XX,  64, NEQ,    1,    1,    1,    1,     ,     ,  23,
SH, 27, 2026031912, 03, FNV3,  66, 140S, 1330E,  39,  994, XX,  34, NEQ,   29,   34,   28,   25,     ,     ,  25,
