# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
SH, 27, 2026032000, 03, FNV3,   0, 134S, 1430E, 105,  951, XX,  34, NEQ,  100,  110,  145,  105,     ,     ,  25,
SH, 27, 2026032000, 03, FNV3,   6, 132S, 1421E,  84,  970, XX,  34, NEQ,   81,   99,   97,   74,     ,     ,  15,
SH, 27, 2026032000, 03, FNV3,   6, 132S, 1421E,  84,  970, XX,  50, NEQ,   44,   52,   49,   41,     ,     ,  15,
SH, 27, 2026032000, 03, FNV3,   6, 132S, 1421E,  84,  970, XX,  64, NEQ,   24,   28,   23,   22,     ,     ,  15,
SH, 27, 2026032000, 03, FNV3,  12, 132S, 1413E,  75,  977, XX,  34, NEQ,   77,   93,   96,   76,     ,     ,  15,
SH, 27, 2026032000, 03, FNV3,  12, 132S, 1413E,  75,  977, XX,  50, NEQ,   37,   43,   41,   34,     ,     ,  15,
SH, 27, 2026032000, 03, FNV3,  12, 132S, 1413E,  75,  977, XX,  64, NEQ,   15,   18,   15,   14,     ,     ,  15,
SH, 27, 2026032000, 03, FNV3,  18, 133S, 1402E,  76,  979, XX,  34, NEQ,   77,   97,   95,   71,     ,     ,  15,
SH, 27, 2026032000, 03, FNV3,  18, 133S, 1402E,  76,  979, XX,  50, NEQ,   38,   44,   41,   33,     ,     ,  15,
SH, 27, 2026032000, 03, FNV3,  18, 133S, 1402E,  76,  979, XX,  64, NEQ,   17,   20,   17,   15,     ,     ,  15,
SH, 27, 2026032000, 03, FNV3,  24, 134S, 1391E,  80,  975, XX,  34, NEQ,   83,  105,  108,   81,     ,     ,  16,
SH, 27, 2026032000, 03, FNV3,  24, 134S, 1391E,  80,  975, XX,  50, NEQ,   42,   49,   47,   38,     ,     ,  16,
SH, 27, 2026032000, 03, FNV3,  24, 134S, 1391E,  80,  975, XX,  64, NEQ,   18,   23,   18,   16,     ,     ,  16,
SH, 27, 2026032000, 03, FNV3,  30, 135S, 1379E,  84,  972, XX,  34, NEQ,   88,  114,  113,   83,     ,     ,  19,
SH, 27, 2026032000, 03, FNV3,  30, 135S, 1379E,  84,  972, XX,  50, NEQ,   50,   60,   56,   46,     ,     ,  19,
SH, 27, 2026032000, 03, FNV3,  30, 135S, 1379E,  84,  972, XX,  64, NEQ,   26,   30,   25,   23,     ,     ,  19,
SH, 27, 2026032000, 03, FNV3,  36, 136S, 1367E,  77,  974, XX,  34, NEQ,   81,  101,  100,   78,     ,     ,  17,
SH, 27, 2026032000, 03, FNV3,  36, 136S, 1367E,  77,  974, XX,  50, NEQ,   41,   50,   46,   37,     ,     ,  17,
SH, 27, 2026032000, 03, FNV3,  36, 136S, 1367E,  77,  974, XX,  64, NEQ,   19,   22,   20,   17,     ,     ,  17,
SH, 27, 2026032000, 03, FNV3,  42, 138S, 1355E,  67,  981, XX,  34, NEQ,   80,  100,   92,   72,     ,     ,  17,
SH, 27, 2026032000, 03, FNV3,  42, 138S, 1355E,  67,  981, XX,  50, NEQ,   34,   40,   39,   30,     ,     ,  17,
SH, 27, 2026032000, 03, FNV3,  42, 138S, 1355E,  67,  981, XX,  64, NEQ,   12,   14,   12,   11,     ,     ,  17,
SH, 27, 2026032000, 03, FNV3,  48, 140S, 1341E,  52,  989, XX,  34, NEQ,   54,   61,   56,   47,     ,     ,  23,
SH, 27, 2026032000, 03, FNV3,  48, 140S, 1341E,  52,  989, XX,  50, NEQ,   14,   17,   14,   11,     ,     ,  23,
SH, 27, 2026032000, 03, FNV3,  48, 140S, 1341E,  52,  989, XX,  64, NEQ,    2,    2,    2,    1,     ,     ,  23,
SH, 27, 2026032000, 03, FNV3,  54, 142S, 1328E,  41,  993, XX,  34, NEQ,   31,   37,   32,   27,     ,     ,  24,
SH, 27, 2026032000, 03, FNV3,  54, 142S, 1328E,  41,  993, XX,  50, NEQ,    5,    6,    6,    4,     ,     ,  24,
SH, 27, 2026032000, 03, FNV3,  60, 143S, 1315E,  33,  998, XX,  34, NEQ,   19,   21,   16,   16,     ,     ,  33,
SH, 27, 2026032000, 03, FNV3,  60, 143S, 1315E,  33,  998, XX,  50, NEQ,    1,    1,    0,    0,     ,     ,  33,
SH, 27, 2026032000, 03, FNV3,  66, 145S, 1303E,  33,  997, XX,  34, NEQ,   18,   20,   14,   13,     ,     ,  31,
SH, 27, 2026032000, 03, FNV3,  72, 147S, 1291E,  32,  998, XX,  34, NEQ,   14,   14,   11,   11,     ,     ,  37,
SH, 27, 2026032000, 03, FNV3,  72, 147S, 1291E,  32,  998, XX,  50, NEQ,    1,    0,    0,    0,     ,     ,  37,
SH, 27, 2026032000, 03, FNV3,  78, 152S, 1279E,  31,  997, XX,  34, NEQ,    3,    6,    4,    3,     ,     ,  32,
SH, 27, 2026032000, 03, FNV3,  78, 152S, 1279E,  31,  997, XX,  50, NEQ,    1,    0,    0,    0,     ,     ,  32,
SH, 27, 2026032000, 03, FNV3,  84, 154S, 1265E,  31,  997, XX,  34, NEQ,   11,   13,   10,   10,     ,     ,  34,
SH, 27, 2026032000, 03, FNV3,  90, 156S, 1251E,  33,  997, XX,  34, NEQ,   14,   15,   11,   11,     ,     ,  34,
SH, 27, 2026032000, 03, FNV3,  90, 156S, 1251E,  33,  997, XX,  50, NEQ,    1,    1,    1,    1,     ,     ,  34,
SH, 27, 2026032000, 03, FNV3,  96, 160S, 1240E,  37,  995, XX,  34, NEQ,   37,   41,   35,   33,     ,     ,  36,
SH, 27, 2026032000, 03, FNV3,  96, 160S, 1240E,  37,  995, XX,  50, NEQ,    2,    1,    2,    1,     ,     ,  36,
SH, 27, 2026032000, 03, FNV3,  96, 160S, 1240E,  37,  995, XX,  64, NEQ,    1,    0,    1,    0,     ,     ,  36,
SH, 27, 2026032000, 03, FNV3, 102, 165S, 1231E,  42,  992, XX,  34, NEQ,   51,   57,   48,   42,     ,     ,  31,
SH, 27, 2026032000, 03, FNV3, 102, 165S, 1231E,  42,  992, XX,  50, NEQ,    3,    4,    3,    2,     ,     ,  31,
SH, 27, 2026032000, 03, FNV3, 108, 168S, 1220E,  49,  990, XX,  34, NEQ,   66,   73,   66,   58,     ,     ,  30,
SH, 27, 2026032000, 03, FNV3, 108, 168S, 1220E,  49,  990, XX,  50, NEQ,   11,   14,   12,    9,     ,     ,  30,
SH, 27, 2026032000, 03, FNV3, 114, 171S, 1209E,  61,  985, XX,  34, NEQ,   80,   94,   84,   70,     ,     ,  24,
SH, 27, 2026032000, 03, FNV3, 114, 171S, 1209E,  61,  985, XX,  50, NEQ,   26,   31,   24,   21,     ,     ,  24,
SH, 27, 2026032000, 03, FNV3, 114, 171S, 1209E,  61,  985, XX,  64, NEQ,    5,    8,    6,    4,     ,     ,  24,
SH, 27, 2026032000, 03, FNV3, 120, 176S, 1198E,  73,  977, XX,  34, NEQ,   92,  112,  105,   81,     ,     ,  19,
SH, 27, 2026032000, 03, FNV3, 120, 176S, 1198E,  73,  977, XX,  50, NEQ,   40,   47,   40,   34,     ,     ,  19,
SH, 27, 2026032000, 03, FNV3, 120, 176S, 1198E,  73,  977, XX,  64, NEQ,   16,   19,   15,   14,     ,     ,  19,
SH, 27, 2026032000, 03, FNV3, 126, 181S, 1189E,  88,  966, XX,  34, NEQ,   93,  123,  114,   80,     ,     ,  15,
SH, 27, 2026032000, 03, FNV3, 126, 181S, 1189E,  88,  966, XX,  50, NEQ,   51,   60,   55,   45,     ,     ,  15,
SH, 27, 2026032000, 03, FNV3, 126, 181S, 1189E,  88,  966, XX,  64, NEQ,   27,   29,   25,   24,     ,     ,  15,
SH, 27, 2026032000, 03, FNV3, 132, 184S, 1179E,  98,  957, XX,  34, NEQ,  102,  132,  124,   92,     ,     ,  14,
SH, 27, 2026032000, 03, FNV3, 132, 184S, 1179E,  98,  957, XX,  50, NEQ,   55,   64,   59,   49,     ,     ,  14,
SH, 27, 2026032000, 03, FNV3, 132, 184S, 1179E,  98,  957, XX,  64, NEQ,   31,   34,   29,   28,     ,     ,  14,
SH, 27, 2026032000, 03, FNV3, 138, 188S, 1169E, 108,  950, XX,  34, NEQ,  107,  143,  133,   95,     ,     ,  11,
SH, 27, 2026032000, 03, FNV3, 138, 188S, 1169E, 108,  950, XX,  50, NEQ,   62,   74,   69,   56,     ,     ,  11,
SH, 27, 2026032000, 03, FNV3, 138, 188S, 1169E, 108,  950, XX,  64, NEQ,   38,   41,   36,   34,     ,     ,  11,
SH, 27, 2026032000, 03, FNV3, 144, 192S, 1161E, 105,  951, XX,  34, NEQ,  108,  144,  133,   94,     ,     ,  14,
SH, 27, 2026032000, 03, FNV3, 144, 192S, 1161E, 105,  951, XX,  50, NEQ,   56,   66,   61,   49,     ,     ,  14,
SH, 27, 2026032000, 03, FNV3, 144, 192S, 1161E, 105,  951, XX,  64, NEQ,   32,   35,   30,   28,     ,     ,  14,
SH, 27, 2026032000, 03, FNV3, 150, 199S, 1154E, 105,  949, XX,  34, NEQ,  109,  149,  132,   93,     ,     ,  12,
SH, 27, 2026032000, 03, FNV3, 150, 199S, 1154E, 105,  949, XX,  50, NEQ,   59,   69,   63,   51,     ,     ,  12,
SH, 27, 2026032000, 03, FNV3, 150, 199S, 1154E, 105,  949, XX,  64, NEQ,   35,   37,   32,   31,     ,     ,  12,
SH, 27, 2026032000, 03, FNV3, 156, 205S, 1149E,  98,  955, XX,  34, NEQ,  107,  138,  123,   91,     ,     ,  17,
SH, 27, 2026032000, 03, FNV3, 156, 205S, 1149E,  98,  955, XX,  50, NEQ,   54,   62,   57,   47,     ,     ,  17,
SH, 27, 2026032000, 03, FNV3, 156, 205S, 1149E,  98,  955, XX,  64, NEQ,   32,   34,   30,   28,     ,     ,  17,
SH, 27, 2026032000, 03, FNV3, 162, 214S, 1144E,  88,  961, XX,  34, NEQ,   99,  127,  112,   81,     ,     ,  15,
SH, 27, 2026032000, 03, FNV3, 162, 214S, 1144E,  88,  961, XX,  50, NEQ,   52,   59,   52,   44,     ,     ,  15,
SH, 27, 2026032000, 03, FNV3, 162, 214S, 1144E,  88,  961, XX,  64, NEQ,   26,   28,   24,   23,     ,     ,  15,
SH, 27, 2026032000, 03, FNV3, 168, 224S, 1141E,  75,  970, XX,  34, NEQ,   91,  113,   96,   72,     ,     ,  21,
SH, 27, 2026032000, 03, FNV3, 168, 224S, 1141E,  75,  970, XX,  50, NEQ,   39,   45,   38,   32,     ,     ,  21,
SH, 27, 2026032000, 03, FNV3, 168, 224S, 1141E,  75,  970, XX,  64, NEQ,   19,   21,   18,   17,     ,     ,  21,
SH, 27, 2026032000, 03, FNV3, 174, 236S, 1141E,  67,  975, XX,  34, NEQ,   89,  108,   90,   68,     ,     ,  22,
SH, 27, 2026032000, 03, FNV3, 174, 236S, 1141E,  67,  975, XX,  50, NEQ,   42,   46,   39,   34,     ,     ,  22,
SH, 27, 2026032000, 03, FNV3, 174, 236S, 1141E,  67,  975, XX,  64, NEQ,   20,   21,   17,   16,     ,     ,  22,
SH, 27, 2026032000, 03, FNV3, 180, 247S, 1141E,  62,  979, XX,  34, NEQ,   91,  104,   85,   71,     ,     ,  31,
SH, 27, 2026032000, 03, FNV3, 180, 247S, 1141E,  62,  979, XX,  50, NEQ,   39,   41,   35,   32,     ,     ,  31,
SH, 27, 2026032000, 03, FNV3, 180, 247S, 1141E,  62,  979, XX,  64, NEQ,   18,   18,   16,   15,     ,     ,  31,
SH, 27, 2026032000, 03, FNV3, 186, 257S, 1142E,  57,  982, XX,  34, NEQ,   73,   85,   71,   58,     ,     ,  29,
SH, 27, 2026032000, 03, FNV3, 186, 257S, 1142E,  57,  982, XX,  50, NEQ,   30,   32,   27,   25,     ,     ,  29,
SH, 27, 2026032000, 03, FNV3, 186, 257S, 1142E,  57,  982, XX,  64, NEQ,   13,   12,   10,   10,     ,     ,  29,
SH, 27, 2026032000, 03, FNV3, 192, 267S, 1147E,  50,  987, XX,  34, NEQ,   65,   69,   53,   46,     ,     ,  35,
SH, 27, 2026032000, 03, FNV3, 192, 267S, 1147E,  50,  987, XX,  50, NEQ,   21,   20,   17,   16,     ,     ,  35,
SH, 27, 2026032000, 03, FNV3, 192, 267S, 1147E,  50,  987, XX,  64, NEQ,    7,    7,    6,    5,     ,     ,  35,
SH, 27, 2026032000, 03, FNV3, 198, 279S, 1155E,  45,  989, XX,  34, NEQ,   62,   66,   50,   46,     ,     ,  38,
SH, 27, 2026032000, 03, FNV3, 198, 279S, 1155E,  45,  989, XX,  50, NEQ,   13,   13,   10,    9,     ,     ,  38,
SH, 27, 2026032000, 03, FNV3, 198, 279S, 1155E,  45,  989, XX,  64, NEQ,    3,    6,    3,    3,     ,     ,  38,
SH, 27, 2026032000, 03, FNV3, 204, 287S, 1162E,  43,  993, XX,  34, NEQ,   54,   56,   44,   40,     ,     ,  40,
SH, 27, 2026032000, 03, FNV3, 204, 287S, 1162E,  43,  993, XX,  50, NEQ,   14,   13,   10,   11,     ,     ,  40,
SH, 27, 2026032000, 03, FNV3, 204, 287S, 1162E,  43,  993, XX,  64, NEQ,    4,    4,    3,    3,     ,     ,  40,
SH, 27, 2026032000, 03, FNV3, 210, 293S, 1167E,  38,  995, XX,  34, NEQ,   26,   34,   27,   19,     ,     ,  46,
SH, 27, 2026032000, 03, FNV3, 210, 293S, 1167E,  38,  995, XX,  50, NEQ,    4,    5,    3,    3,     ,     ,  46,
SH, 27, 2026032000, 03, FNV3, 210, 293S, 1167E,  38,  995, XX,  64, NEQ,    1,    1,    1,    1,     ,     ,  46,
SH, 27, 2026032000, 03, FNV3, 216, 285S, 1156E,  35,  996, XX,  34, NEQ,   25,   27,   23,   17,     ,     ,  44,
SH, 27, 2026032000, 03, FNV3, 216, 285S, 1156E,  35,  996, XX,  50, NEQ,    2,    3,    2,    2,     ,     ,  44,
SH, 27, 2026032000, 03, FNV3, 222, 291S, 1160E,  33,  997, XX,  34, NEQ,   22,   20,   17,   15,     ,     ,  46,
