# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
SH, 27, 2026032106, 03, FNV3,   0, 130S, 1378E,  80,  973, XX,  34, NEQ,  110,   90,   90,  110,     ,     ,  25,
SH, 27, 2026032106, 03, FNV3,   6, 131S, 1370E,  77,  974, XX,  34, NEQ,   83,  104,  109,   80,     ,     ,  16,
SH, 27, 2026032106, 03, FNV3,   6, 131S, 1370E,  77,  974, XX,  50, NEQ,   44,   53,   49,   40,     ,     ,  16,
SH, 27, 2026032106, 03, FNV3,   6, 131S, 1370E,  77,  974, XX,  64, NEQ,   16,   21,   18,   15,     ,     ,  16,
SH, 27, 2026032106, 03, FNV3,  12, 134S, 1359E,  67,  982, XX,  34, NEQ,   82,   99,   91,   73,     ,     ,  17,
SH, 27, 2026032106, 03, FNV3,  12, 134S, 1359E,  67,  982, XX,  50, NEQ,   34,   40,   35,   29,     ,     ,  17,
SH, 27, 2026032106, 03, FNV3,  12, 134S, 1359E,  67,  982, XX,  64, NEQ,    9,   10,   10,    8,     ,     ,  17,
SH, 27, 2026032106, 03, FNV3,  18, 137S, 1345E,  52,  989, XX,  34, NEQ,   62,   72,   62,   54,     ,     ,  21,
SH, 27, 2026032106, 03, FNV3,  18, 137S, 1345E,  52,  989, XX,  50, NEQ,   11,   13,   11,    8,     ,     ,  21,
SH, 27, 2026032106, 03, FNV3,  18, 137S, 1345E,  52,  989, XX,  64, NEQ,    0,    0,    1,    0,     ,     ,  21,
SH, 27, 2026032106, 03, FNV3,  24, 140S, 1331E,  41,  993, XX,  34, NEQ,   42,   49,   38,   34,     ,     ,  25,
SH, 27, 2026032106, 03, FNV3,  24, 140S, 1331E,  41,  993, XX,  50, NEQ,    4,    4,    3,    3,     ,     ,  25,
SH, 27, 2026032106, 03, FNV3,  30, 142S, 1316E,  35,  997, XX,  34, NEQ,   25,   26,   20,   21,     ,     ,  34,
SH, 27, 2026032106, 03, FNV3,  36, 144S, 1303E,  33,  997, XX,  34, NEQ,   11,   15,   10,    9,     ,     ,  34,
SH, 27, 2026032106, 03, FNV3,  42, 148S, 1291E,  32,  997, XX,  34, NEQ,   12,   14,   10,    9,     ,     ,  40,
SH, 27, 2026032106, 03, FNV3,  48, 151S, 1278E,  31,  996, XX,  34, NEQ,   13,   14,   12,   10,     ,     ,  32,
SH, 27, 2026032106, 03, FNV3,  54, 155S, 1264E,  30,  997, XX,  34, NEQ,    6,    6,    5,    4,     ,     ,  34,
SH, 27, 2026032106, 03, FNV3,  60, 158S, 1251E,  34,  996, XX,  34, NEQ,   16,   15,   11,   12,     ,     ,  34,
SH, 27, 2026032106, 03, FNV3,  66, 162S, 1240E,  35,  996, XX,  34, NEQ,   34,   35,   31,   27,     ,     ,  39,
SH, 27, 2026032106, 03, FNV3,  66, 162S, 1240E,  35,  996, XX,  50, NEQ,    1,    1,    0,    0,     ,     ,  39,
SH, 27, 2026032106, 03, FNV3,  72, 167S, 1231E,  41,  993, XX,  34, NEQ,   46,   53,   43,   38,     ,     ,  33,
SH, 27, 2026032106, 03, FNV3,  72, 167S, 1231E,  41,  993, XX,  50, NEQ,    3,    4,    3,    2,     ,     ,  33,
SH, 27, 2026032106, 03, FNV3,  78, 171S, 1219E,  48,  990, XX,  34, NEQ,   80,   89,   77,   71,     ,     ,  31,
SH, 27, 2026032106, 03, FNV3,  78, 171S, 1219E,  48,  990, XX,  50, NEQ,   11,   15,    9,    8,     ,     ,  31,
SH, 27, 2026032106, 03, FNV3,  78, 171S, 1219E,  48,  990, XX,  64, NEQ,    1,    1,    1,    1,     ,     ,  31,
SH, 27, 2026032106, 03, FNV3,  84, 173S, 1208E,  59,  986, XX,  34, NEQ,   85,   98,   89,   75,     ,     ,  25,
SH, 27, 2026032106, 03, FNV3,  84, 173S, 1208E,  59,  986, XX,  50, NEQ,   25,   30,   25,   20,     ,     ,  25,
SH, 27, 2026032106, 03, FNV3,  84, 173S, 1208E,  59,  986, XX,  64, NEQ,    5,    7,    5,    4,     ,     ,  25,
SH, 27, 2026032106, 03, FNV3,  90, 178S, 1197E,  73,  977, XX,  34, NEQ,   99,  119,  108,   86,     ,     ,  19,
SH, 27, 2026032106, 03, FNV3,  90, 178S, 1197E,  73,  977, XX,  50, NEQ,   46,   52,   44,   38,     ,     ,  19,
SH, 27, 2026032106, 03, FNV3,  90, 178S, 1197E,  73,  977, XX,  64, NEQ,   17,   18,   14,   14,     ,     ,  19,
SH, 27, 2026032106, 03, FNV3,  96, 183S, 1187E,  89,  965, XX,  34, NEQ,  113,  142,  129,   97,     ,     ,  15,
SH, 27, 2026032106, 03, FNV3,  96, 183S, 1187E,  89,  965, XX,  50, NEQ,   63,   72,   65,   55,     ,     ,  15,
SH, 27, 2026032106, 03, FNV3,  96, 183S, 1187E,  89,  965, XX,  64, NEQ,   34,   36,   31,   30,     ,     ,  15,
SH, 27, 2026032106, 03, FNV3, 102, 188S, 1176E, 106,  951, XX,  34, NEQ,  117,  150,  138,  101,     ,     ,  12,
SH, 27, 2026032106, 03, FNV3, 102, 188S, 1176E, 106,  951, XX,  50, NEQ,   65,   75,   69,   58,     ,     ,  12,
SH, 27, 2026032106, 03, FNV3, 102, 188S, 1176E, 106,  951, XX,  64, NEQ,   39,   42,   36,   35,     ,     ,  12,
SH, 27, 2026032106, 03, FNV3, 108, 193S, 1166E, 114,  943, XX,  34, NEQ,  112,  150,  137,   98,     ,     ,  12,
SH, 27, 2026032106, 03, FNV3, 108, 193S, 1166E, 114,  943, XX,  50, NEQ,   64,   75,   69,   56,     ,     ,  12,
SH, 27, 2026032106, 03, FNV3, 108, 193S, 1166E, 114,  943, XX,  64, NEQ,   40,   42,   37,   35,     ,     ,  12,
SH, 27, 2026032106, 03, FNV3, 114, 200S, 1157E, 108,  947, XX,  34, NEQ,  122,  157,  139,  104,     ,     ,  13,
SH, 27, 2026032106, 03, FNV3, 114, 200S, 1157E, 108,  947, XX,  50, NEQ,   63,   72,   66,   54,     ,     ,  13,
SH, 27, 2026032106, 03, FNV3, 114, 200S, 1157E, 108,  947, XX,  64, NEQ,   36,   39,   33,   32,     ,     ,  13,
SH, 27, 2026032106, 03, FNV3, 120, 208S, 1149E, 102,  951, XX,  34, NEQ,  126,  160,  138,  103,     ,     ,  14,
SH, 27, 2026032106, 03, FNV3, 120, 208S, 1149E, 102,  951, XX,  50, NEQ,   69,   79,   69,   60,     ,     ,  14,
SH, 27, 2026032106, 03, FNV3, 120, 208S, 1149E, 102,  951, XX,  64, NEQ,   40,   42,   36,   35,     ,     ,  14,
SH, 27, 2026032106, 03, FNV3, 126, 217S, 1144E,  90,  960, XX,  34, NEQ,  127,  155,  132,  102,     ,     ,  15,
SH, 27, 2026032106, 03, FNV3, 126, 217S, 1144E,  90,  960, XX,  50, NEQ,   66,   73,   64,   56,     ,     ,  15,
SH, 27, 2026032106, 03, FNV3, 126, 217S, 1144E,  90,  960, XX,  64, NEQ,   33,   36,   30,   29,     ,     ,  15,
SH, 27, 2026032106, 03, FNV3, 132, 228S, 1141E,  77,  969, XX,  34, NEQ,  119,  143,  119,   94,     ,     ,  21,
SH, 27, 2026032106, 03, FNV3, 132, 228S, 1141E,  77,  969, XX,  50, NEQ,   57,   61,   52,   47,     ,     ,  21,
SH, 27, 2026032106, 03, FNV3, 132, 228S, 1141E,  77,  969, XX,  64, NEQ,   26,   26,   22,   22,     ,     ,  21,
SH, 27, 2026032106, 03, FNV3, 138, 242S, 1141E,  64,  978, XX,  34, NEQ,  100,  114,   90,   74,     ,     ,  25,
SH, 27, 2026032106, 03, FNV3, 138, 242S, 1141E,  64,  978, XX,  50, NEQ,   32,   35,   27,   24,     ,     ,  25,
SH, 27, 2026032106, 03, FNV3, 138, 242S, 1141E,  64,  978, XX,  64, NEQ,   14,   15,   12,   12,     ,     ,  25,
SH, 27, 2026032106, 03, FNV3, 144, 260S, 1146E,  55,  983, XX,  34, NEQ,   88,   96,   76,   65,     ,     ,  26,
SH, 27, 2026032106, 03, FNV3, 144, 260S, 1146E,  55,  983, XX,  50, NEQ,   33,   33,   27,   26,     ,     ,  26,
SH, 27, 2026032106, 03, FNV3, 144, 260S, 1146E,  55,  983, XX,  64, NEQ,   13,   12,    9,    9,     ,     ,  26,
SH, 27, 2026032106, 03, FNV3, 150, 277S, 1156E,  47,  989, XX,  34, NEQ,   77,   78,   60,   56,     ,     ,  35,
SH, 27, 2026032106, 03, FNV3, 150, 277S, 1156E,  47,  989, XX,  50, NEQ,   27,   26,   20,   20,     ,     ,  35,
SH, 27, 2026032106, 03, FNV3, 150, 277S, 1156E,  47,  989, XX,  64, NEQ,    6,    6,    5,    5,     ,     ,  35,
SH, 27, 2026032106, 03, FNV3, 156, 295S, 1165E,  41,  992, XX,  34, NEQ,   51,   58,   43,   40,     ,     ,  38,
SH, 27, 2026032106, 03, FNV3, 156, 295S, 1165E,  41,  992, XX,  50, NEQ,   12,   11,    9,    9,     ,     ,  38,
SH, 27, 2026032106, 03, FNV3, 156, 295S, 1165E,  41,  992, XX,  64, NEQ,    2,    1,    1,    1,     ,     ,  38,
SH, 27, 2026032106, 03, FNV3, 162, 316S, 1182E,  35,  995, XX,  34, NEQ,   30,   31,   26,   20,     ,     ,  52,
SH, 27, 2026032106, 03, FNV3, 162, 316S, 1182E,  35,  995, XX,  50, NEQ,    5,    5,    3,    3,     ,     ,  52,
SH, 27, 2026032106, 03, FNV3, 162, 316S, 1182E,  35,  995, XX,  64, NEQ,    1,    1,    1,    1,     ,     ,  52,
SH, 27, 2026032106, 03, FNV3, 168, 332S, 1201E,  34,  994, XX,  34, NEQ,   22,   20,   13,    8,     ,     ,  53,
SH, 27, 2026032106, 03, FNV3, 168, 332S, 1201E,  34,  994, XX,  50, NEQ,    1,    1,    1,    1,     ,     ,  53,
SH, 27, 2026032106, 03, FNV3, 174, 341S, 1215E,  36,  993, XX,  34, NEQ,   39,   31,   20,   17,     ,     ,  57,
SH, 27, 2026032106, 03, FNV3, 174, 341S, 1215E,  36,  993, XX,  50, NEQ,    0,    2,    0,    0,     ,     ,  57,
SH, 27, 2026032106, 03, FNV3, 180, 348S, 1235E,  36,  992, XX,  34, NEQ,   21,   18,    9,   11,     ,     ,  49,
SH, 98, 2026032106, 03, FNV3,   0, 126S, 1612E,  19, 1003, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,  80,
SH, 98, 2026032106, 03, FNV3,   6, 123S, 1604E,  19, 1006, XX,  34, NEQ,    0,    0,    0,    0,     ,     ,  56,
SH, 98, 2026032106, 03, FNV3,  12, 125S, 1606E,  20, 1004, XX,  34, NEQ,    0,    0,    0,    0,     ,     ,  51,
SH, 98, 2026032106, 03, FNV3,  18, 129S, 1608E,  24, 1003, XX,  34, NEQ,    0,    0,    0,    0,     ,     ,  49,
SH, 98, 2026032106, 03, FNV3,  24, 134S, 1613E,  26, 1002, XX,  34, NEQ,    2,    0,    0,    0,     ,     ,  48,
SH, 98, 2026032106, 03, FNV3,  30, 144S, 1618E,  28, 1001, XX,  34, NEQ,    3,    4,    3,    2,     ,     ,  47,
SH, 98, 2026032106, 03, FNV3,  36, 153S, 1623E,  30, 1000, XX,  34, NEQ,    4,    1,    0,    0,     ,     ,  44,
SH, 98, 2026032106, 03, FNV3,  42, 164S, 1627E,  34,  999, XX,  34, NEQ,   22,   12,    7,    8,     ,     ,  44,
SH, 98, 2026032106, 03, FNV3,  48, 180S, 1630E,  35,  997, XX,  34, NEQ,   29,   23,   16,   15,     ,     ,  42,
SH, 98, 2026032106, 03, FNV3,  48, 180S, 1630E,  35,  997, XX,  50, NEQ,    2,    1,    0,    0,     ,     ,  42,
SH, 98, 2026032106, 03, FNV3,  54, 195S, 1632E,  40,  996, XX,  34, NEQ,   45,   38,   25,   25,     ,     ,  41,
SH, 98, 2026032106, 03, FNV3,  54, 195S, 1632E,  40,  996, XX,  50, NEQ,    5,    5,    3,    4,     ,     ,  41,
SH, 98, 2026032106, 03, FNV3,  54, 195S, 1632E,  40,  996, XX,  64, NEQ,    1,    0,    0,    0,     ,     ,  41,
SH, 98, 2026032106, 03, FNV3,  60, 214S, 1636E,  45,  992, XX,  34, NEQ,   63,   67,   49,   46,     ,     ,  31,
SH, 98, 2026032106, 03, FNV3,  60, 214S, 1636E,  45,  992, XX,  50, NEQ,    7,    5,    4,    3,     ,     ,  31,
SH, 98, 2026032106, 03, FNV3,  60, 214S, 1636E,  45,  992, XX,  64, NEQ,    2,    1,    1,    1,     ,     ,  31,
SH, 98, 2026032106, 03, FNV3,  66, 233S, 1639E,  42,  995, XX,  34, NEQ,   55,   62,   45,   41,     ,     ,  41,
SH, 98, 2026032106, 03, FNV3,  66, 233S, 1639E,  42,  995, XX,  50, NEQ,    5,    8,    4,    4,     ,     ,  41,
SH, 98, 2026032106, 03, FNV3,  72, 255S, 1642E,  37,  996, XX,  34, NEQ,   65,   73,   56,   52,     ,     ,  51,
SH, 98, 2026032106, 03, FNV3,  72, 255S, 1642E,  37,  996, XX,  50, NEQ,    0,    0,    1,    0,     ,     ,  51,
SH, 98, 2026032106, 03, FNV3,  78, 276S, 1642E,  38,  994, XX,  34, NEQ,   58,   60,   47,   42,     ,     ,  43,
SH, 98, 2026032106, 03, FNV3,  78, 276S, 1642E,  38,  994, XX,  50, NEQ,    4,    1,    1,    1,     ,     ,  43,
