# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
SH, 27, 2026032118, 03, FNV3,   0, 136S, 1357E,  74,  978, XX,  34, NEQ,  100,  100,  100,  100,     ,     ,  20,
SH, 27, 2026032118, 03, FNV3,   6, 137S, 1345E,  57,  986, XX,  34, NEQ,   68,   75,   69,   60,     ,     ,  19,
SH, 27, 2026032118, 03, FNV3,   6, 137S, 1345E,  57,  986, XX,  50, NEQ,   20,   24,   20,   17,     ,     ,  19,
SH, 27, 2026032118, 03, FNV3,   6, 137S, 1345E,  57,  986, XX,  64, NEQ,    1,    2,    1,    1,     ,     ,  19,
SH, 27, 2026032118, 03, FNV3,  12, 139S, 1331E,  45,  991, XX,  34, NEQ,   48,   54,   47,   41,     ,     ,  21,
SH, 27, 2026032118, 03, FNV3,  12, 139S, 1331E,  45,  991, XX,  50, NEQ,    5,    6,    4,    4,     ,     ,  21,
SH, 27, 2026032118, 03, FNV3,  18, 141S, 1316E,  38,  996, XX,  34, NEQ,   34,   37,   30,   29,     ,     ,  33,
SH, 27, 2026032118, 03, FNV3,  18, 141S, 1316E,  38,  996, XX,  50, NEQ,    1,    1,    0,    0,     ,     ,  33,
SH, 27, 2026032118, 03, FNV3,  24, 143S, 1303E,  37,  996, XX,  34, NEQ,   25,   29,   20,   20,     ,     ,  31,
SH, 27, 2026032118, 03, FNV3,  24, 143S, 1303E,  37,  996, XX,  50, NEQ,    0,    1,    1,    0,     ,     ,  31,
SH, 27, 2026032118, 03, FNV3,  30, 146S, 1291E,  37,  995, XX,  34, NEQ,   37,   41,   35,   32,     ,     ,  38,
SH, 27, 2026032118, 03, FNV3,  36, 150S, 1280E,  34,  995, XX,  34, NEQ,   19,   21,   18,   15,     ,     ,  32,
SH, 27, 2026032118, 03, FNV3,  36, 150S, 1280E,  34,  995, XX,  50, NEQ,    1,    1,    1,    1,     ,     ,  32,
SH, 27, 2026032118, 03, FNV3,  42, 154S, 1265E,  32,  996, XX,  34, NEQ,   19,   21,   16,   16,     ,     ,  33,
SH, 27, 2026032118, 03, FNV3,  48, 157S, 1253E,  35,  995, XX,  34, NEQ,   32,   30,   23,   23,     ,     ,  35,
SH, 27, 2026032118, 03, FNV3,  54, 160S, 1244E,  37,  993, XX,  34, NEQ,   50,   53,   45,   42,     ,     ,  36,
SH, 27, 2026032118, 03, FNV3,  54, 160S, 1244E,  37,  993, XX,  50, NEQ,    2,    2,    2,    2,     ,     ,  36,
SH, 27, 2026032118, 03, FNV3,  60, 167S, 1235E,  41,  991, XX,  34, NEQ,   53,   60,   48,   43,     ,     ,  35,
SH, 27, 2026032118, 03, FNV3,  60, 167S, 1235E,  41,  991, XX,  50, NEQ,    3,    4,    2,    2,     ,     ,  35,
SH, 27, 2026032118, 03, FNV3,  66, 170S, 1224E,  47,  989, XX,  34, NEQ,   83,   91,   79,   72,     ,     ,  34,
SH, 27, 2026032118, 03, FNV3,  66, 170S, 1224E,  47,  989, XX,  50, NEQ,   10,   12,   11,   10,     ,     ,  34,
SH, 27, 2026032118, 03, FNV3,  66, 170S, 1224E,  47,  989, XX,  64, NEQ,    1,    1,    1,    1,     ,     ,  34,
SH, 27, 2026032118, 03, FNV3,  72, 173S, 1214E,  56,  986, XX,  34, NEQ,   91,  103,   92,   79,     ,     ,  30,
SH, 27, 2026032118, 03, FNV3,  72, 173S, 1214E,  56,  986, XX,  50, NEQ,   25,   29,   23,   21,     ,     ,  30,
SH, 27, 2026032118, 03, FNV3,  72, 173S, 1214E,  56,  986, XX,  64, NEQ,    4,    6,    5,    4,     ,     ,  30,
SH, 27, 2026032118, 03, FNV3,  78, 178S, 1204E,  65,  980, XX,  34, NEQ,  118,  134,  120,  101,     ,     ,  27,
SH, 27, 2026032118, 03, FNV3,  78, 178S, 1204E,  65,  980, XX,  50, NEQ,   40,   43,   39,   33,     ,     ,  27,
SH, 27, 2026032118, 03, FNV3,  78, 178S, 1204E,  65,  980, XX,  64, NEQ,   12,   12,   11,    9,     ,     ,  27,
SH, 27, 2026032118, 03, FNV3,  84, 185S, 1194E,  81,  968, XX,  34, NEQ,  122,  150,  134,  104,     ,     ,  21,
SH, 27, 2026032118, 03, FNV3,  84, 185S, 1194E,  81,  968, XX,  50, NEQ,   57,   65,   57,   50,     ,     ,  21,
SH, 27, 2026032118, 03, FNV3,  84, 185S, 1194E,  81,  968, XX,  64, NEQ,   25,   27,   23,   22,     ,     ,  21,
SH, 27, 2026032118, 03, FNV3,  90, 190S, 1183E,  94,  959, XX,  34, NEQ,  119,  149,  138,  105,     ,     ,  16,
SH, 27, 2026032118, 03, FNV3,  90, 190S, 1183E,  94,  959, XX,  50, NEQ,   65,   74,   68,   58,     ,     ,  16,
SH, 27, 2026032118, 03, FNV3,  90, 190S, 1183E,  94,  959, XX,  64, NEQ,   35,   38,   32,   31,     ,     ,  16,
SH, 27, 2026032118, 03, FNV3,  96, 194S, 1174E, 104,  950, XX,  34, NEQ,  123,  162,  150,  108,     ,     ,  15,
SH, 27, 2026032118, 03, FNV3,  96, 194S, 1174E, 104,  950, XX,  50, NEQ,   69,   80,   75,   61,     ,     ,  15,
SH, 27, 2026032118, 03, FNV3,  96, 194S, 1174E, 104,  950, XX,  64, NEQ,   40,   43,   38,   35,     ,     ,  15,
SH, 27, 2026032118, 03, FNV3, 102, 201S, 1165E, 104,  949, XX,  34, NEQ,  128,  165,  147,  109,     ,     ,  13,
SH, 27, 2026032118, 03, FNV3, 102, 201S, 1165E, 104,  949, XX,  50, NEQ,   65,   75,   67,   56,     ,     ,  13,
SH, 27, 2026032118, 03, FNV3, 102, 201S, 1165E, 104,  949, XX,  64, NEQ,   36,   39,   33,   31,     ,     ,  13,
SH, 27, 2026032118, 03, FNV3, 108, 209S, 1157E,  96,  955, XX,  34, NEQ,  135,  169,  148,  113,     ,     ,  15,
