# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
SH, 27, 2026032206, 03, FNV3,   0, 138S, 1329E,  39,  989, XX,  34, NEQ,   70,     ,     ,   90,     ,     ,  30,
SH, 27, 2026032206, 03, FNV3,   6, 140S, 1316E,  39,  996, XX,  34, NEQ,   31,   35,   27,   26,     ,     ,  28,
SH, 27, 2026032206, 03, FNV3,  12, 143S, 1303E,  34,  996, XX,  34, NEQ,   18,   18,   14,   12,     ,     ,  35,
SH, 27, 2026032206, 03, FNV3,  12, 143S, 1303E,  34,  996, XX,  50, NEQ,    0,    1,    0,    0,     ,     ,  35,
SH, 27, 2026032206, 03, FNV3,  18, 147S, 1290E,  34,  996, XX,  34, NEQ,   14,   17,   13,   12,     ,     ,  35,
SH, 27, 2026032206, 03, FNV3,  24, 152S, 1278E,  34,  995, XX,  34, NEQ,   17,   19,   15,   14,     ,     ,  33,
SH, 27, 2026032206, 03, FNV3,  24, 152S, 1278E,  34,  995, XX,  50, NEQ,    1,    1,    1,    1,     ,     ,  33,
SH, 27, 2026032206, 03, FNV3,  30, 155S, 1262E,  32,  996, XX,  34, NEQ,   14,   12,   10,   10,     ,     ,  31,
SH, 27, 2026032206, 03, FNV3,  36, 157S, 1250E,  35,  996, XX,  34, NEQ,   28,   30,   21,   22,     ,     ,  37,
SH, 27, 2026032206, 03, FNV3,  42, 160S, 1241E,  38,  994, XX,  34, NEQ,   54,   59,   50,   46,     ,     ,  40,
SH, 27, 2026032206, 03, FNV3,  48, 167S, 1231E,  44,  991, XX,  34, NEQ,   67,   77,   61,   55,     ,     ,  36,
SH, 27, 2026032206, 03, FNV3,  48, 167S, 1231E,  44,  991, XX,  50, NEQ,    5,    6,    5,    4,     ,     ,  36,
SH, 27, 2026032206, 03, FNV3,  54, 170S, 1219E,  52,  987, XX,  34, NEQ,   84,   95,   85,   75,     ,     ,  32,
SH, 27, 2026032206, 03, FNV3,  54, 170S, 1219E,  52,  987, XX,  50, NEQ,   22,   26,   20,   18,     ,     ,  32,
SH, 27, 2026032206, 03, FNV3,  54, 170S, 1219E,  52,  987, XX,  64, NEQ,    2,    3,    2,    2,     ,     ,  32,
SH, 27, 2026032206, 03, FNV3,  60, 172S, 1209E,  62,  984, XX,  34, NEQ,  101,  118,  108,   90,     ,     ,  27,
SH, 27, 2026032206, 03, FNV3,  60, 172S, 1209E,  62,  984, XX,  50, NEQ,   41,   45,   39,   34,     ,     ,  27,
SH, 27, 2026032206, 03, FNV3,  60, 172S, 1209E,  62,  984, XX,  64, NEQ,    5,   10,    5,    5,     ,     ,  27,
SH, 27, 2026032206, 03, FNV3,  66, 178S, 1199E,  74,  975, XX,  34, NEQ,  109,  133,  123,   96,     ,     ,  20,
SH, 27, 2026032206, 03, FNV3,  66, 178S, 1199E,  74,  975, XX,  50, NEQ,   49,   55,   48,   42,     ,     ,  20,
SH, 27, 2026032206, 03, FNV3,  66, 178S, 1199E,  74,  975, XX,  64, NEQ,   15,   19,   16,   13,     ,     ,  20,
SH, 27, 2026032206, 03, FNV3,  72, 183S, 1189E,  90,  963, XX,  34, NEQ,  116,  149,  137,  101,     ,     ,  14,
SH, 27, 2026032206, 03, FNV3,  72, 183S, 1189E,  90,  963, XX,  50, NEQ,   63,   73,   66,   55,     ,     ,  14,
SH, 27, 2026032206, 03, FNV3,  72, 183S, 1189E,  90,  963, XX,  64, NEQ,   33,   35,   31,   29,     ,     ,  14,
SH, 27, 2026032206, 03, FNV3,  78, 188S, 1179E, 103,  952, XX,  34, NEQ,  128,  164,  153,  113,     ,     ,  14,
SH, 27, 2026032206, 03, FNV3,  78, 188S, 1179E, 103,  952, XX,  50, NEQ,   70,   81,   77,   63,     ,     ,  14,
SH, 27, 2026032206, 03, FNV3,  78, 188S, 1179E, 103,  952, XX,  64, NEQ,   44,   46,   41,   39,     ,     ,  14,
SH, 27, 2026032206, 03, FNV3,  84, 192S, 1171E, 112,  943, XX,  34, NEQ,  124,  165,  152,  109,     ,     ,  14,
SH, 27, 2026032206, 03, FNV3,  84, 192S, 1171E, 112,  943, XX,  50, NEQ,   70,   83,   77,   63,     ,     ,  14,
SH, 27, 2026032206, 03, FNV3,  84, 192S, 1171E, 112,  943, XX,  64, NEQ,   43,   46,   41,   38,     ,     ,  14,
