# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
SH, 27, 2026032212, 03, FNV3,   0, 141S, 1315E,  35,  993, XX,  34, NEQ,   40,     ,     ,  100,     ,     ,  35,
SH, 27, 2026032212, 03, FNV3,   6, 143S, 1304E,  36,  997, XX,  34, NEQ,   15,   21,   13,   12,     ,     ,  28,
SH, 27, 2026032212, 03, FNV3,  12, 147S, 1292E,  35,  996, XX,  34, NEQ,   22,   26,   22,   19,     ,     ,  34,
SH, 27, 2026032212, 03, FNV3,  12, 147S, 1292E,  35,  996, XX,  50, NEQ,    0,    1,    0,    0,     ,     ,  34,
SH, 27, 2026032212, 03, FNV3,  18, 152S, 1279E,  32,  996, XX,  34, NEQ,   12,   14,   10,    9,     ,     ,  32,
SH, 27, 2026032212, 03, FNV3,  18, 152S, 1279E,  32,  996, XX,  50, NEQ,    1,    0,    0,    0,     ,     ,  32,
SH, 27, 2026032212, 03, FNV3,  24, 155S, 1263E,  33,  995, XX,  34, NEQ,   25,   26,   20,   22,     ,     ,  34,
SH, 27, 2026032212, 03, FNV3,  30, 156S, 1251E,  36,  994, XX,  34, NEQ,   38,   37,   29,   29,     ,     ,  35,
SH, 27, 2026032212, 03, FNV3,  36, 160S, 1241E,  38,  993, XX,  34, NEQ,   62,   66,   55,   53,     ,     ,  41,
SH, 27, 2026032212, 03, FNV3,  36, 160S, 1241E,  38,  993, XX,  50, NEQ,    1,    1,    1,    1,     ,     ,  41,
SH, 27, 2026032212, 03, FNV3,  42, 165S, 1232E,  45,  990, XX,  34, NEQ,   70,   77,   63,   57,     ,     ,  36,
