# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
IO, 29, 2026040200, 03, FNV3,   0, 114S,  737E,  35, 1003, XX,  34, NEQ,   40,   35,   50,   45,     ,     ,  40,
IO, 29, 2026040200, 03, FNV3,   6, 119S,  732E,  37, 1000, XX,  34, NEQ,   18,   17,   12,   10,     ,     ,  29,
IO, 29, 2026040200, 03, FNV3,   6, 119S,  732E,  37, 1000, XX,  50, NEQ,    1,    0,    0,    0,     ,     ,  29,
IO, 29, 2026040200, 03, FNV3,  12, 122S,  730E,  40,  998, XX,  34, NEQ,   24,   26,   19,   18,     ,     ,  25,
IO, 29, 2026040200, 03, FNV3,  12, 122S,  730E,  40,  998, XX,  50, NEQ,    0,    1,    1,    0,     ,     ,  25,
IO, 29, 2026040200, 03, FNV3,  18, 128S,  728E,  43,  998, XX,  34, NEQ,   31,   36,   26,   25,     ,     ,  24,
IO, 29, 2026040200, 03, FNV3,  18, 128S,  728E,  43,  998, XX,  50, NEQ,    4,    3,    2,    2,     ,     ,  24,
IO, 29, 2026040200, 03, FNV3,  24, 137S,  727E,  50,  994, XX,  34, NEQ,   39,   46,   31,   30,     ,     ,  20,
IO, 29, 2026040200, 03, FNV3,  24, 137S,  727E,  50,  994, XX,  50, NEQ,    8,    9,    5,    5,     ,     ,  20,
IO, 29, 2026040200, 03, FNV3,  24, 137S,  727E,  50,  994, XX,  64, NEQ,    1,    1,    0,    0,     ,     ,  20,
IO, 29, 2026040200, 03, FNV3,  30, 148S,  721E,  52,  994, XX,  34, NEQ,   48,   52,   38,   35,     ,     ,  21,
IO, 29, 2026040200, 03, FNV3,  30, 148S,  721E,  52,  994, XX,  50, NEQ,   12,   12,    8,    8,     ,     ,  21,
IO, 29, 2026040200, 03, FNV3,  30, 148S,  721E,  52,  994, XX,  64, NEQ,    1,    1,    0,    0,     ,     ,  21,
IO, 29, 2026040200, 03, FNV3,  36, 159S,  715E,  56,  991, XX,  34, NEQ,   57,   67,   49,   43,     ,     ,  18,
IO, 29, 2026040200, 03, FNV3,  36, 159S,  715E,  56,  991, XX,  50, NEQ,   17,   18,   13,   12,     ,     ,  18,
IO, 29, 2026040200, 03, FNV3,  36, 159S,  715E,  56,  991, XX,  64, NEQ,    4,    4,    2,    3,     ,     ,  18,
IO, 29, 2026040200, 03, FNV3,  42, 172S,  708E,  63,  987, XX,  34, NEQ,   74,   81,   62,   56,     ,     ,  18,
IO, 29, 2026040200, 03, FNV3,  42, 172S,  708E,  63,  987, XX,  50, NEQ,   25,   25,   19,   18,     ,     ,  18,
IO, 29, 2026040200, 03, FNV3,  42, 172S,  708E,  63,  987, XX,  64, NEQ,    6,    6,    3,    4,     ,     ,  18,
IO, 29, 2026040200, 03, FNV3,  48, 184S,  701E,  71,  981, XX,  34, NEQ,   77,   86,   63,   56,     ,     ,  15,
IO, 29, 2026040200, 03, FNV3,  48, 184S,  701E,  71,  981, XX,  50, NEQ,   32,   32,   24,   24,     ,     ,  15,
IO, 29, 2026040200, 03, FNV3,  48, 184S,  701E,  71,  981, XX,  64, NEQ,   11,   12,    9,    9,     ,     ,  15,
IO, 29, 2026040200, 03, FNV3,  54, 198S,  697E,  76,  976, XX,  34, NEQ,   86,   96,   75,   66,     ,     ,  15,
IO, 29, 2026040200, 03, FNV3,  54, 198S,  697E,  76,  976, XX,  50, NEQ,   36,   37,   28,   28,     ,     ,  15,
IO, 29, 2026040200, 03, FNV3,  54, 198S,  697E,  76,  976, XX,  64, NEQ,   13,   13,   10,   10,     ,     ,  15,
IO, 29, 2026040200, 03, FNV3,  60, 213S,  695E,  78,  974, XX,  34, NEQ,   92,   99,   76,   68,     ,     ,  11,
IO, 29, 2026040200, 03, FNV3,  60, 213S,  695E,  78,  974, XX,  50, NEQ,   41,   40,   31,   31,     ,     ,  11,
IO, 29, 2026040200, 03, FNV3,  60, 213S,  695E,  78,  974, XX,  64, NEQ,   16,   15,   12,   13,     ,     ,  11,
IO, 29, 2026040200, 03, FNV3,  66, 232S,  696E,  82,  972, XX,  34, NEQ,   98,   99,   78,   75,     ,     ,  14,
IO, 29, 2026040200, 03, FNV3,  66, 232S,  696E,  82,  972, XX,  50, NEQ,   48,   45,   36,   38,     ,     ,  14,
IO, 29, 2026040200, 03, FNV3,  66, 232S,  696E,  82,  972, XX,  64, NEQ,   21,   17,   14,   16,     ,     ,  14,
IO, 29, 2026040200, 03, FNV3,  72, 251S,  698E,  83,  971, XX,  34, NEQ,   93,   96,   73,   68,     ,     ,  13,
IO, 29, 2026040200, 03, FNV3,  72, 251S,  698E,  83,  971, XX,  50, NEQ,   45,   43,   33,   35,     ,     ,  13,
IO, 29, 2026040200, 03, FNV3,  72, 251S,  698E,  83,  971, XX,  64, NEQ,   19,   16,   13,   15,     ,     ,  13,
