# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
IO, 29, 2026040400, 03, FNV3,   0, 192S,  708E,  70,  984, XX,  34, NEQ,  100,   90,   80,   50,     ,     ,  15,
IO, 29, 2026040400, 03, FNV3,   6, 200S,  702E,  68,  984, XX,  34, NEQ,   83,   94,   76,   63,     ,     ,  15,
IO, 29, 2026040400, 03, FNV3,   6, 200S,  702E,  68,  984, XX,  50, NEQ,   37,   35,   27,   27,     ,     ,  15,
IO, 29, 2026040400, 03, FNV3,   6, 200S,  702E,  68,  984, XX,  64, NEQ,    8,    8,    6,    6,     ,     ,  15,
IO, 29, 2026040400, 03, FNV3,  12, 215S,  700E,  68,  981, XX,  34, NEQ,   85,   92,   70,   62,     ,     ,  14,
IO, 29, 2026040400, 03, FNV3,  12, 215S,  700E,  68,  981, XX,  50, NEQ,   37,   35,   26,   27,     ,     ,  14,
IO, 29, 2026040400, 03, FNV3,  12, 215S,  700E,  68,  981, XX,  64, NEQ,   10,    8,    6,    7,     ,     ,  14,
IO, 29, 2026040400, 03, FNV3,  18, 234S,  700E,  68,  982, XX,  34, NEQ,   89,   91,   70,   68,     ,     ,  15,
IO, 29, 2026040400, 03, FNV3,  18, 234S,  700E,  68,  982, XX,  50, NEQ,   42,   38,   30,   32,     ,     ,  15,
IO, 29, 2026040400, 03, FNV3,  18, 234S,  700E,  68,  982, XX,  64, NEQ,   14,   11,    9,   10,     ,     ,  15,
IO, 29, 2026040400, 03, FNV3,  24, 253S,  701E,  71,  981, XX,  34, NEQ,   81,   84,   62,   58,     ,     ,  13,
IO, 29, 2026040400, 03, FNV3,  24, 253S,  701E,  71,  981, XX,  50, NEQ,   35,   32,   23,   25,     ,     ,  13,
IO, 29, 2026040400, 03, FNV3,  24, 253S,  701E,  71,  981, XX,  64, NEQ,   12,    8,    7,    8,     ,     ,  13,
IO, 29, 2026040400, 03, FNV3,  30, 275S,  706E,  69,  981, XX,  34, NEQ,   89,   90,   69,   66,     ,     ,  16,
IO, 29, 2026040400, 03, FNV3,  30, 275S,  706E,  69,  981, XX,  50, NEQ,   40,   35,   27,   29,     ,     ,  16,
IO, 29, 2026040400, 03, FNV3,  30, 275S,  706E,  69,  981, XX,  64, NEQ,   12,    9,    7,    8,     ,     ,  16,
IO, 29, 2026040400, 03, FNV3,  36, 296S,  712E,  60,  986, XX,  34, NEQ,   88,   85,   63,   62,     ,     ,  18,
IO, 29, 2026040400, 03, FNV3,  36, 296S,  712E,  60,  986, XX,  50, NEQ,   30,   25,   18,   20,     ,     ,  18,
IO, 29, 2026040400, 03, FNV3,  36, 296S,  712E,  60,  986, XX,  64, NEQ,    5,    3,    3,    3,     ,     ,  18,
IO, 29, 2026040400, 03, FNV3,  42, 317S,  721E,  51,  992, XX,  34, NEQ,   90,   87,   63,   66,     ,     ,  26,
IO, 29, 2026040400, 03, FNV3,  42, 317S,  721E,  51,  992, XX,  50, NEQ,   18,   15,   11,   11,     ,     ,  26,
IO, 29, 2026040400, 03, FNV3,  42, 317S,  721E,  51,  992, XX,  64, NEQ,    1,    0,    0,    0,     ,     ,  26,
IO, 29, 2026040400, 03, FNV3,  48, 336S,  730E,  43,  998, XX,  34, NEQ,   62,   59,   39,   43,     ,     ,  29,
IO, 29, 2026040400, 03, FNV3,  48, 336S,  730E,  43,  998, XX,  50, NEQ,    2,    2,    2,    1,     ,     ,  29,
IO, 29, 2026040400, 03, FNV3,  54, 355S,  741E,  37, 1001, XX,  34, NEQ,   30,   32,   17,   18,     ,     ,  34,
IO, 29, 2026040400, 03, FNV3,  54, 355S,  741E,  37, 1001, XX,  50, NEQ,    1,    0,    0,    0,     ,     ,  34,
