# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
SH, 30, 2026040800, 03, FNV3,   0,  90S, 1559E, 115,  937, XX,  34, NEQ,  120,  100,  120,  115,     ,     ,  17,
SH, 30, 2026040800, 03, FNV3,   6,  90S, 1559E,  99,  955, XX,  34, NEQ,   97,  111,  117,   98,     ,     ,  14,
SH, 30, 2026040800, 03, FNV3,   6,  90S, 1559E,  99,  955, XX,  50, NEQ,   49,   54,   54,   47,     ,     ,  14,
SH, 30, 2026040800, 03, FNV3,   6,  90S, 1559E,  99,  955, XX,  64, NEQ,   27,   29,   26,   25,     ,     ,  14,
SH, 30, 2026040800, 03, FNV3,  12,  88S, 1556E, 102,  955, XX,  34, NEQ,   92,  106,  112,   97,     ,     ,  16,
SH, 30, 2026040800, 03, FNV3,  12,  88S, 1556E, 102,  955, XX,  50, NEQ,   50,   54,   54,   47,     ,     ,  16,
SH, 30, 2026040800, 03, FNV3,  12,  88S, 1556E, 102,  955, XX,  64, NEQ,   28,   30,   26,   26,     ,     ,  16,
SH, 30, 2026040800, 03, FNV3,  18,  88S, 1553E,  99,  956, XX,  34, NEQ,  101,  121,  126,  102,     ,     ,  15,
SH, 30, 2026040800, 03, FNV3,  18,  88S, 1553E,  99,  956, XX,  50, NEQ,   55,   63,   61,   52,     ,     ,  15,
SH, 30, 2026040800, 03, FNV3,  18,  88S, 1553E,  99,  956, XX,  64, NEQ,   30,   33,   29,   29,     ,     ,  15,
SH, 30, 2026040800, 03, FNV3,  24,  88S, 1549E,  92,  962, XX,  34, NEQ,  101,  124,  129,  100,     ,     ,  17,
SH, 30, 2026040800, 03, FNV3,  24,  88S, 1549E,  92,  962, XX,  50, NEQ,   54,   62,   60,   49,     ,     ,  17,
SH, 30, 2026040800, 03, FNV3,  24,  88S, 1549E,  92,  962, XX,  64, NEQ,   28,   31,   28,   26,     ,     ,  17,
SH, 30, 2026040800, 03, FNV3,  30,  88S, 1544E,  90,  962, XX,  34, NEQ,  105,  129,  133,  102,     ,     ,  18,
SH, 30, 2026040800, 03, FNV3,  30,  88S, 1544E,  90,  962, XX,  50, NEQ,   56,   65,   62,   51,     ,     ,  18,
SH, 30, 2026040800, 03, FNV3,  30,  88S, 1544E,  90,  962, XX,  64, NEQ,   28,   32,   28,   26,     ,     ,  18,
SH, 30, 2026040800, 03, FNV3,  36,  87S, 1539E,  85,  966, XX,  34, NEQ,  103,  122,  129,  105,     ,     ,  21,
SH, 30, 2026040800, 03, FNV3,  36,  87S, 1539E,  85,  966, XX,  50, NEQ,   52,   60,   56,   49,     ,     ,  21,
SH, 30, 2026040800, 03, FNV3,  36,  87S, 1539E,  85,  966, XX,  64, NEQ,   22,   26,   22,   21,     ,     ,  21,
SH, 30, 2026040800, 03, FNV3,  42,  87S, 1535E,  78,  972, XX,  34, NEQ,   97,  117,  122,   96,     ,     ,  20,
