# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
SH, 30, 2026040818, 03, FNV3,   0,  86S, 1554E, 109,  944, XX,  34, NEQ,  100,   90,   90,  120,     ,     ,   5,
SH, 30, 2026040818, 03, FNV3,   6,  87S, 1552E, 102,  956, XX,  34, NEQ,   78,  106,  117,   81,     ,     ,  12,
SH, 30, 2026040818, 03, FNV3,   6,  87S, 1552E, 102,  956, XX,  50, NEQ,   42,   52,   53,   40,     ,     ,  12,
SH, 30, 2026040818, 03, FNV3,   6,  87S, 1552E, 102,  956, XX,  64, NEQ,   24,   28,   26,   23,     ,     ,  12,
SH, 30, 2026040818, 03, FNV3,  12,  86S, 1547E,  94,  961, XX,  34, NEQ,   90,  113,  119,   91,     ,     ,  16,
SH, 30, 2026040818, 03, FNV3,  12,  86S, 1547E,  94,  961, XX,  50, NEQ,   49,   57,   56,   47,     ,     ,  16,
SH, 30, 2026040818, 03, FNV3,  12,  86S, 1547E,  94,  961, XX,  64, NEQ,   27,   29,   26,   25,     ,     ,  16,
SH, 30, 2026040818, 03, FNV3,  18,  83S, 1542E,  83,  969, XX,  34, NEQ,   94,  104,  112,   99,     ,     ,  18,
SH, 30, 2026040818, 03, FNV3,  18,  83S, 1542E,  83,  969, XX,  50, NEQ,   50,   54,   51,   46,     ,     ,  18,
SH, 30, 2026040818, 03, FNV3,  18,  83S, 1542E,  83,  969, XX,  64, NEQ,   20,   23,   20,   19,     ,     ,  18,
SH, 30, 2026040818, 03, FNV3,  24,  81S, 1539E,  73,  976, XX,  34, NEQ,   93,  101,  109,   95,     ,     ,  20,
SH, 30, 2026040818, 03, FNV3,  24,  81S, 1539E,  73,  976, XX,  50, NEQ,   47,   49,   46,   43,     ,     ,  20,
SH, 30, 2026040818, 03, FNV3,  24,  81S, 1539E,  73,  976, XX,  64, NEQ,   13,   15,   13,   12,     ,     ,  20,
SH, 30, 2026040818, 03, FNV3,  30,  80S, 1538E,  68,  979, XX,  34, NEQ,   93,   99,  102,   92,     ,     ,  22,
SH, 30, 2026040818, 03, FNV3,  30,  80S, 1538E,  68,  979, XX,  50, NEQ,   40,   41,   37,   35,     ,     ,  22,
SH, 30, 2026040818, 03, FNV3,  30,  80S, 1538E,  68,  979, XX,  64, NEQ,    9,   10,   10,    9,     ,     ,  22,
SH, 30, 2026040818, 03, FNV3,  36,  80S, 1537E,  62,  983, XX,  34, NEQ,   97,  103,  103,   92,     ,     ,  24,
SH, 30, 2026040818, 03, FNV3,  36,  80S, 1537E,  62,  983, XX,  50, NEQ,   34,   34,   32,   29,     ,     ,  24,
SH, 30, 2026040818, 03, FNV3,  36,  80S, 1537E,  62,  983, XX,  64, NEQ,    8,    8,    6,    6,     ,     ,  24,
SH, 30, 2026040818, 03, FNV3,  42,  80S, 1535E,  57,  986, XX,  34, NEQ,   77,   83,   85,   75,     ,     ,  23,
SH, 30, 2026040818, 03, FNV3,  42,  80S, 1535E,  57,  986, XX,  50, NEQ,   26,   29,   27,   24,     ,     ,  23,
