# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
SH, 30, 2026041118, 03, FNV3,   0,  90S, 1557E,  29, 1000, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,  30,
SH, 30, 2026041118, 03, FNV3,   6,  97S, 1548E,  22, 1003, XX,  34, NEQ,    0,    0,    0,    0,     ,     ,  36,
SH, 30, 2026041118, 03, FNV3,  12, 103S, 1546E,  22, 1003, XX,  34, NEQ,    0,    0,    0,    0,     ,     ,  39,
SH, 30, 2026041118, 03, FNV3,  18, 107S, 1542E,  21, 1004, XX,  34, NEQ,    0,    0,    0,    0,     ,     ,  43,
WP, 04, 2026041118, 03, FNV3,   0,  93N, 1515E,  93,  957, XX,  34, NEQ,  215,  145,  145,  175,     ,     ,  15,
WP, 04, 2026041118, 03, FNV3,   6,  98N, 1511E, 109,  946, XX,  34, NEQ,  141,  137,  120,  123,     ,     ,  10,
WP, 04, 2026041118, 03, FNV3,   6,  98N, 1511E, 109,  946, XX,  50, NEQ,   71,   66,   55,   60,     ,     ,  10,
WP, 04, 2026041118, 03, FNV3,   6,  98N, 1511E, 109,  946, XX,  64, NEQ,   36,   33,   28,   31,     ,     ,  10,
WP, 04, 2026041118, 03, FNV3,  12, 104N, 1508E, 111,  943, XX,  34, NEQ,  148,  137,  114,  127,     ,     ,   9,
WP, 04, 2026041118, 03, FNV3,  12, 104N, 1508E, 111,  943, XX,  50, NEQ,   75,   67,   54,   63,     ,     ,   9,
WP, 04, 2026041118, 03, FNV3,  12, 104N, 1508E, 111,  943, XX,  64, NEQ,   36,   33,   27,   31,     ,     ,   9,
WP, 04, 2026041118, 03, FNV3,  18, 110N, 1502E, 116,  940, XX,  34, NEQ,  154,  139,  121,  135,     ,     ,  12,
WP, 04, 2026041118, 03, FNV3,  18, 110N, 1502E, 116,  940, XX,  50, NEQ,   79,   69,   57,   68,     ,     ,  12,
WP, 04, 2026041118, 03, FNV3,  18, 110N, 1502E, 116,  940, XX,  64, NEQ,   39,   35,   29,   34,     ,     ,  12,
WP, 04, 2026041118, 03, FNV3,  24, 116N, 1496E, 121,  934, XX,  34, NEQ,  168,  150,  127,  148,     ,     ,  10,
WP, 04, 2026041118, 03, FNV3,  24, 116N, 1496E, 121,  934, XX,  50, NEQ,   87,   77,   63,   75,     ,     ,  10,
WP, 04, 2026041118, 03, FNV3,  24, 116N, 1496E, 121,  934, XX,  64, NEQ,   44,   39,   32,   38,     ,     ,  10,
WP, 04, 2026041118, 03, FNV3,  30, 121N, 1490E, 128,  928, XX,  34, NEQ,  177,  158,  134,  158,     ,     ,  13,
WP, 04, 2026041118, 03, FNV3,  30, 121N, 1490E, 128,  928, XX,  50, NEQ,   92,   80,   66,   80,     ,     ,  13,
WP, 04, 2026041118, 03, FNV3,  30, 121N, 1490E, 128,  928, XX,  64, NEQ,   49,   44,   37,   43,     ,     ,  13,
WP, 04, 2026041118, 03, FNV3,  36, 127N, 1484E, 122,  931, XX,  34, NEQ,  177,  164,  139,  157,     ,     ,  14,
