# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
WP, 99, 2026052700, 03, GENC,   0,  98N, 1378E,  34, 1006, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
WP, 99, 2026052700, 03, GENC,   6, 103N, 1375E,  36, 1005, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
WP, 99, 2026052700, 03, GENC,  12, 109N, 1373E,  37, 1004, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
WP, 99, 2026052700, 03, GENC,  18, 115N, 1370E,  40, 1002, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
WP, 99, 2026052700, 03, GENC,  24, 121N, 1367E,  43, 1001, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
WP, 99, 2026052700, 03, GENC,  30, 128N, 1364E,  46,  998, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
WP, 99, 2026052700, 03, GENC,  36, 134N, 1361E,  50,  996, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
WP, 99, 2026052700, 03, GENC,  42, 141N, 1356E,  53,  994, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
WP, 99, 2026052700, 03, GENC,  48, 148N, 1350E,  56,  992, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
WP, 99, 2026052700, 03, GENC,  54, 153N, 1344E,  61,  989, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
WP, 99, 2026052700, 03, GENC,  60, 158N, 1338E,  65,  986, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
WP, 99, 2026052700, 03, GENC,  66, 164N, 1331E,  70,  982, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
WP, 99, 2026052700, 03, GENC,  72, 170N, 1325E,  74,  978, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
WP, 99, 2026052700, 03, GENC,  78, 178N, 1320E,  79,  975, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
WP, 99, 2026052700, 03, GENC,  84, 186N, 1316E,  83,  971, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
WP, 99, 2026052700, 03, GENC,  90, 195N, 1312E,  86,  969, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
WP, 99, 2026052700, 03, GENC,  96, 204N, 1308E,  89,  966, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
WP, 99, 2026052700, 03, GENC, 102, 213N, 1309E,  91,  964, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
WP, 99, 2026052700, 03, GENC, 108, 223N, 1309E,  93,  962, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
WP, 99, 2026052700, 03, GENC, 114, 233N, 1311E,  93,  963, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
WP, 99, 2026052700, 03, GENC, 120, 243N, 1312E,  93,  963, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
WP, 99, 2026052700, 03, GENC, 126, 254N, 1315E,  92,  963, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
WP, 99, 2026052700, 03, GENC, 132, 264N, 1318E,  91,  964, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
WP, 99, 2026052700, 03, GENC, 138, 276N, 1325E,  88,  967, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
WP, 99, 2026052700, 03, GENC, 144, 288N, 1332E,  86,  969, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
WP, 99, 2026052700, 03, GENC, 150, 300N, 1346E,  83,  971, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
WP, 99, 2026052700, 03, GENC, 156, 311N, 1360E,  81,  973, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
WP, 99, 2026052700, 03, GENC, 162, 323N, 1379E,  78,  975, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
WP, 99, 2026052700, 03, GENC, 168, 335N, 1399E,  76,  977, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
WP, 99, 2026052700, 03, GENC, 174, 344N, 1417E,  74,  979, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
WP, 99, 2026052700, 03, GENC, 180, 354N, 1439E,  71,  981, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
WP, 99, 2026052700, 03, GENC, 186, 360N, 1454E,  69,  982, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
WP, 99, 2026052700, 03, GENC, 192, 368N, 1474E,  66,  985, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
WP, 99, 2026052700, 03, GENC, 198, 374N, 1482E,  66,  985, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
WP, 99, 2026052700, 03, GENC, 204, 381N, 1500E,  63,  987, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
WP, 99, 2026052700, 03, GENC, 210, 388N, 1517E,  63,  986, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
WP, 99, 2026052700, 03, GENC, 216, 394N, 1538E,  61,  988, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
