# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
EP, 02, 2026060812, 03, FNV3,   0, 159N,  992W,  35, 1002, XX,  34, NEQ,   30,   30,   30,     ,     ,     ,  30,
EP, 02, 2026060812, 03, FNV3,   6, 155N,  987W,  50,  996, XX,  34, NEQ,   73,   69,   48,   56,     ,     ,  34,
EP, 02, 2026060812, 03, FNV3,   6, 155N,  987W,  50,  996, XX,  50, NEQ,   14,    7,    5,    6,     ,     ,  34,
EP, 02, 2026060812, 03, FNV3,  12, 160N,  987W,  49,  997, XX,  34, NEQ,   53,   49,   34,   42,     ,     ,  25,
EP, 02, 2026060812, 03, FNV3,  12, 160N,  987W,  49,  997, XX,  50, NEQ,    9,    7,    5,    7,     ,     ,  25,
EP, 02, 2026060812, 03, FNV3,  18, 169N,  993W,  39, 1001, XX,  34, NEQ,   25,   21,   15,   18,     ,     ,  28,
EP, 02, 2026060812, 03, FNV3,  18, 169N,  993W,  39, 1001, XX,  50, NEQ,    1,    0,    0,    0,     ,     ,  28,
EP, 02, 2026060812, 03, FNV3,  24, 175N, 1007W,  30, 1005, XX,  34, NEQ,    5,    3,    4,    2,     ,     ,  34,
EP, 02, 2026060812, 03, FNV3,  24, 175N, 1007W,  30, 1005, XX,  50, NEQ,    1,    0,    0,    0,     ,     ,  34,
EP, 03, 2026060812, 03, FNV3,   0, 112N,  875W,  29, 1006, XX,  34, NEQ,    0,    0,    0,    0,     ,     ,  90,
EP, 03, 2026060812, 03, FNV3,   6, 120N,  877W,  40, 1004, XX,  34, NEQ,   34,   19,   10,   14,     ,     ,  36,
EP, 03, 2026060812, 03, FNV3,  12, 124N,  877W,  38, 1003, XX,  34, NEQ,   30,   17,    9,   12,     ,     ,  32,
EP, 03, 2026060812, 03, FNV3,  18, 124N,  875W,  34, 1005, XX,  34, NEQ,   16,   12,    6,    9,     ,     ,  34,
EP, 03, 2026060812, 03, FNV3,  18, 124N,  875W,  34, 1005, XX,  50, NEQ,    1,    0,    0,    0,     ,     ,  34,
EP, 03, 2026060812, 03, FNV3,  24, 122N,  875W,  35, 1004, XX,  34, NEQ,   17,   18,   11,   13,     ,     ,  35,
EP, 03, 2026060812, 03, FNV3,  30, 120N,  877W,  38, 1004, XX,  34, NEQ,   16,   17,   12,   13,     ,     ,  34,
EP, 03, 2026060812, 03, FNV3,  30, 120N,  877W,  38, 1004, XX,  50, NEQ,    4,    1,    1,    1,     ,     ,  34,
EP, 03, 2026060812, 03, FNV3,  36, 120N,  877W,  38, 1003, XX,  34, NEQ,   16,   14,    8,   10,     ,     ,  36,
EP, 03, 2026060812, 03, FNV3,  36, 120N,  877W,  38, 1003, XX,  50, NEQ,    3,    2,    1,    2,     ,     ,  36,
EP, 03, 2026060812, 03, FNV3,  36, 120N,  877W,  38, 1003, XX,  64, NEQ,    1,    0,    0,    0,     ,     ,  36,
