# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
AL, 01, 2026061800, 03, FNV3,   0, 294N,  948W,  35,  999, XX,  34, NEQ,     ,  150,     ,     ,     ,     , 110,
WP, 92, 2026061800, 03, FNV3,   0, 120N, 1478E,  19, 1008, XX,  34, NEQ,    0,    0,    0,    0,     ,     ,  80,
WP, 92, 2026061800, 03, FNV3,   6, 123N, 1469E,  18, 1008, XX,  34, NEQ,    0,    0,    0,    0,     ,     ,  53,
WP, 92, 2026061800, 03, FNV3,  12, 123N, 1458E,  25, 1004, XX,  34, NEQ,    2,    0,    0,    0,     ,     ,  46,
WP, 92, 2026061800, 03, FNV3,  18, 125N, 1446E,  29, 1003, XX,  34, NEQ,    2,    1,    0,    1,     ,     ,  43,
WP, 92, 2026061800, 03, FNV3,  24, 126N, 1433E,  31, 1003, XX,  34, NEQ,    9,    3,    2,    5,     ,     ,  41,
WP, 92, 2026061800, 03, FNV3,  30, 130N, 1419E,  33, 1001, XX,  34, NEQ,   17,    8,    5,    9,     ,     ,  39,
WP, 92, 2026061800, 03, FNV3,  36, 132N, 1406E,  38,  999, XX,  34, NEQ,   33,   18,   12,   19,     ,     ,  39,
WP, 92, 2026061800, 03, FNV3,  36, 132N, 1406E,  38,  999, XX,  50, NEQ,    2,    0,    0,    0,     ,     ,  39,
WP, 92, 2026061800, 03, FNV3,  42, 135N, 1395E,  41,  998, XX,  34, NEQ,   43,   28,   17,   28,     ,     ,  35,
WP, 92, 2026061800, 03, FNV3,  42, 135N, 1395E,  41,  998, XX,  50, NEQ,    3,    1,    1,    1,     ,     ,  35,
WP, 92, 2026061800, 03, FNV3,  48, 136N, 1383E,  48,  994, XX,  34, NEQ,   60,   42,   30,   45,     ,     ,  31,
WP, 92, 2026061800, 03, FNV3,  48, 136N, 1383E,  48,  994, XX,  50, NEQ,   10,    4,    3,    5,     ,     ,  31,
WP, 92, 2026061800, 03, FNV3,  48, 136N, 1383E,  48,  994, XX,  64, NEQ,    1,    0,    0,    0,     ,     ,  31,
WP, 92, 2026061800, 03, FNV3,  54, 139N, 1373E,  52,  991, XX,  34, NEQ,   79,   60,   46,   66,     ,     ,  24,
WP, 92, 2026061800, 03, FNV3,  54, 139N, 1373E,  52,  991, XX,  50, NEQ,   14,    9,    6,   10,     ,     ,  24,
WP, 92, 2026061800, 03, FNV3,  54, 139N, 1373E,  52,  991, XX,  64, NEQ,    2,    1,    1,    1,     ,     ,  24,
WP, 92, 2026061800, 03, FNV3,  60, 142N, 1361E,  59,  987, XX,  34, NEQ,   82,   61,   47,   69,     ,     ,  22,
WP, 92, 2026061800, 03, FNV3,  60, 142N, 1361E,  59,  987, XX,  50, NEQ,   22,   14,   10,   16,     ,     ,  22,
WP, 92, 2026061800, 03, FNV3,  60, 142N, 1361E,  59,  987, XX,  64, NEQ,    4,    3,    2,    3,     ,     ,  22,
WP, 92, 2026061800, 03, FNV3,  66, 146N, 1348E,  66,  982, XX,  34, NEQ,   96,   75,   60,   83,     ,     ,  20,
WP, 92, 2026061800, 03, FNV3,  66, 146N, 1348E,  66,  982, XX,  50, NEQ,   29,   21,   16,   23,     ,     ,  20,
WP, 92, 2026061800, 03, FNV3,  66, 146N, 1348E,  66,  982, XX,  64, NEQ,    7,    4,    4,    6,     ,     ,  20,
WP, 92, 2026061800, 03, FNV3,  72, 151N, 1335E,  76,  974, XX,  34, NEQ,   95,   75,   61,   84,     ,     ,  14,
WP, 92, 2026061800, 03, FNV3,  72, 151N, 1335E,  76,  974, XX,  50, NEQ,   41,   31,   24,   33,     ,     ,  14,
WP, 92, 2026061800, 03, FNV3,  72, 151N, 1335E,  76,  974, XX,  64, NEQ,   15,   12,    9,   12,     ,     ,  14,
WP, 92, 2026061800, 03, FNV3,  78, 156N, 1323E,  87,  968, XX,  34, NEQ,  103,   84,   72,   93,     ,     ,   9,
