# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
WP, 07, 2026062006, 03, FNV3,   0, 141N, 1368E,  45,  997, XX,  34, NEQ,   90,     ,     ,   90,     ,     ,  40,
WP, 07, 2026062006, 03, FNV3,   6, 147N, 1356E,  60,  988, XX,  34, NEQ,   98,   74,   57,   83,     ,     ,  17,
WP, 07, 2026062006, 03, FNV3,   6, 147N, 1356E,  60,  988, XX,  50, NEQ,   24,   14,   10,   16,     ,     ,  17,
WP, 07, 2026062006, 03, FNV3,   6, 147N, 1356E,  60,  988, XX,  64, NEQ,    3,    1,    1,    1,     ,     ,  17,
WP, 07, 2026062006, 03, FNV3,  12, 152N, 1343E,  64,  984, XX,  34, NEQ,  103,   80,   62,   88,     ,     ,  16,
WP, 07, 2026062006, 03, FNV3,  12, 152N, 1343E,  64,  984, XX,  50, NEQ,   37,   28,   20,   29,     ,     ,  16,
WP, 07, 2026062006, 03, FNV3,  12, 152N, 1343E,  64,  984, XX,  64, NEQ,    8,    6,    4,    6,     ,     ,  16,
WP, 07, 2026062006, 03, FNV3,  18, 156N, 1330E,  79,  973, XX,  34, NEQ,   95,   73,   62,   85,     ,     ,  11,
WP, 07, 2026062006, 03, FNV3,  18, 156N, 1330E,  79,  973, XX,  50, NEQ,   46,   36,   28,   38,     ,     ,  11,
WP, 07, 2026062006, 03, FNV3,  18, 156N, 1330E,  79,  973, XX,  64, NEQ,   19,   15,   12,   15,     ,     ,  11,
WP, 07, 2026062006, 03, FNV3,  24, 162N, 1318E,  85,  968, XX,  34, NEQ,   93,   75,   67,   86,     ,     ,   8,
WP, 07, 2026062006, 03, FNV3,  24, 162N, 1318E,  85,  968, XX,  50, NEQ,   44,   36,   28,   38,     ,     ,   8,
WP, 07, 2026062006, 03, FNV3,  24, 162N, 1318E,  85,  968, XX,  64, NEQ,   20,   16,   13,   16,     ,     ,   8,
WP, 07, 2026062006, 03, FNV3,  30, 167N, 1306E,  94,  962, XX,  34, NEQ,   94,   79,   73,   90,     ,     ,   9,
WP, 07, 2026062006, 03, FNV3,  30, 167N, 1306E,  94,  962, XX,  50, NEQ,   47,   39,   31,   40,     ,     ,   9,
WP, 07, 2026062006, 03, FNV3,  30, 167N, 1306E,  94,  962, XX,  64, NEQ,   23,   19,   16,   20,     ,     ,   9,
WP, 07, 2026062006, 03, FNV3,  36, 173N, 1294E, 100,  956, XX,  34, NEQ,  103,   86,   76,   96,     ,     ,   7,
WP, 07, 2026062006, 03, FNV3,  36, 173N, 1294E, 100,  956, XX,  50, NEQ,   51,   43,   34,   45,     ,     ,   7,
WP, 07, 2026062006, 03, FNV3,  36, 173N, 1294E, 100,  956, XX,  64, NEQ,   26,   22,   18,   22,     ,     ,   7,
WP, 07, 2026062006, 03, FNV3,  42, 178N, 1283E, 113,  943, XX,  34, NEQ,  106,   90,   84,   99,     ,     ,   7,
WP, 07, 2026062006, 03, FNV3,  42, 178N, 1283E, 113,  943, XX,  50, NEQ,   52,   44,   36,   46,     ,     ,   7,
WP, 07, 2026062006, 03, FNV3,  42, 178N, 1283E, 113,  943, XX,  64, NEQ,   27,   24,   20,   24,     ,     ,   7,
WP, 07, 2026062006, 03, FNV3,  48, 182N, 1273E, 114,  943, XX,  34, NEQ,  108,   93,   86,  101,     ,     ,   8,
WP, 07, 2026062006, 03, FNV3,  48, 182N, 1273E, 114,  943, XX,  50, NEQ,   51,   43,   35,   45,     ,     ,   8,
WP, 07, 2026062006, 03, FNV3,  48, 182N, 1273E, 114,  943, XX,  64, NEQ,   28,   24,   20,   25,     ,     ,   8,
WP, 07, 2026062006, 03, FNV3,  54, 185N, 1266E, 117,  939, XX,  34, NEQ,  108,   94,   92,  105,     ,     ,   9,
WP, 07, 2026062006, 03, FNV3,  54, 185N, 1266E, 117,  939, XX,  50, NEQ,   55,   47,   40,   50,     ,     ,   9,
WP, 07, 2026062006, 03, FNV3,  54, 185N, 1266E, 117,  939, XX,  64, NEQ,   31,   28,   24,   28,     ,     ,   9,
WP, 07, 2026062006, 03, FNV3,  60, 188N, 1259E, 111,  943, XX,  34, NEQ,  121,  105,   97,  112,     ,     ,  10,
WP, 07, 2026062006, 03, FNV3,  60, 188N, 1259E, 111,  943, XX,  50, NEQ,   60,   51,   43,   53,     ,     ,  10,
WP, 07, 2026062006, 03, FNV3,  60, 188N, 1259E, 111,  943, XX,  64, NEQ,   33,   29,   25,   29,     ,     ,  10,
