# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
WP, 07, 2026062018, 03, FNV3,   0, 147N, 1342E,  54,  993, XX,  34, NEQ,  120,   60,   35,   90,     ,     ,  30,
WP, 07, 2026062018, 03, FNV3,   6, 154N, 1331E,  77,  976, XX,  34, NEQ,   93,   77,   66,   83,     ,     ,  12,
WP, 07, 2026062018, 03, FNV3,   6, 154N, 1331E,  77,  976, XX,  50, NEQ,   40,   32,   25,   34,     ,     ,  12,
WP, 07, 2026062018, 03, FNV3,   6, 154N, 1331E,  77,  976, XX,  64, NEQ,   17,   12,    9,   12,     ,     ,  12,
WP, 07, 2026062018, 03, FNV3,  12, 162N, 1319E,  89,  966, XX,  34, NEQ,   95,   78,   67,   86,     ,     ,   7,
WP, 07, 2026062018, 03, FNV3,  12, 162N, 1319E,  89,  966, XX,  50, NEQ,   47,   39,   30,   40,     ,     ,   7,
WP, 07, 2026062018, 03, FNV3,  12, 162N, 1319E,  89,  966, XX,  64, NEQ,   22,   19,   15,   19,     ,     ,   7,
WP, 07, 2026062018, 03, FNV3,  18, 167N, 1306E,  98,  958, XX,  34, NEQ,   94,   78,   73,   90,     ,     ,   8,
WP, 07, 2026062018, 03, FNV3,  18, 167N, 1306E,  98,  958, XX,  50, NEQ,   50,   41,   34,   44,     ,     ,   8,
WP, 07, 2026062018, 03, FNV3,  18, 167N, 1306E,  98,  958, XX,  64, NEQ,   25,   22,   18,   22,     ,     ,   8,
WP, 07, 2026062018, 03, FNV3,  24, 172N, 1293E, 105,  952, XX,  34, NEQ,   93,   77,   71,   88,     ,     ,   5,
WP, 07, 2026062018, 03, FNV3,  24, 172N, 1293E, 105,  952, XX,  50, NEQ,   46,   37,   30,   40,     ,     ,   5,
WP, 07, 2026062018, 03, FNV3,  24, 172N, 1293E, 105,  952, XX,  64, NEQ,   24,   21,   17,   21,     ,     ,   5,
WP, 07, 2026062018, 03, FNV3,  30, 177N, 1281E, 112,  946, XX,  34, NEQ,  101,   86,   79,   96,     ,     ,   8,
WP, 07, 2026062018, 03, FNV3,  30, 177N, 1281E, 112,  946, XX,  50, NEQ,   52,   43,   36,   46,     ,     ,   8,
WP, 07, 2026062018, 03, FNV3,  30, 177N, 1281E, 112,  946, XX,  64, NEQ,   29,   25,   20,   25,     ,     ,   8,
WP, 07, 2026062018, 03, FNV3,  36, 180N, 1271E, 119,  939, XX,  34, NEQ,  110,   93,   88,  106,     ,     ,   8,
WP, 07, 2026062018, 03, FNV3,  36, 180N, 1271E, 119,  939, XX,  50, NEQ,   55,   45,   38,   49,     ,     ,   8,
WP, 07, 2026062018, 03, FNV3,  36, 180N, 1271E, 119,  939, XX,  64, NEQ,   31,   26,   22,   27,     ,     ,   8,
WP, 07, 2026062018, 03, FNV3,  42, 183N, 1262E, 112,  944, XX,  34, NEQ,  105,   90,   89,  102,     ,     ,  10,
WP, 07, 2026062018, 03, FNV3,  42, 183N, 1262E, 112,  944, XX,  50, NEQ,   54,   46,   39,   49,     ,     ,  10,
WP, 07, 2026062018, 03, FNV3,  42, 183N, 1262E, 112,  944, XX,  64, NEQ,   31,   27,   22,   27,     ,     ,  10,
WP, 07, 2026062018, 03, FNV3,  48, 186N, 1256E, 105,  949, XX,  34, NEQ,  111,   96,   92,  105,     ,     ,  10,
WP, 07, 2026062018, 03, FNV3,  48, 186N, 1256E, 105,  949, XX,  50, NEQ,   58,   50,   42,   52,     ,     ,  10,
WP, 07, 2026062018, 03, FNV3,  48, 186N, 1256E, 105,  949, XX,  64, NEQ,   32,   28,   24,   28,     ,     ,  10,
WP, 07, 2026062018, 03, FNV3,  54, 189N, 1251E, 101,  952, XX,  34, NEQ,  117,  106,   96,  107,     ,     ,  13,
WP, 07, 2026062018, 03, FNV3,  54, 189N, 1251E, 101,  952, XX,  50, NEQ,   62,   55,   46,   55,     ,     ,  13,
WP, 07, 2026062018, 03, FNV3,  54, 189N, 1251E, 101,  952, XX,  64, NEQ,   34,   31,   25,   29,     ,     ,  13,
WP, 07, 2026062018, 03, FNV3,  60, 193N, 1248E, 100,  952, XX,  34, NEQ,  109,  104,   90,   97,     ,     ,  14,
WP, 07, 2026062018, 03, FNV3,  60, 193N, 1248E, 100,  952, XX,  50, NEQ,   57,   51,   42,   49,     ,     ,  14,
WP, 07, 2026062018, 03, FNV3,  60, 193N, 1248E, 100,  952, XX,  64, NEQ,   32,   29,   24,   27,     ,     ,  14,
WP, 07, 2026062018, 03, FNV3,  66, 197N, 1246E,  98,  955, XX,  34, NEQ,  117,  115,  103,  105,     ,     ,  15,
