# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
WP, 07, 2026062100, 03, FNV3,   0, 154N, 1332E,  54,  993, XX,  34, NEQ,  125,   65,   50,  100,     ,     ,  25,
WP, 07, 2026062100, 03, FNV3,   6, 161N, 1318E,  84,  970, XX,  34, NEQ,   90,   74,   65,   83,     ,     ,   9,
WP, 07, 2026062100, 03, FNV3,   6, 161N, 1318E,  84,  970, XX,  50, NEQ,   48,   40,   31,   41,     ,     ,   9,
WP, 07, 2026062100, 03, FNV3,   6, 161N, 1318E,  84,  970, XX,  64, NEQ,   23,   20,   16,   20,     ,     ,   9,
WP, 07, 2026062100, 03, FNV3,  12, 167N, 1305E,  91,  965, XX,  34, NEQ,   95,   79,   73,   89,     ,     ,   9,
WP, 07, 2026062100, 03, FNV3,  12, 167N, 1305E,  91,  965, XX,  50, NEQ,   46,   38,   31,   40,     ,     ,   9,
WP, 07, 2026062100, 03, FNV3,  12, 167N, 1305E,  91,  965, XX,  64, NEQ,   22,   19,   15,   19,     ,     ,   9,
WP, 07, 2026062100, 03, FNV3,  18, 172N, 1292E,  94,  962, XX,  34, NEQ,   93,   75,   68,   87,     ,     ,   7,
WP, 07, 2026062100, 03, FNV3,  18, 172N, 1292E,  94,  962, XX,  50, NEQ,   48,   39,   31,   41,     ,     ,   7,
WP, 07, 2026062100, 03, FNV3,  18, 172N, 1292E,  94,  962, XX,  64, NEQ,   23,   20,   16,   20,     ,     ,   7,
WP, 07, 2026062100, 03, FNV3,  24, 176N, 1280E,  97,  958, XX,  34, NEQ,   98,   81,   75,   91,     ,     ,   8,
WP, 07, 2026062100, 03, FNV3,  24, 176N, 1280E,  97,  958, XX,  50, NEQ,   51,   42,   34,   44,     ,     ,   8,
WP, 07, 2026062100, 03, FNV3,  24, 176N, 1280E,  97,  958, XX,  64, NEQ,   25,   21,   17,   22,     ,     ,   8,
WP, 07, 2026062100, 03, FNV3,  30, 181N, 1270E, 107,  949, XX,  34, NEQ,  100,   86,   82,   94,     ,     ,   8,
WP, 07, 2026062100, 03, FNV3,  30, 181N, 1270E, 107,  949, XX,  50, NEQ,   47,   39,   32,   42,     ,     ,   8,
WP, 07, 2026062100, 03, FNV3,  30, 181N, 1270E, 107,  949, XX,  64, NEQ,   26,   22,   18,   22,     ,     ,   8,
WP, 07, 2026062100, 03, FNV3,  36, 183N, 1262E, 106,  949, XX,  34, NEQ,  104,   90,   88,  100,     ,     ,  11,
WP, 07, 2026062100, 03, FNV3,  36, 183N, 1262E, 106,  949, XX,  50, NEQ,   52,   44,   37,   47,     ,     ,  11,
WP, 07, 2026062100, 03, FNV3,  36, 183N, 1262E, 106,  949, XX,  64, NEQ,   28,   24,   21,   25,     ,     ,  11,
WP, 07, 2026062100, 03, FNV3,  42, 187N, 1255E,  97,  956, XX,  34, NEQ,  110,   95,   90,  104,     ,     ,  11,
WP, 07, 2026062100, 03, FNV3,  42, 187N, 1255E,  97,  956, XX,  50, NEQ,   57,   48,   40,   50,     ,     ,  11,
WP, 07, 2026062100, 03, FNV3,  42, 187N, 1255E,  97,  956, XX,  64, NEQ,   30,   26,   22,   26,     ,     ,  11,
WP, 07, 2026062100, 03, FNV3,  48, 190N, 1251E,  94,  958, XX,  34, NEQ,  104,   94,   87,   94,     ,     ,  14,
WP, 07, 2026062100, 03, FNV3,  48, 190N, 1251E,  94,  958, XX,  50, NEQ,   53,   46,   39,   47,     ,     ,  14,
WP, 07, 2026062100, 03, FNV3,  48, 190N, 1251E,  94,  958, XX,  64, NEQ,   29,   26,   22,   26,     ,     ,  14,
WP, 07, 2026062100, 03, FNV3,  54, 194N, 1248E,  93,  958, XX,  34, NEQ,  112,  107,   94,  100,     ,     ,  14,
WP, 07, 2026062100, 03, FNV3,  54, 194N, 1248E,  93,  958, XX,  50, NEQ,   59,   54,   44,   52,     ,     ,  14,
WP, 07, 2026062100, 03, FNV3,  54, 194N, 1248E,  93,  958, XX,  64, NEQ,   33,   30,   25,   28,     ,     ,  14,
WP, 07, 2026062100, 03, FNV3,  60, 197N, 1246E,  90,  961, XX,  34, NEQ,  109,  109,   98,   98,     ,     ,  16,
WP, 07, 2026062100, 03, FNV3,  60, 197N, 1246E,  90,  961, XX,  50, NEQ,   60,   57,   49,   53,     ,     ,  16,
WP, 07, 2026062100, 03, FNV3,  60, 197N, 1246E,  90,  961, XX,  64, NEQ,   34,   31,   26,   28,     ,     ,  16,
WP, 07, 2026062100, 03, FNV3,  66, 202N, 1245E,  84,  966, XX,  34, NEQ,  121,  120,  100,  101,     ,     ,  18,
WP, 07, 2026062100, 03, FNV3,  66, 202N, 1245E,  84,  966, XX,  50, NEQ,   59,   56,   46,   50,     ,     ,  18,
WP, 07, 2026062100, 03, FNV3,  66, 202N, 1245E,  84,  966, XX,  64, NEQ,   30,   27,   23,   25,     ,     ,  18,
WP, 07, 2026062100, 03, FNV3,  72, 206N, 1245E,  79,  969, XX,  34, NEQ,  115,  119,  101,   97,     ,     ,  18,
WP, 07, 2026062100, 03, FNV3,  72, 206N, 1245E,  79,  969, XX,  50, NEQ,   58,   56,   46,   49,     ,     ,  18,
WP, 07, 2026062100, 03, FNV3,  72, 206N, 1245E,  79,  969, XX,  64, NEQ,   28,   25,   21,   23,     ,     ,  18,
WP, 07, 2026062100, 03, FNV3,  78, 212N, 1246E,  74,  971, XX,  34, NEQ,  106,  114,   94,   88,     ,     ,  20,
WP, 07, 2026062100, 03, FNV3,  78, 212N, 1246E,  74,  971, XX,  50, NEQ,   49,   48,   38,   40,     ,     ,  20,
WP, 07, 2026062100, 03, FNV3,  78, 212N, 1246E,  74,  971, XX,  64, NEQ,   20,   18,   14,   15,     ,     ,  20,
WP, 07, 2026062100, 03, FNV3,  84, 218N, 1247E,  68,  977, XX,  34, NEQ,  107,  114,   97,   90,     ,     ,  22,
WP, 07, 2026062100, 03, FNV3,  84, 218N, 1247E,  68,  977, XX,  50, NEQ,   50,   48,   39,   41,     ,     ,  22,
WP, 07, 2026062100, 03, FNV3,  84, 218N, 1247E,  68,  977, XX,  64, NEQ,   17,   17,   13,   14,     ,     ,  22,
WP, 07, 2026062100, 03, FNV3,  90, 224N, 1248E,  62,  980, XX,  34, NEQ,  106,  111,   94,   89,     ,     ,  22,
WP, 07, 2026062100, 03, FNV3,  90, 224N, 1248E,  62,  980, XX,  50, NEQ,   42,   43,   32,   34,     ,     ,  22,
WP, 07, 2026062100, 03, FNV3,  90, 224N, 1248E,  62,  980, XX,  64, NEQ,   11,   10,    8,    9,     ,     ,  22,
WP, 07, 2026062100, 03, FNV3,  96, 229N, 1251E,  59,  981, XX,  34, NEQ,  106,  113,   95,   88,     ,     ,  29,
WP, 07, 2026062100, 03, FNV3,  96, 229N, 1251E,  59,  981, XX,  50, NEQ,   34,   33,   25,   25,     ,     ,  29,
WP, 07, 2026062100, 03, FNV3,  96, 229N, 1251E,  59,  981, XX,  64, NEQ,    8,    9,    7,    6,     ,     ,  29,
WP, 07, 2026062100, 03, FNV3, 102, 235N, 1254E,  58,  981, XX,  34, NEQ,  106,  114,   92,   86,     ,     ,  27,
WP, 07, 2026062100, 03, FNV3, 102, 235N, 1254E,  58,  981, XX,  50, NEQ,   34,   35,   25,   26,     ,     ,  27,
WP, 07, 2026062100, 03, FNV3, 102, 235N, 1254E,  58,  981, XX,  64, NEQ,    5,    5,    3,    3,     ,     ,  27,
WP, 07, 2026062100, 03, FNV3, 108, 241N, 1257E,  56,  983, XX,  34, NEQ,  101,  110,   90,   82,     ,     ,  28,
WP, 07, 2026062100, 03, FNV3, 108, 241N, 1257E,  56,  983, XX,  50, NEQ,   26,   28,   20,   20,     ,     ,  28,
WP, 07, 2026062100, 03, FNV3, 108, 241N, 1257E,  56,  983, XX,  64, NEQ,    5,    4,    4,    3,     ,     ,  28,
