# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
WP, 07, 2026062106, 03, FNV3,   0, 161N, 1319E,  64,  988, XX,  34, NEQ,   90,   35,   35,   85,     ,     ,  20,
WP, 07, 2026062106, 03, FNV3,   6, 167N, 1305E,  87,  967, XX,  34, NEQ,   90,   74,   67,   84,     ,     ,  11,
WP, 07, 2026062106, 03, FNV3,   6, 167N, 1305E,  87,  967, XX,  50, NEQ,   45,   37,   30,   40,     ,     ,  11,
WP, 07, 2026062106, 03, FNV3,   6, 167N, 1305E,  87,  967, XX,  64, NEQ,   22,   18,   15,   19,     ,     ,  11,
WP, 07, 2026062106, 03, FNV3,  12, 172N, 1293E,  95,  961, XX,  34, NEQ,   97,   79,   70,   89,     ,     ,   7,
WP, 07, 2026062106, 03, FNV3,  12, 172N, 1293E,  95,  961, XX,  50, NEQ,   48,   39,   31,   41,     ,     ,   7,
WP, 07, 2026062106, 03, FNV3,  12, 172N, 1293E,  95,  961, XX,  64, NEQ,   22,   19,   16,   20,     ,     ,   7,
WP, 07, 2026062106, 03, FNV3,  18, 177N, 1281E, 103,  953, XX,  34, NEQ,   98,   84,   74,   90,     ,     ,   8,
WP, 07, 2026062106, 03, FNV3,  18, 177N, 1281E, 103,  953, XX,  50, NEQ,   46,   38,   31,   40,     ,     ,   8,
WP, 07, 2026062106, 03, FNV3,  18, 177N, 1281E, 103,  953, XX,  64, NEQ,   24,   20,   17,   20,     ,     ,   8,
WP, 07, 2026062106, 03, FNV3,  24, 181N, 1271E, 109,  948, XX,  34, NEQ,  101,   86,   79,   93,     ,     ,   7,
WP, 07, 2026062106, 03, FNV3,  24, 181N, 1271E, 109,  948, XX,  50, NEQ,   47,   38,   31,   41,     ,     ,   7,
WP, 07, 2026062106, 03, FNV3,  24, 181N, 1271E, 109,  948, XX,  64, NEQ,   24,   21,   17,   21,     ,     ,   7,
WP, 07, 2026062106, 03, FNV3,  30, 184N, 1262E, 112,  943, XX,  34, NEQ,  107,   92,   90,  103,     ,     ,   9,
WP, 07, 2026062106, 03, FNV3,  30, 184N, 1262E, 112,  943, XX,  50, NEQ,   53,   44,   38,   48,     ,     ,   9,
WP, 07, 2026062106, 03, FNV3,  30, 184N, 1262E, 112,  943, XX,  64, NEQ,   29,   26,   22,   26,     ,     ,   9,
WP, 07, 2026062106, 03, FNV3,  36, 187N, 1257E, 106,  949, XX,  34, NEQ,  117,  102,   96,  110,     ,     ,   9,
WP, 07, 2026062106, 03, FNV3,  36, 187N, 1257E, 106,  949, XX,  50, NEQ,   60,   52,   44,   54,     ,     ,   9,
WP, 07, 2026062106, 03, FNV3,  36, 187N, 1257E, 106,  949, XX,  64, NEQ,   34,   31,   26,   30,     ,     ,   9,
WP, 07, 2026062106, 03, FNV3,  42, 189N, 1252E, 102,  951, XX,  34, NEQ,  112,  102,   93,  102,     ,     ,  11,
WP, 07, 2026062106, 03, FNV3,  42, 189N, 1252E, 102,  951, XX,  50, NEQ,   55,   49,   41,   49,     ,     ,  11,
WP, 07, 2026062106, 03, FNV3,  42, 189N, 1252E, 102,  951, XX,  64, NEQ,   30,   27,   22,   26,     ,     ,  11,
WP, 07, 2026062106, 03, FNV3,  48, 194N, 1248E, 102,  951, XX,  34, NEQ,  116,  110,   96,  102,     ,     ,  11,
WP, 07, 2026062106, 03, FNV3,  48, 194N, 1248E, 102,  951, XX,  50, NEQ,   57,   50,   41,   49,     ,     ,  11,
WP, 07, 2026062106, 03, FNV3,  48, 194N, 1248E, 102,  951, XX,  64, NEQ,   31,   27,   22,   26,     ,     ,  11,
WP, 07, 2026062106, 03, FNV3,  54, 197N, 1247E, 101,  951, XX,  34, NEQ,  120,  120,  107,  106,     ,     ,  15,
WP, 07, 2026062106, 03, FNV3,  54, 197N, 1247E, 101,  951, XX,  50, NEQ,   62,   59,   49,   55,     ,     ,  15,
WP, 07, 2026062106, 03, FNV3,  54, 197N, 1247E, 101,  951, XX,  64, NEQ,   33,   31,   26,   29,     ,     ,  15,
WP, 07, 2026062106, 03, FNV3,  60, 202N, 1246E,  94,  956, XX,  34, NEQ,  122,  123,  104,  102,     ,     ,  15,
WP, 07, 2026062106, 03, FNV3,  60, 202N, 1246E,  94,  956, XX,  50, NEQ,   61,   58,   48,   52,     ,     ,  15,
WP, 07, 2026062106, 03, FNV3,  60, 202N, 1246E,  94,  956, XX,  64, NEQ,   33,   31,   26,   28,     ,     ,  15,
WP, 07, 2026062106, 03, FNV3,  66, 207N, 1246E,  91,  959, XX,  34, NEQ,  123,  125,  109,  104,     ,     ,  16,
