# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
WP, 07, 2026062206, 03, FNV3,   0, 179N, 1269E, 115,  947, XX,  34, NEQ,   95,   95,  105,  120,     ,     ,  12,
WP, 07, 2026062206, 03, FNV3,   6, 183N, 1263E, 118,  941, XX,  34, NEQ,  120,  105,   97,  112,     ,     ,   9,
WP, 07, 2026062206, 03, FNV3,   6, 183N, 1263E, 118,  941, XX,  50, NEQ,   61,   52,   44,   55,     ,     ,   9,
WP, 07, 2026062206, 03, FNV3,   6, 183N, 1263E, 118,  941, XX,  64, NEQ,   35,   31,   26,   31,     ,     ,   9,
WP, 07, 2026062206, 03, FNV3,  12, 186N, 1257E, 107,  948, XX,  34, NEQ,  115,  100,   93,  107,     ,     ,   9,
WP, 07, 2026062206, 03, FNV3,  12, 186N, 1257E, 107,  948, XX,  50, NEQ,   59,   50,   42,   52,     ,     ,   9,
WP, 07, 2026062206, 03, FNV3,  12, 186N, 1257E, 107,  948, XX,  64, NEQ,   32,   28,   24,   28,     ,     ,   9,
WP, 07, 2026062206, 03, FNV3,  18, 190N, 1253E, 105,  949, XX,  34, NEQ,  118,  108,   97,  106,     ,     ,  12,
WP, 07, 2026062206, 03, FNV3,  18, 190N, 1253E, 105,  949, XX,  50, NEQ,   61,   55,   46,   54,     ,     ,  12,
WP, 07, 2026062206, 03, FNV3,  18, 190N, 1253E, 105,  949, XX,  64, NEQ,   35,   31,   26,   30,     ,     ,  12,
WP, 07, 2026062206, 03, FNV3,  24, 194N, 1250E, 105,  948, XX,  34, NEQ,  118,  112,   98,  104,     ,     ,  13,
WP, 07, 2026062206, 03, FNV3,  24, 194N, 1250E, 105,  948, XX,  50, NEQ,   61,   55,   46,   53,     ,     ,  13,
WP, 07, 2026062206, 03, FNV3,  24, 194N, 1250E, 105,  948, XX,  64, NEQ,   35,   32,   27,   30,     ,     ,  13,
WP, 07, 2026062206, 03, FNV3,  30, 198N, 1248E, 100,  953, XX,  34, NEQ,  119,  119,  104,  103,     ,     ,  13,
WP, 07, 2026062206, 03, FNV3,  30, 198N, 1248E, 100,  953, XX,  50, NEQ,   62,   58,   48,   54,     ,     ,  13,
WP, 07, 2026062206, 03, FNV3,  30, 198N, 1248E, 100,  953, XX,  64, NEQ,   35,   33,   28,   30,     ,     ,  13,
WP, 07, 2026062206, 03, FNV3,  36, 204N, 1248E,  92,  959, XX,  34, NEQ,  119,  122,  103,   99,     ,     ,  16,
WP, 07, 2026062206, 03, FNV3,  36, 204N, 1248E,  92,  959, XX,  50, NEQ,   61,   59,   48,   52,     ,     ,  16,
WP, 07, 2026062206, 03, FNV3,  36, 204N, 1248E,  92,  959, XX,  64, NEQ,   33,   32,   26,   28,     ,     ,  16,
WP, 07, 2026062206, 03, FNV3,  42, 209N, 1248E,  85,  964, XX,  34, NEQ,  114,  118,  101,   96,     ,     ,  18,
WP, 07, 2026062206, 03, FNV3,  42, 209N, 1248E,  85,  964, XX,  50, NEQ,   60,   58,   47,   50,     ,     ,  18,
WP, 07, 2026062206, 03, FNV3,  42, 209N, 1248E,  85,  964, XX,  64, NEQ,   31,   29,   23,   25,     ,     ,  18,
WP, 07, 2026062206, 03, FNV3,  48, 216N, 1249E,  81,  966, XX,  34, NEQ,  123,  133,  110,  103,     ,     ,  18,
WP, 07, 2026062206, 03, FNV3,  48, 216N, 1249E,  81,  966, XX,  50, NEQ,   63,   62,   50,   53,     ,     ,  18,
WP, 07, 2026062206, 03, FNV3,  48, 216N, 1249E,  81,  966, XX,  64, NEQ,   31,   30,   23,   25,     ,     ,  18,
WP, 07, 2026062206, 03, FNV3,  54, 221N, 1250E,  73,  972, XX,  34, NEQ,  117,  125,  104,   98,     ,     ,  20,
WP, 07, 2026062206, 03, FNV3,  54, 221N, 1250E,  73,  972, XX,  50, NEQ,   54,   53,   43,   45,     ,     ,  20,
WP, 07, 2026062206, 03, FNV3,  54, 221N, 1250E,  73,  972, XX,  64, NEQ,   23,   21,   17,   18,     ,     ,  20,
WP, 07, 2026062206, 03, FNV3,  60, 226N, 1252E,  67,  976, XX,  34, NEQ,  120,  128,  107,  100,     ,     ,  21,
WP, 07, 2026062206, 03, FNV3,  60, 226N, 1252E,  67,  976, XX,  50, NEQ,   54,   55,   43,   45,     ,     ,  21,
WP, 07, 2026062206, 03, FNV3,  60, 226N, 1252E,  67,  976, XX,  64, NEQ,   14,   14,   11,   11,     ,     ,  21,
WP, 07, 2026062206, 03, FNV3,  66, 232N, 1255E,  62,  980, XX,  34, NEQ,  125,  135,  114,  103,     ,     ,  26,
WP, 07, 2026062206, 03, FNV3,  66, 232N, 1255E,  62,  980, XX,  50, NEQ,   45,   46,   36,   36,     ,     ,  26,
WP, 07, 2026062206, 03, FNV3,  66, 232N, 1255E,  62,  980, XX,  64, NEQ,    9,   11,    8,    8,     ,     ,  26,
WP, 07, 2026062206, 03, FNV3,  72, 238N, 1259E,  63,  978, XX,  34, NEQ,  112,  123,   99,   89,     ,     ,  23,
WP, 07, 2026062206, 03, FNV3,  72, 238N, 1259E,  63,  978, XX,  50, NEQ,   40,   41,   30,   30,     ,     ,  23,
WP, 07, 2026062206, 03, FNV3,  72, 238N, 1259E,  63,  978, XX,  64, NEQ,    9,   10,    7,    7,     ,     ,  23,
WP, 07, 2026062206, 03, FNV3,  78, 244N, 1264E,  62,  979, XX,  34, NEQ,  113,  126,  101,   91,     ,     ,  25,
WP, 07, 2026062206, 03, FNV3,  78, 244N, 1264E,  62,  979, XX,  50, NEQ,   38,   40,   30,   30,     ,     ,  25,
WP, 07, 2026062206, 03, FNV3,  78, 244N, 1264E,  62,  979, XX,  64, NEQ,    8,    9,    7,    7,     ,     ,  25,
WP, 07, 2026062206, 03, FNV3,  84, 252N, 1269E,  62,  978, XX,  34, NEQ,  105,  115,   91,   82,     ,     ,  25,
