# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
EP, 94, 2026062400, 03, FNV3,   0, 170N, 1129W,  29, 1009, XX,  34, NEQ,    0,    0,    0,    0,     ,     ,  40,
WP, 07, 2026062400, 03, FNV3,   0, 210N, 1246E,  74,  974, XX,  34, NEQ,   95,  100,  120,  110,     ,     ,  15,
WP, 07, 2026062400, 03, FNV3,   6, 216N, 1247E,  62,  982, XX,  34, NEQ,  122,  125,  100,  100,     ,     ,  27,
WP, 07, 2026062400, 03, FNV3,   6, 216N, 1247E,  62,  982, XX,  50, NEQ,   49,   47,   34,   37,     ,     ,  27,
WP, 07, 2026062400, 03, FNV3,   6, 216N, 1247E,  62,  982, XX,  64, NEQ,    6,    7,    2,    3,     ,     ,  27,
WP, 07, 2026062400, 03, FNV3,  12, 223N, 1247E,  57,  984, XX,  34, NEQ,  120,  120,   97,  100,     ,     ,  29,
WP, 07, 2026062400, 03, FNV3,  12, 223N, 1247E,  57,  984, XX,  50, NEQ,   46,   42,   31,   34,     ,     ,  29,
WP, 07, 2026062400, 03, FNV3,  12, 223N, 1247E,  57,  984, XX,  64, NEQ,    1,    1,    1,    1,     ,     ,  29,
WP, 07, 2026062400, 03, FNV3,  18, 231N, 1248E,  51,  987, XX,  34, NEQ,  118,  117,   94,   98,     ,     ,  37,
WP, 07, 2026062400, 03, FNV3,  18, 231N, 1248E,  51,  987, XX,  50, NEQ,   28,   27,   19,   20,     ,     ,  37,
WP, 07, 2026062400, 03, FNV3,  18, 231N, 1248E,  51,  987, XX,  64, NEQ,    1,    1,    0,    1,     ,     ,  37,
WP, 07, 2026062400, 03, FNV3,  24, 238N, 1251E,  45,  990, XX,  34, NEQ,  108,  111,   90,   89,     ,     ,  49,
WP, 07, 2026062400, 03, FNV3,  24, 238N, 1251E,  45,  990, XX,  50, NEQ,    8,    8,    5,    5,     ,     ,  49,
WP, 07, 2026062400, 03, FNV3,  30, 247N, 1255E,  44,  991, XX,  34, NEQ,   95,  100,   78,   77,     ,     ,  47,
WP, 07, 2026062400, 03, FNV3,  30, 247N, 1255E,  44,  991, XX,  50, NEQ,    3,    5,    2,    2,     ,     ,  47,
WP, 07, 2026062400, 03, FNV3,  36, 256N, 1259E,  42,  992, XX,  34, NEQ,   79,   82,   62,   62,     ,     ,  50,
WP, 07, 2026062400, 03, FNV3,  36, 256N, 1259E,  42,  992, XX,  50, NEQ,    0,    1,    0,    0,     ,     ,  50,
WP, 07, 2026062400, 03, FNV3,  42, 266N, 1264E,  38,  992, XX,  34, NEQ,   50,   56,   34,   35,     ,     ,  50,
WP, 07, 2026062400, 03, FNV3,  42, 266N, 1264E,  38,  992, XX,  50, NEQ,    0,    1,    0,    0,     ,     ,  50,
WP, 07, 2026062400, 03, FNV3,  48, 275N, 1271E,  35,  993, XX,  34, NEQ,   38,   39,   23,   24,     ,     ,  52,
WP, 07, 2026062400, 03, FNV3,  48, 275N, 1271E,  35,  993, XX,  50, NEQ,    1,    0,    0,    0,     ,     ,  52,
WP, 07, 2026062400, 03, FNV3,  54, 284N, 1281E,  35,  993, XX,  34, NEQ,   38,   37,   28,   29,     ,     ,  60,
WP, 07, 2026062400, 03, FNV3,  60, 293N, 1296E,  35,  992, XX,  34, NEQ,   30,   33,   19,   20,     ,     ,  51,
WP, 07, 2026062400, 03, FNV3,  66, 307N, 1316E,  36,  992, XX,  34, NEQ,   36,   41,   22,   24,     ,     ,  52,
WP, 07, 2026062400, 03, FNV3,  66, 307N, 1316E,  36,  992, XX,  50, NEQ,    0,    1,    0,    0,     ,     ,  52,
WP, 07, 2026062400, 03, FNV3,  72, 322N, 1344E,  36,  992, XX,  34, NEQ,   23,   21,   14,   14,     ,     ,  51,
WP, 07, 2026062400, 03, FNV3,  72, 322N, 1344E,  36,  992, XX,  50, NEQ,    1,    0,    0,    0,     ,     ,  51,
WP, 07, 2026062400, 03, FNV3,  78, 337N, 1378E,  35,  993, XX,  34, NEQ,   45,   45,   40,   36,     ,     ,  51,
WP, 07, 2026062400, 03, FNV3,  78, 337N, 1378E,  35,  993, XX,  50, NEQ,    2,    3,    3,    2,     ,     ,  51,
WP, 07, 2026062400, 03, FNV3,  84, 354N, 1419E,  36,  994, XX,  34, NEQ,   22,   23,   25,   13,     ,     ,  51,
WP, 07, 2026062400, 03, FNV3,  84, 354N, 1419E,  36,  994, XX,  50, NEQ,    0,    3,    1,    0,     ,     ,  51,
WP, 07, 2026062400, 03, FNV3,  90, 371N, 1467E,  34,  993, XX,  34, NEQ,   17,   22,   18,   13,     ,     ,  64,
