# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
EP, 95, 2026063012, 03, FNV3,   0, 129N, 1248W,  25, 1005, XX,  34, NEQ,    0,    0,    0,    0,     ,     , 120,
WP, 95, 2026063012, 03, FNV3,   0,  90N, 1646E,  19, 1006, XX,  34, NEQ,    0,    0,    0,    0,     ,     , 145,
WP, 95, 2026063012, 03, FNV3,   6,  87N, 1643E,  22, 1005, XX,  34, NEQ,    0,    0,    0,    0,     ,     ,  53,
WP, 95, 2026063012, 03, FNV3,  12,  92N, 1637E,  24, 1004, XX,  34, NEQ,    0,    0,    0,    0,     ,     ,  52,
WP, 95, 2026063012, 03, FNV3,  18,  99N, 1627E,  27, 1002, XX,  34, NEQ,    4,    3,    2,    3,     ,     ,  49,
WP, 95, 2026063012, 03, FNV3,  24, 104N, 1618E,  32, 1001, XX,  34, NEQ,   17,   11,    8,   11,     ,     ,  44,
WP, 95, 2026063012, 03, FNV3,  24, 104N, 1618E,  32, 1001, XX,  50, NEQ,    1,    0,    0,    0,     ,     ,  44,
WP, 95, 2026063012, 03, FNV3,  30, 109N, 1610E,  39,  998, XX,  34, NEQ,   48,   38,   30,   41,     ,     ,  42,
WP, 95, 2026063012, 03, FNV3,  30, 109N, 1610E,  39,  998, XX,  50, NEQ,    2,    1,    1,    1,     ,     ,  42,
WP, 95, 2026063012, 03, FNV3,  36, 114N, 1602E,  45,  996, XX,  34, NEQ,   66,   52,   40,   49,     ,     ,  32,
WP, 95, 2026063012, 03, FNV3,  36, 114N, 1602E,  45,  996, XX,  50, NEQ,    8,    5,    4,    5,     ,     ,  32,
WP, 95, 2026063012, 03, FNV3,  36, 114N, 1602E,  45,  996, XX,  64, NEQ,    1,    0,    0,    0,     ,     ,  32,
WP, 95, 2026063012, 03, FNV3,  42, 120N, 1593E,  52,  991, XX,  34, NEQ,   89,   73,   59,   72,     ,     ,  26,
WP, 95, 2026063012, 03, FNV3,  42, 120N, 1593E,  52,  991, XX,  50, NEQ,   18,   11,    7,   10,     ,     ,  26,
WP, 95, 2026063012, 03, FNV3,  42, 120N, 1593E,  52,  991, XX,  64, NEQ,    1,    1,    0,    1,     ,     ,  26,
WP, 95, 2026063012, 03, FNV3,  48, 125N, 1582E,  59,  989, XX,  34, NEQ,   99,   79,   63,   83,     ,     ,  24,
WP, 95, 2026063012, 03, FNV3,  48, 125N, 1582E,  59,  989, XX,  50, NEQ,   29,   20,   15,   21,     ,     ,  24,
WP, 95, 2026063012, 03, FNV3,  48, 125N, 1582E,  59,  989, XX,  64, NEQ,    6,    4,    4,    4,     ,     ,  24,
WP, 95, 2026063012, 03, FNV3,  54, 128N, 1571E,  68,  982, XX,  34, NEQ,  104,   85,   68,   90,     ,     ,  18,
WP, 95, 2026063012, 03, FNV3,  54, 128N, 1571E,  68,  982, XX,  50, NEQ,   40,   30,   23,   31,     ,     ,  18,
WP, 95, 2026063012, 03, FNV3,  54, 128N, 1571E,  68,  982, XX,  64, NEQ,   14,   10,    8,   10,     ,     ,  18,
WP, 95, 2026063012, 03, FNV3,  60, 131N, 1560E,  80,  973, XX,  34, NEQ,  111,   90,   75,   98,     ,     ,  15,
WP, 95, 2026063012, 03, FNV3,  60, 131N, 1560E,  80,  973, XX,  50, NEQ,   49,   38,   31,   41,     ,     ,  15,
WP, 95, 2026063012, 03, FNV3,  60, 131N, 1560E,  80,  973, XX,  64, NEQ,   20,   16,   13,   16,     ,     ,  15,
WP, 95, 2026063012, 03, FNV3,  66, 133N, 1549E,  93,  962, XX,  34, NEQ,  125,  103,   87,  112,     ,     ,  10,
WP, 95, 2026063012, 03, FNV3,  66, 133N, 1549E,  93,  962, XX,  50, NEQ,   54,   44,   35,   46,     ,     ,  10,
WP, 95, 2026063012, 03, FNV3,  66, 133N, 1549E,  93,  962, XX,  64, NEQ,   23,   19,   15,   19,     ,     ,  10,
WP, 95, 2026063012, 03, FNV3,  72, 134N, 1540E, 106,  952, XX,  34, NEQ,  116,   95,   84,  106,     ,     ,   9,
WP, 95, 2026063012, 03, FNV3,  72, 134N, 1540E, 106,  952, XX,  50, NEQ,   50,   41,   34,   44,     ,     ,   9,
WP, 95, 2026063012, 03, FNV3,  72, 134N, 1540E, 106,  952, XX,  64, NEQ,   25,   21,   17,   21,     ,     ,   9,
WP, 95, 2026063012, 03, FNV3,  78, 135N, 1532E, 114,  944, XX,  34, NEQ,  136,  112,  101,  127,     ,     ,  11,
WP, 95, 2026063012, 03, FNV3,  78, 135N, 1532E, 114,  944, XX,  50, NEQ,   64,   54,   45,   57,     ,     ,  11,
WP, 95, 2026063012, 03, FNV3,  78, 135N, 1532E, 114,  944, XX,  64, NEQ,   33,   29,   24,   29,     ,     ,  11,
WP, 95, 2026063012, 03, FNV3,  84, 135N, 1524E, 120,  937, XX,  34, NEQ,  142,  120,  110,  133,     ,     ,  10,
WP, 95, 2026063012, 03, FNV3,  84, 135N, 1524E, 120,  937, XX,  50, NEQ,   67,   58,   49,   61,     ,     ,  10,
WP, 95, 2026063012, 03, FNV3,  84, 135N, 1524E, 120,  937, XX,  64, NEQ,   37,   33,   27,   32,     ,     ,  10,
WP, 95, 2026063012, 03, FNV3,  90, 137N, 1516E, 125,  933, XX,  34, NEQ,  160,  136,  123,  148,     ,     ,  11,
WP, 95, 2026063012, 03, FNV3,  90, 137N, 1516E, 125,  933, XX,  50, NEQ,   78,   68,   58,   70,     ,     ,  11,
WP, 95, 2026063012, 03, FNV3,  90, 137N, 1516E, 125,  933, XX,  64, NEQ,   42,   38,   32,   38,     ,     ,  11,
WP, 95, 2026063012, 03, FNV3,  96, 138N, 1508E, 130,  928, XX,  34, NEQ,  170,  145,  131,  159,     ,     ,  11,
WP, 95, 2026063012, 03, FNV3,  96, 138N, 1508E, 130,  928, XX,  50, NEQ,   81,   71,   62,   74,     ,     ,  11,
WP, 95, 2026063012, 03, FNV3,  96, 138N, 1508E, 130,  928, XX,  64, NEQ,   45,   41,   35,   41,     ,     ,  11,
WP, 95, 2026063012, 03, FNV3, 102, 140N, 1500E, 132,  925, XX,  34, NEQ,  176,  147,  136,  165,     ,     ,  12,
WP, 95, 2026063012, 03, FNV3, 102, 140N, 1500E, 132,  925, XX,  50, NEQ,   94,   82,   71,   85,     ,     ,  12,
WP, 95, 2026063012, 03, FNV3, 102, 140N, 1500E, 132,  925, XX,  64, NEQ,   54,   49,   42,   48,     ,     ,  12,
WP, 95, 2026063012, 03, FNV3, 108, 142N, 1491E, 135,  924, XX,  34, NEQ,  182,  154,  141,  170,     ,     ,  12,
WP, 95, 2026063012, 03, FNV3, 108, 142N, 1491E, 135,  924, XX,  50, NEQ,   97,   86,   74,   88,     ,     ,  12,
WP, 95, 2026063012, 03, FNV3, 108, 142N, 1491E, 135,  924, XX,  64, NEQ,   55,   51,   43,   50,     ,     ,  12,
WP, 95, 2026063012, 03, FNV3, 114, 145N, 1482E, 133,  923, XX,  34, NEQ,  194,  167,  153,  176,     ,     ,  15,
WP, 95, 2026063012, 03, FNV3, 114, 145N, 1482E, 133,  923, XX,  50, NEQ,   99,   88,   76,   88,     ,     ,  15,
WP, 95, 2026063012, 03, FNV3, 114, 145N, 1482E, 133,  923, XX,  64, NEQ,   55,   51,   43,   49,     ,     ,  15,
WP, 95, 2026063012, 03, FNV3, 120, 148N, 1471E, 133,  923, XX,  34, NEQ,  198,  169,  153,  182,     ,     ,  13,
WP, 95, 2026063012, 03, FNV3, 120, 148N, 1471E, 133,  923, XX,  50, NEQ,  104,   93,   80,   94,     ,     ,  13,
WP, 95, 2026063012, 03, FNV3, 120, 148N, 1471E, 133,  923, XX,  64, NEQ,   59,   54,   46,   53,     ,     ,  13,
WP, 95, 2026063012, 03, FNV3, 126, 151N, 1461E, 135,  920, XX,  34, NEQ,  212,  180,  161,  195,     ,     ,  12,
WP, 95, 2026063012, 03, FNV3, 126, 151N, 1461E, 135,  920, XX,  50, NEQ,  115,  102,   88,  103,     ,     ,  12,
WP, 95, 2026063012, 03, FNV3, 126, 151N, 1461E, 135,  920, XX,  64, NEQ,   65,   60,   51,   58,     ,     ,  12,
