# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
WP, 09, 2026070318, 03, FNV3,   0, 127N, 1522E, 138,  921, XX,  34, NEQ,  130,   90,   90,  130,     ,     ,  15,
WP, 09, 2026070318, 03, FNV3,   6, 126N, 1517E, 138,  923, XX,  34, NEQ,  131,  111,  108,  129,     ,     ,   8,
WP, 09, 2026070318, 03, FNV3,   6, 126N, 1517E, 138,  923, XX,  50, NEQ,   46,   39,   34,   44,     ,     ,   8,
WP, 09, 2026070318, 03, FNV3,   6, 126N, 1517E, 138,  923, XX,  64, NEQ,   27,   24,   21,   25,     ,     ,   8,
WP, 09, 2026070318, 03, FNV3,  12, 126N, 1510E, 136,  924, XX,  34, NEQ,  147,  123,  116,  140,     ,     ,  11,
WP, 09, 2026070318, 03, FNV3,  12, 126N, 1510E, 136,  924, XX,  50, NEQ,   65,   56,   49,   61,     ,     ,  11,
WP, 09, 2026070318, 03, FNV3,  12, 126N, 1510E, 136,  924, XX,  64, NEQ,   38,   33,   29,   34,     ,     ,  11,
WP, 09, 2026070318, 03, FNV3,  18, 127N, 1504E, 136,  922, XX,  34, NEQ,  147,  126,  120,  144,     ,     ,   9,
WP, 09, 2026070318, 03, FNV3,  18, 127N, 1504E, 136,  922, XX,  50, NEQ,   71,   61,   54,   65,     ,     ,   9,
WP, 09, 2026070318, 03, FNV3,  18, 127N, 1504E, 136,  922, XX,  64, NEQ,   40,   35,   30,   35,     ,     ,   9,
WP, 09, 2026070318, 03, FNV3,  24, 128N, 1496E, 134,  925, XX,  34, NEQ,  165,  138,  131,  159,     ,     ,  12,
WP, 09, 2026070318, 03, FNV3,  24, 128N, 1496E, 134,  925, XX,  50, NEQ,   90,   79,   70,   82,     ,     ,  12,
WP, 09, 2026070318, 03, FNV3,  24, 128N, 1496E, 134,  925, XX,  64, NEQ,   52,   48,   41,   47,     ,     ,  12,
WP, 09, 2026070318, 03, FNV3,  30, 130N, 1488E, 131,  927, XX,  34, NEQ,  172,  147,  137,  163,     ,     ,  13,
WP, 09, 2026070318, 03, FNV3,  30, 130N, 1488E, 131,  927, XX,  50, NEQ,   92,   82,   72,   84,     ,     ,  13,
WP, 09, 2026070318, 03, FNV3,  30, 130N, 1488E, 131,  927, XX,  64, NEQ,   53,   48,   41,   47,     ,     ,  13,
WP, 09, 2026070318, 03, FNV3,  36, 133N, 1480E, 128,  928, XX,  34, NEQ,  185,  161,  147,  168,     ,     ,  15,
WP, 09, 2026070318, 03, FNV3,  36, 133N, 1480E, 128,  928, XX,  50, NEQ,   94,   83,   72,   84,     ,     ,  15,
WP, 09, 2026070318, 03, FNV3,  36, 133N, 1480E, 128,  928, XX,  64, NEQ,   51,   46,   40,   45,     ,     ,  15,
WP, 09, 2026070318, 03, FNV3,  42, 135N, 1471E, 130,  926, XX,  34, NEQ,  189,  163,  151,  174,     ,     ,  10,
WP, 09, 2026070318, 03, FNV3,  42, 135N, 1471E, 130,  926, XX,  50, NEQ,  100,   90,   79,   91,     ,     ,  10,
WP, 09, 2026070318, 03, FNV3,  42, 135N, 1471E, 130,  926, XX,  64, NEQ,   56,   52,   45,   50,     ,     ,  10,
WP, 09, 2026070318, 03, FNV3,  48, 138N, 1462E, 127,  928, XX,  34, NEQ,  210,  183,  164,  193,     ,     ,  16,
WP, 09, 2026070318, 03, FNV3,  48, 138N, 1462E, 127,  928, XX,  50, NEQ,  109,   98,   85,   98,     ,     ,  16,
WP, 09, 2026070318, 03, FNV3,  48, 138N, 1462E, 127,  928, XX,  64, NEQ,   60,   55,   47,   53,     ,     ,  16,
WP, 09, 2026070318, 03, FNV3,  54, 142N, 1453E, 128,  927, XX,  34, NEQ,  218,  189,  170,  198,     ,     ,  15,
WP, 09, 2026070318, 03, FNV3,  54, 142N, 1453E, 128,  927, XX,  50, NEQ,  116,  105,   90,  104,     ,     ,  15,
