# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
WP, 09, 2026070906, 03, FNV3,   0, 187N, 1290E, 109,  945, XX,  34, NEQ,  290,  280,  270,  280,     ,     ,  55,
WP, 09, 2026070906, 03, FNV3,   6, 191N, 1287E, 101,  943, XX,  34, NEQ,  283,  265,  236,  256,     ,     ,  27,
WP, 09, 2026070906, 03, FNV3,   6, 191N, 1287E, 101,  943, XX,  50, NEQ,  161,  154,  134,  143,     ,     ,  27,
WP, 09, 2026070906, 03, FNV3,   6, 191N, 1287E, 101,  943, XX,  64, NEQ,   87,   83,   70,   75,     ,     ,  27,
WP, 09, 2026070906, 03, FNV3,  12, 200N, 1282E,  97,  945, XX,  34, NEQ,  272,  255,  219,  239,     ,     ,  29,
WP, 09, 2026070906, 03, FNV3,  12, 200N, 1282E,  97,  945, XX,  50, NEQ,  151,  146,  125,  133,     ,     ,  29,
WP, 09, 2026070906, 03, FNV3,  12, 200N, 1282E,  97,  945, XX,  64, NEQ,   81,   78,   66,   71,     ,     ,  29,
WP, 09, 2026070906, 03, FNV3,  18, 209N, 1276E,  93,  948, XX,  34, NEQ,  280,  265,  229,  246,     ,     ,  30,
WP, 09, 2026070906, 03, FNV3,  18, 209N, 1276E,  93,  948, XX,  50, NEQ,  149,  142,  121,  130,     ,     ,  30,
WP, 09, 2026070906, 03, FNV3,  18, 209N, 1276E,  93,  948, XX,  64, NEQ,   76,   72,   61,   65,     ,     ,  30,
WP, 09, 2026070906, 03, FNV3,  24, 220N, 1269E,  91,  948, XX,  34, NEQ,  268,  254,  215,  234,     ,     ,  28,
WP, 09, 2026070906, 03, FNV3,  24, 220N, 1269E,  91,  948, XX,  50, NEQ,  143,  138,  116,  125,     ,     ,  28,
WP, 09, 2026070906, 03, FNV3,  24, 220N, 1269E,  91,  948, XX,  64, NEQ,   70,   66,   56,   60,     ,     ,  28,
WP, 09, 2026070906, 03, FNV3,  30, 229N, 1261E,  87,  951, XX,  34, NEQ,  285,  267,  227,  250,     ,     ,  32,
WP, 09, 2026070906, 03, FNV3,  30, 229N, 1261E,  87,  951, XX,  50, NEQ,  154,  147,  124,  133,     ,     ,  32,
WP, 09, 2026070906, 03, FNV3,  30, 229N, 1261E,  87,  951, XX,  64, NEQ,   71,   64,   54,   58,     ,     ,  32,
WP, 09, 2026070906, 03, FNV3,  36, 240N, 1253E,  84,  952, XX,  34, NEQ,  267,  248,  209,  231,     ,     ,  30,
WP, 09, 2026070906, 03, FNV3,  36, 240N, 1253E,  84,  952, XX,  50, NEQ,  139,  131,  109,  119,     ,     ,  30,
WP, 09, 2026070906, 03, FNV3,  36, 240N, 1253E,  84,  952, XX,  64, NEQ,   60,   54,   44,   50,     ,     ,  30,
WP, 09, 2026070906, 03, FNV3,  42, 252N, 1243E,  86,  951, XX,  34, NEQ,  265,  248,  208,  228,     ,     ,  31,
WP, 09, 2026070906, 03, FNV3,  42, 252N, 1243E,  86,  951, XX,  50, NEQ,  127,  118,   97,  106,     ,     ,  31,
WP, 09, 2026070906, 03, FNV3,  42, 252N, 1243E,  86,  951, XX,  64, NEQ,   52,   45,   36,   40,     ,     ,  31,
WP, 09, 2026070906, 03, FNV3,  48, 264N, 1231E,  84,  953, XX,  34, NEQ,  235,  218,  181,  200,     ,     ,  30,
WP, 09, 2026070906, 03, FNV3,  48, 264N, 1231E,  84,  953, XX,  50, NEQ,  108,  101,   82,   91,     ,     ,  30,
WP, 09, 2026070906, 03, FNV3,  48, 264N, 1231E,  84,  953, XX,  64, NEQ,   50,   38,   31,   34,     ,     ,  30,
WP, 09, 2026070906, 03, FNV3,  54, 273N, 1220E,  84,  954, XX,  34, NEQ,  213,  195,  167,  184,     ,     ,  28,
