# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
CP, 90, 2026070918, 03, FNV3,   0, 110N, 1499W,  25, 1009, XX,  34, NEQ,    0,    0,    0,    0,     ,     ,  90,
WP, 09, 2026070918, 03, FNV3,   0, 201N, 1282E,  89,  953, XX,  34, NEQ,  340,  320,  295,  300,     ,     ,  55,
WP, 09, 2026070918, 03, FNV3,   6, 208N, 1276E,  92,  948, XX,  34, NEQ,  295,  279,  242,  259,     ,     ,  32,
WP, 09, 2026070918, 03, FNV3,   6, 208N, 1276E,  92,  948, XX,  50, NEQ,  146,  140,  119,  128,     ,     ,  32,
WP, 09, 2026070918, 03, FNV3,   6, 208N, 1276E,  92,  948, XX,  64, NEQ,   72,   65,   55,   59,     ,     ,  32,
WP, 09, 2026070918, 03, FNV3,  12, 218N, 1271E,  86,  951, XX,  34, NEQ,  273,  262,  221,  239,     ,     ,  29,
WP, 09, 2026070918, 03, FNV3,  12, 218N, 1271E,  86,  951, XX,  50, NEQ,  143,  139,  117,  125,     ,     ,  29,
WP, 09, 2026070918, 03, FNV3,  12, 218N, 1271E,  86,  951, XX,  64, NEQ,   69,   66,   55,   59,     ,     ,  29,
WP, 09, 2026070918, 03, FNV3,  18, 228N, 1264E,  82,  954, XX,  34, NEQ,  286,  267,  227,  249,     ,     ,  38,
WP, 09, 2026070918, 03, FNV3,  18, 228N, 1264E,  82,  954, XX,  50, NEQ,  143,  136,  114,  124,     ,     ,  38,
WP, 09, 2026070918, 03, FNV3,  18, 228N, 1264E,  82,  954, XX,  64, NEQ,   66,   59,   49,   53,     ,     ,  38,
WP, 09, 2026070918, 03, FNV3,  24, 238N, 1255E,  76,  960, XX,  34, NEQ,  271,  251,  211,  233,     ,     ,  35,
WP, 09, 2026070918, 03, FNV3,  24, 238N, 1255E,  76,  960, XX,  50, NEQ,  136,  129,  107,  116,     ,     ,  35,
WP, 09, 2026070918, 03, FNV3,  24, 238N, 1255E,  76,  960, XX,  64, NEQ,   52,   42,   35,   40,     ,     ,  35,
WP, 09, 2026070918, 03, FNV3,  30, 250N, 1245E,  76,  959, XX,  34, NEQ,  260,  243,  204,  223,     ,     ,  38,
WP, 09, 2026070918, 03, FNV3,  30, 250N, 1245E,  76,  959, XX,  50, NEQ,  120,  113,   93,  101,     ,     ,  38,
WP, 09, 2026070918, 03, FNV3,  30, 250N, 1245E,  76,  959, XX,  64, NEQ,   50,   36,   30,   32,     ,     ,  38,
WP, 09, 2026070918, 03, FNV3,  36, 262N, 1235E,  80,  957, XX,  34, NEQ,  237,  222,  183,  201,     ,     ,  31,
WP, 09, 2026070918, 03, FNV3,  36, 262N, 1235E,  80,  957, XX,  50, NEQ,  107,   99,   80,   89,     ,     ,  31,
WP, 09, 2026070918, 03, FNV3,  36, 262N, 1235E,  80,  957, XX,  64, NEQ,   45,   33,   27,   30,     ,     ,  31,
WP, 09, 2026070918, 03, FNV3,  42, 272N, 1223E,  80,  957, XX,  34, NEQ,  219,  198,  168,  188,     ,     ,  30,
WP, 09, 2026070918, 03, FNV3,  42, 272N, 1223E,  80,  957, XX,  50, NEQ,  100,   92,   75,   85,     ,     ,  30,
WP, 09, 2026070918, 03, FNV3,  42, 272N, 1223E,  80,  957, XX,  64, NEQ,   47,   36,   30,   34,     ,     ,  30,
WP, 09, 2026070918, 03, FNV3,  48, 283N, 1214E,  71,  962, XX,  34, NEQ,  182,  166,  138,  153,     ,     ,  21,
WP, 09, 2026070918, 03, FNV3,  48, 283N, 1214E,  71,  962, XX,  50, NEQ,   83,   76,   61,   69,     ,     ,  21,
WP, 09, 2026070918, 03, FNV3,  48, 283N, 1214E,  71,  962, XX,  64, NEQ,   26,   20,   16,   19,     ,     ,  21,
WP, 09, 2026070918, 03, FNV3,  54, 295N, 1203E,  59,  970, XX,  34, NEQ,  144,  139,  112,  118,     ,     ,  29,
WP, 09, 2026070918, 03, FNV3,  54, 295N, 1203E,  59,  970, XX,  50, NEQ,   33,   27,   19,   20,     ,     ,  29,
WP, 09, 2026070918, 03, FNV3,  54, 295N, 1203E,  59,  970, XX,  64, NEQ,    5,    2,    1,    1,     ,     ,  29,
WP, 09, 2026070918, 03, FNV3,  60, 307N, 1193E,  48,  978, XX,  34, NEQ,   75,   70,   53,   57,     ,     ,  33,
WP, 09, 2026070918, 03, FNV3,  60, 307N, 1193E,  48,  978, XX,  50, NEQ,    7,    6,    2,    4,     ,     ,  33,
WP, 09, 2026070918, 03, FNV3,  60, 307N, 1193E,  48,  978, XX,  64, NEQ,    1,    0,    0,    0,     ,     ,  33,
WP, 09, 2026070918, 03, FNV3,  66, 315N, 1186E,  37,  984, XX,  34, NEQ,   33,   30,   20,   20,     ,     ,  42,
WP, 09, 2026070918, 03, FNV3,  72, 324N, 1182E,  32,  988, XX,  34, NEQ,   15,   14,    8,    8,     ,     ,  43,
WP, 09, 2026070918, 03, FNV3,  78, 332N, 1181E,  29,  989, XX,  34, NEQ,    1,    3,    5,    1,     ,     ,  41,
WP, 09, 2026070918, 03, FNV3,  84, 339N, 1181E,  27,  991, XX,  34, NEQ,    0,    1,    0,    0,     ,     ,  49,
WP, 09, 2026070918, 03, FNV3,  90, 345N, 1186E,  27,  991, XX,  34, NEQ,    2,    2,    2,    1,     ,     ,  46,
WP, 09, 2026070918, 03, FNV3,  96, 353N, 1192E,  26,  993, XX,  34, NEQ,    0,    2,    0,    0,     ,     ,  43,
WP, 09, 2026070918, 03, FNV3, 102, 363N, 1203E,  26,  993, XX,  34, NEQ,    0,    0,    0,    0,     ,     ,  50,
WP, 09, 2026070918, 03, FNV3, 108, 372N, 1217E,  26,  993, XX,  34, NEQ,    1,    0,    2,    1,     ,     ,  57,
WP, 09, 2026070918, 03, FNV3, 114, 379N, 1235E,  25,  994, XX,  34, NEQ,    0,    1,    0,    0,     ,     ,  60,
WP, 09, 2026070918, 03, FNV3, 120, 386N, 1259E,  26,  993, XX,  34, NEQ,    0,    1,    2,    1,     ,     ,  57,
WP, 09, 2026070918, 03, FNV3, 126, 396N, 1292E,  26,  994, XX,  34, NEQ,    0,    4,    0,    0,     ,     ,  53,
