# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
EP, 05, 2026071518, 03, FNV3,   0, 156N, 1141W,  45,  999, XX,  34, NEQ,   80,   90,     ,     ,     ,     ,  60,
EP, 05, 2026071518, 03, FNV3,   6, 150N, 1146W,  51,  995, XX,  34, NEQ,   77,   61,   46,   63,     ,     ,  34,
EP, 05, 2026071518, 03, FNV3,   6, 150N, 1146W,  51,  995, XX,  50, NEQ,   14,    5,    4,    8,     ,     ,  34,
EP, 05, 2026071518, 03, FNV3,  12, 153N, 1157W,  53,  993, XX,  34, NEQ,  108,   90,   67,   86,     ,     ,  41,
EP, 05, 2026071518, 03, FNV3,  12, 153N, 1157W,  53,  993, XX,  50, NEQ,   24,    9,    7,    9,     ,     ,  41,
EP, 05, 2026071518, 03, FNV3,  12, 153N, 1157W,  53,  993, XX,  64, NEQ,    1,    0,    0,    0,     ,     ,  41,
EP, 05, 2026071518, 03, FNV3,  18, 155N, 1168W,  59,  989, XX,  34, NEQ,  114,   98,   72,   93,     ,     ,  33,
EP, 05, 2026071518, 03, FNV3,  18, 155N, 1168W,  59,  989, XX,  50, NEQ,   40,   22,   17,   22,     ,     ,  33,
EP, 05, 2026071518, 03, FNV3,  18, 155N, 1168W,  59,  989, XX,  64, NEQ,    3,    2,    1,    2,     ,     ,  33,
EP, 05, 2026071518, 03, FNV3,  24, 158N, 1178W,  61,  988, XX,  34, NEQ,  122,  103,   77,  100,     ,     ,  32,
EP, 05, 2026071518, 03, FNV3,  24, 158N, 1178W,  61,  988, XX,  50, NEQ,   47,   30,   22,   30,     ,     ,  32,
EP, 05, 2026071518, 03, FNV3,  24, 158N, 1178W,  61,  988, XX,  64, NEQ,    6,    4,    3,    5,     ,     ,  32,
EP, 05, 2026071518, 03, FNV3,  30, 161N, 1186W,  64,  985, XX,  34, NEQ,  127,  108,   83,  106,     ,     ,  26,
EP, 05, 2026071518, 03, FNV3,  30, 161N, 1186W,  64,  985, XX,  50, NEQ,   53,   41,   31,   39,     ,     ,  26,
EP, 05, 2026071518, 03, FNV3,  30, 161N, 1186W,  64,  985, XX,  64, NEQ,    9,    5,    4,    5,     ,     ,  26,
EP, 05, 2026071518, 03, FNV3,  36, 165N, 1193W,  67,  983, XX,  34, NEQ,  127,  110,   86,  108,     ,     ,  25,
EP, 05, 2026071518, 03, FNV3,  36, 165N, 1193W,  67,  983, XX,  50, NEQ,   55,   46,   34,   44,     ,     ,  25,
EP, 05, 2026071518, 03, FNV3,  36, 165N, 1193W,  67,  983, XX,  64, NEQ,   15,   11,    9,   11,     ,     ,  25,
EP, 05, 2026071518, 03, FNV3,  42, 169N, 1200W,  76,  976, XX,  34, NEQ,  115,   96,   74,   96,     ,     ,  19,
EP, 05, 2026071518, 03, FNV3,  42, 169N, 1200W,  76,  976, XX,  50, NEQ,   55,   46,   35,   46,     ,     ,  19,
EP, 05, 2026071518, 03, FNV3,  42, 169N, 1200W,  76,  976, XX,  64, NEQ,   24,   18,   14,   18,     ,     ,  19,
EP, 05, 2026071518, 03, FNV3,  48, 175N, 1206W,  80,  973, XX,  34, NEQ,  121,  103,   80,  102,     ,     ,  20,
EP, 05, 2026071518, 03, FNV3,  48, 175N, 1206W,  80,  973, XX,  50, NEQ,   56,   46,   36,   46,     ,     ,  20,
EP, 05, 2026071518, 03, FNV3,  48, 175N, 1206W,  80,  973, XX,  64, NEQ,   24,   20,   16,   19,     ,     ,  20,
EP, 05, 2026071518, 03, FNV3,  54, 181N, 1212W,  79,  975, XX,  34, NEQ,  127,  108,   82,  104,     ,     ,  20,
EP, 05, 2026071518, 03, FNV3,  54, 181N, 1212W,  79,  975, XX,  50, NEQ,   56,   47,   35,   45,     ,     ,  20,
EP, 05, 2026071518, 03, FNV3,  54, 181N, 1212W,  79,  975, XX,  64, NEQ,   24,   20,   15,   19,     ,     ,  20,
EP, 05, 2026071518, 03, FNV3,  60, 188N, 1218W,  73,  979, XX,  34, NEQ,  125,  107,   82,  104,     ,     ,  21,
EP, 05, 2026071518, 03, FNV3,  60, 188N, 1218W,  73,  979, XX,  50, NEQ,   58,   49,   37,   47,     ,     ,  21,
EP, 05, 2026071518, 03, FNV3,  60, 188N, 1218W,  73,  979, XX,  64, NEQ,   23,   19,   15,   18,     ,     ,  21,
EP, 05, 2026071518, 03, FNV3,  66, 194N, 1225W,  70,  981, XX,  34, NEQ,  124,  104,   79,  103,     ,     ,  22,
EP, 05, 2026071518, 03, FNV3,  66, 194N, 1225W,  70,  981, XX,  50, NEQ,   57,   47,   35,   46,     ,     ,  22,
EP, 05, 2026071518, 03, FNV3,  66, 194N, 1225W,  70,  981, XX,  64, NEQ,   19,   14,   11,   14,     ,     ,  22,
EP, 05, 2026071518, 03, FNV3,  72, 200N, 1231W,  62,  986, XX,  34, NEQ,  134,  113,   84,  109,     ,     ,  28,
EP, 05, 2026071518, 03, FNV3,  72, 200N, 1231W,  62,  986, XX,  50, NEQ,   49,   40,   29,   38,     ,     ,  28,
EP, 05, 2026071518, 03, FNV3,  72, 200N, 1231W,  62,  986, XX,  64, NEQ,    7,    4,    3,    4,     ,     ,  28,
EP, 05, 2026071518, 03, FNV3,  78, 207N, 1237W,  58,  989, XX,  34, NEQ,  130,  113,   85,  106,     ,     ,  30,
EP, 05, 2026071518, 03, FNV3,  78, 207N, 1237W,  58,  989, XX,  50, NEQ,   41,   30,   22,   28,     ,     ,  30,
EP, 05, 2026071518, 03, FNV3,  78, 207N, 1237W,  58,  989, XX,  64, NEQ,    5,    2,    1,    2,     ,     ,  30,
EP, 05, 2026071518, 03, FNV3,  84, 214N, 1243W,  53,  992, XX,  34, NEQ,  125,  107,   80,   99,     ,     ,  42,
EP, 05, 2026071518, 03, FNV3,  84, 214N, 1243W,  53,  992, XX,  50, NEQ,   32,   16,   11,   18,     ,     ,  42,
EP, 05, 2026071518, 03, FNV3,  84, 214N, 1243W,  53,  992, XX,  64, NEQ,    1,    1,    1,    1,     ,     ,  42,
EP, 05, 2026071518, 03, FNV3,  90, 222N, 1249W,  49,  994, XX,  34, NEQ,  119,  103,   78,   96,     ,     ,  47,
EP, 05, 2026071518, 03, FNV3,  90, 222N, 1249W,  49,  994, XX,  50, NEQ,   16,   12,    9,   11,     ,     ,  47,
EP, 05, 2026071518, 03, FNV3,  90, 222N, 1249W,  49,  994, XX,  64, NEQ,    1,    1,    0,    1,     ,     ,  47,
EP, 05, 2026071518, 03, FNV3,  96, 230N, 1254W,  42,  996, XX,  34, NEQ,  101,   82,   62,   75,     ,     ,  52,
EP, 05, 2026071518, 03, FNV3,  96, 230N, 1254W,  42,  996, XX,  50, NEQ,    4,    3,    2,    3,     ,     ,  52,
EP, 05, 2026071518, 03, FNV3,  96, 230N, 1254W,  42,  996, XX,  64, NEQ,    1,    1,    1,    1,     ,     ,  52,
EP, 05, 2026071518, 03, FNV3, 102, 239N, 1258W,  41,  997, XX,  34, NEQ,   88,   78,   57,   67,     ,     ,  58,
EP, 05, 2026071518, 03, FNV3, 102, 239N, 1258W,  41,  997, XX,  50, NEQ,    3,    2,    1,    3,     ,     ,  58,
EP, 05, 2026071518, 03, FNV3, 108, 248N, 1261W,  38,  999, XX,  34, NEQ,   70,   57,   43,   52,     ,     ,  55,
EP, 05, 2026071518, 03, FNV3, 108, 248N, 1261W,  38,  999, XX,  50, NEQ,    1,    1,    0,    2,     ,     ,  55,
EP, 05, 2026071518, 03, FNV3, 114, 260N, 1264W,  36, 1000, XX,  34, NEQ,   46,   34,   25,   32,     ,     ,  59,
EP, 05, 2026071518, 03, FNV3, 114, 260N, 1264W,  36, 1000, XX,  50, NEQ,    1,    0,    0,    0,     ,     ,  59,
EP, 05, 2026071518, 03, FNV3, 120, 271N, 1267W,  33, 1001, XX,  34, NEQ,   21,   13,    8,   11,     ,     ,  62,
EP, 05, 2026071518, 03, FNV3, 126, 280N, 1271W,  33, 1001, XX,  34, NEQ,   17,   13,    6,    9,     ,     ,  60,
EP, 05, 2026071518, 03, FNV3, 132, 283N, 1276W,  31, 1002, XX,  34, NEQ,   11,    3,    2,    6,     ,     ,  58,
EP, 05, 2026071518, 03, FNV3, 138, 290N, 1283W,  28, 1004, XX,  34, NEQ,    3,    3,    2,    6,     ,     ,  57,
