# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
EP, 05, 2026071612, 03, FNV3,   0, 156N, 1169W,  51,  997, XX,  34, NEQ,   90,  110,     ,     ,     ,     ,  30,
EP, 05, 2026071612, 03, FNV3,   6, 154N, 1179W,  58,  990, XX,  34, NEQ,  114,   99,   75,   94,     ,     ,  34,
EP, 05, 2026071612, 03, FNV3,   6, 154N, 1179W,  58,  990, XX,  50, NEQ,   39,   22,   16,   21,     ,     ,  34,
EP, 05, 2026071612, 03, FNV3,   6, 154N, 1179W,  58,  990, XX,  64, NEQ,    1,    0,    0,    1,     ,     ,  34,
EP, 05, 2026071612, 03, FNV3,  12, 157N, 1189W,  62,  987, XX,  34, NEQ,  115,   98,   72,   93,     ,     ,  28,
EP, 05, 2026071612, 03, FNV3,  12, 157N, 1189W,  62,  987, XX,  50, NEQ,   40,   25,   18,   24,     ,     ,  28,
EP, 05, 2026071612, 03, FNV3,  12, 157N, 1189W,  62,  987, XX,  64, NEQ,    7,    3,    2,    3,     ,     ,  28,
EP, 05, 2026071612, 03, FNV3,  18, 159N, 1198W,  65,  986, XX,  34, NEQ,  125,  107,   82,  106,     ,     ,  26,
EP, 05, 2026071612, 03, FNV3,  18, 159N, 1198W,  65,  986, XX,  50, NEQ,   51,   39,   28,   38,     ,     ,  26,
EP, 05, 2026071612, 03, FNV3,  18, 159N, 1198W,  65,  986, XX,  64, NEQ,   11,    7,    5,    7,     ,     ,  26,
EP, 05, 2026071612, 03, FNV3,  24, 162N, 1206W,  74,  978, XX,  34, NEQ,  124,  104,   81,  106,     ,     ,  20,
EP, 05, 2026071612, 03, FNV3,  24, 162N, 1206W,  74,  978, XX,  50, NEQ,   57,   47,   36,   47,     ,     ,  20,
EP, 05, 2026071612, 03, FNV3,  24, 162N, 1206W,  74,  978, XX,  64, NEQ,   22,   16,   13,   16,     ,     ,  20,
EP, 05, 2026071612, 03, FNV3,  30, 167N, 1213W,  79,  975, XX,  34, NEQ,  124,  105,   83,  105,     ,     ,  20,
EP, 05, 2026071612, 03, FNV3,  30, 167N, 1213W,  79,  975, XX,  50, NEQ,   55,   46,   35,   46,     ,     ,  20,
EP, 05, 2026071612, 03, FNV3,  30, 167N, 1213W,  79,  975, XX,  64, NEQ,   25,   20,   16,   20,     ,     ,  20,
EP, 05, 2026071612, 03, FNV3,  36, 172N, 1220W,  82,  972, XX,  34, NEQ,  131,  112,   86,  109,     ,     ,  19,
EP, 05, 2026071612, 03, FNV3,  36, 172N, 1220W,  82,  972, XX,  50, NEQ,   58,   50,   38,   48,     ,     ,  19,
EP, 05, 2026071612, 03, FNV3,  36, 172N, 1220W,  82,  972, XX,  64, NEQ,   25,   20,   16,   19,     ,     ,  19,
EP, 05, 2026071612, 03, FNV3,  42, 179N, 1225W,  78,  975, XX,  34, NEQ,  133,  113,   87,  110,     ,     ,  21,
EP, 05, 2026071612, 03, FNV3,  42, 179N, 1225W,  78,  975, XX,  50, NEQ,   62,   54,   41,   52,     ,     ,  21,
EP, 05, 2026071612, 03, FNV3,  42, 179N, 1225W,  78,  975, XX,  64, NEQ,   26,   22,   17,   21,     ,     ,  21,
EP, 05, 2026071612, 03, FNV3,  48, 185N, 1232W,  70,  981, XX,  34, NEQ,  141,  120,   91,  117,     ,     ,  23,
EP, 05, 2026071612, 03, FNV3,  48, 185N, 1232W,  70,  981, XX,  50, NEQ,   65,   56,   41,   53,     ,     ,  23,
EP, 05, 2026071612, 03, FNV3,  48, 185N, 1232W,  70,  981, XX,  64, NEQ,   21,   17,   13,   16,     ,     ,  23,
EP, 05, 2026071612, 03, FNV3,  54, 193N, 1239W,  66,  983, XX,  34, NEQ,  139,  120,   91,  115,     ,     ,  28,
EP, 05, 2026071612, 03, FNV3,  54, 193N, 1239W,  66,  983, XX,  50, NEQ,   58,   49,   37,   46,     ,     ,  28,
EP, 05, 2026071612, 03, FNV3,  54, 193N, 1239W,  66,  983, XX,  64, NEQ,   15,   12,    9,   12,     ,     ,  28,
EP, 05, 2026071612, 03, FNV3,  60, 201N, 1245W,  60,  987, XX,  34, NEQ,  150,  131,   97,  122,     ,     ,  33,
EP, 05, 2026071612, 03, FNV3,  60, 201N, 1245W,  60,  987, XX,  50, NEQ,   57,   41,   29,   38,     ,     ,  33,
EP, 05, 2026071612, 03, FNV3,  60, 201N, 1245W,  60,  987, XX,  64, NEQ,   10,    6,    4,    6,     ,     ,  33,
EP, 05, 2026071612, 03, FNV3,  66, 209N, 1250W,  56,  990, XX,  34, NEQ,  146,  129,   98,  119,     ,     ,  38,
EP, 05, 2026071612, 03, FNV3,  66, 209N, 1250W,  56,  990, XX,  50, NEQ,   39,   27,   19,   27,     ,     ,  38,
EP, 05, 2026071612, 03, FNV3,  66, 209N, 1250W,  56,  990, XX,  64, NEQ,    4,    2,    1,    3,     ,     ,  38,
EP, 05, 2026071612, 03, FNV3,  72, 218N, 1256W,  51,  992, XX,  34, NEQ,  143,  126,   98,  118,     ,     ,  45,
EP, 05, 2026071612, 03, FNV3,  72, 218N, 1256W,  51,  992, XX,  50, NEQ,   28,   21,   15,   20,     ,     ,  45,
EP, 05, 2026071612, 03, FNV3,  72, 218N, 1256W,  51,  992, XX,  64, NEQ,    1,    0,    0,    0,     ,     ,  45,
EP, 05, 2026071612, 03, FNV3,  78, 227N, 1262W,  46,  994, XX,  34, NEQ,  146,  130,  103,  119,     ,     ,  59,
EP, 05, 2026071612, 03, FNV3,  78, 227N, 1262W,  46,  994, XX,  50, NEQ,    8,    5,    4,    5,     ,     ,  59,
EP, 05, 2026071612, 03, FNV3,  84, 237N, 1266W,  43,  994, XX,  34, NEQ,  114,  102,   79,   91,     ,     ,  57,
EP, 05, 2026071612, 03, FNV3,  84, 237N, 1266W,  43,  994, XX,  50, NEQ,    3,    2,    2,    4,     ,     ,  57,
EP, 05, 2026071612, 03, FNV3,  90, 247N, 1269W,  40,  997, XX,  34, NEQ,  110,   97,   75,   86,     ,     ,  65,
EP, 05, 2026071612, 03, FNV3,  90, 247N, 1269W,  40,  997, XX,  50, NEQ,    2,    0,    0,    4,     ,     ,  65,
EP, 05, 2026071612, 03, FNV3,  90, 247N, 1269W,  40,  997, XX,  64, NEQ,    0,    0,    0,    2,     ,     ,  65,
EP, 05, 2026071612, 03, FNV3,  96, 261N, 1273W,  37,  999, XX,  34, NEQ,   71,   58,   43,   51,     ,     ,  63,
EP, 05, 2026071612, 03, FNV3, 102, 275N, 1276W,  35,  999, XX,  34, NEQ,   46,   29,   20,   25,     ,     ,  60,
EP, 05, 2026071612, 03, FNV3, 108, 286N, 1280W,  33, 1000, XX,  34, NEQ,   29,   21,   13,   16,     ,     ,  68,
EP, 05, 2026071612, 03, FNV3, 114, 295N, 1284W,  33, 1001, XX,  34, NEQ,   20,    9,    8,   10,     ,     ,  63,
EP, 05, 2026071612, 03, FNV3, 120, 306N, 1288W,  31, 1002, XX,  34, NEQ,   13,    4,    3,    6,     ,     ,  65,
EP, 05, 2026071612, 03, FNV3, 126, 303N, 1299W,  30, 1004, XX,  34, NEQ,    8,    0,    0,    2,     ,     ,  66,
