# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
AL, 02, 2026072112, 03, FNV3,   0, 288N,  862W,  51,  996, XX,  34, NEQ,   40,   80,   80,     ,     ,     ,  40,
AL, 02, 2026072112, 03, FNV3,   0, 288N,  862W,  51,  996, XX,  50, NEQ,     ,   40,     ,     ,     ,     ,  40,
AL, 02, 2026072112, 03, FNV3,   6, 292N,  868W,  47,  996, XX,  34, NEQ,   90,   72,   50,   68,     ,     ,  44,
AL, 02, 2026072112, 03, FNV3,   6, 292N,  868W,  47,  996, XX,  50, NEQ,    8,    1,    1,    2,     ,     ,  44,
AL, 02, 2026072112, 03, FNV3,  12, 294N,  874W,  46,  997, XX,  34, NEQ,   80,   65,   49,   63,     ,     ,  43,
AL, 02, 2026072112, 03, FNV3,  12, 294N,  874W,  46,  997, XX,  50, NEQ,    9,    3,    2,    3,     ,     ,  43,
AL, 02, 2026072112, 03, FNV3,  18, 294N,  878W,  44,  997, XX,  34, NEQ,   90,   71,   55,   67,     ,     ,  55,
AL, 02, 2026072112, 03, FNV3,  18, 294N,  878W,  44,  997, XX,  50, NEQ,    8,    3,    2,    4,     ,     ,  55,
AL, 02, 2026072112, 03, FNV3,  24, 295N,  884W,  43,  998, XX,  34, NEQ,   70,   51,   36,   47,     ,     ,  52,
AL, 02, 2026072112, 03, FNV3,  24, 295N,  884W,  43,  998, XX,  50, NEQ,    8,    3,    1,    2,     ,     ,  52,
AL, 02, 2026072112, 03, FNV3,  30, 294N,  891W,  43, 1000, XX,  34, NEQ,   80,   57,   44,   59,     ,     ,  50,
AL, 02, 2026072112, 03, FNV3,  30, 294N,  891W,  43, 1000, XX,  50, NEQ,   10,    5,    3,    4,     ,     ,  50,
AL, 02, 2026072112, 03, FNV3,  36, 293N,  901W,  41, 1000, XX,  34, NEQ,   60,   42,   31,   47,     ,     ,  51,
AL, 02, 2026072112, 03, FNV3,  36, 293N,  901W,  41, 1000, XX,  50, NEQ,    5,    2,    2,    5,     ,     ,  51,
