# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
AL, 02, 2026072118, 03, FNV3,   0, 293N,  868W,  51,  995, XX,  34, NEQ,   70,  100,   40,   40,     ,     ,  40,
AL, 02, 2026072118, 03, FNV3,   0, 293N,  868W,  51,  995, XX,  50, NEQ,     ,   40,     ,     ,     ,     ,  40,
AL, 02, 2026072118, 03, FNV3,   6, 294N,  875W,  48,  996, XX,  34, NEQ,   78,   63,   48,   62,     ,     ,  40,
AL, 02, 2026072118, 03, FNV3,   6, 294N,  875W,  48,  996, XX,  50, NEQ,    8,    4,    3,    5,     ,     ,  40,
AL, 02, 2026072118, 03, FNV3,  12, 294N,  880W,  42,  999, XX,  34, NEQ,   86,   68,   51,   66,     ,     ,  58,
AL, 02, 2026072118, 03, FNV3,  12, 294N,  880W,  42,  999, XX,  50, NEQ,    1,    1,    0,    0,     ,     ,  58,
AL, 02, 2026072118, 03, FNV3,  18, 295N,  885W,  42,  998, XX,  34, NEQ,   79,   61,   46,   57,     ,     ,  55,
AL, 02, 2026072118, 03, FNV3,  18, 295N,  885W,  42,  998, XX,  50, NEQ,    3,    0,    0,    0,     ,     ,  55,
AL, 02, 2026072118, 03, FNV3,  24, 295N,  891W,  41,  999, XX,  34, NEQ,   73,   49,   35,   51,     ,     ,  54,
AL, 02, 2026072118, 03, FNV3,  24, 295N,  891W,  41,  999, XX,  50, NEQ,    3,    1,    1,    1,     ,     ,  54,
AL, 02, 2026072118, 03, FNV3,  30, 294N,  902W,  39, 1001, XX,  34, NEQ,   56,   39,   25,   35,     ,     ,  50,
AL, 02, 2026072118, 03, FNV3,  30, 294N,  902W,  39, 1001, XX,  50, NEQ,    2,    0,    0,    0,     ,     ,  50,
AL, 02, 2026072118, 03, FNV3,  36, 291N,  914W,  38, 1003, XX,  34, NEQ,   61,   49,   36,   48,     ,     ,  53,
AL, 02, 2026072118, 03, FNV3,  36, 291N,  914W,  38, 1003, XX,  50, NEQ,    5,    3,    2,    4,     ,     ,  53,
AL, 02, 2026072118, 03, FNV3,  42, 293N,  927W,  39, 1003, XX,  34, NEQ,   51,   37,   25,   38,     ,     ,  49,
AL, 02, 2026072118, 03, FNV3,  42, 293N,  927W,  39, 1003, XX,  50, NEQ,    7,    2,    1,    2,     ,     ,  49,
AL, 02, 2026072118, 03, FNV3,  48, 293N,  943W,  38, 1004, XX,  34, NEQ,   45,   32,   22,   33,     ,     ,  46,
