# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
EP, 06, 2026072518, 03, FNV3,   0, 192N, 1370W,  86,  971, XX,  34, NEQ,  160,  130,  100,  160,     ,     ,  30,
EP, 06, 2026072518, 03, FNV3,   0, 192N, 1370W,  86,  971, XX,  50, NEQ,   70,   40,   40,   60,     ,     ,  30,
EP, 06, 2026072518, 03, FNV3,   0, 192N, 1370W,  86,  971, XX,  64, NEQ,   35,   25,   20,   35,     ,     ,  30,
EP, 06, 2026072518, 03, FNV3,   6, 194N, 1380W,  78,  977, XX,  34, NEQ,  125,   99,   75,  107,     ,     ,  24,
EP, 06, 2026072518, 03, FNV3,   6, 194N, 1380W,  78,  977, XX,  50, NEQ,   52,   39,   28,   42,     ,     ,  24,
EP, 06, 2026072518, 03, FNV3,   6, 194N, 1380W,  78,  977, XX,  64, NEQ,   27,   15,   12,   17,     ,     ,  24,
EP, 06, 2026072518, 03, FNV3,  12, 196N, 1392W,  75,  980, XX,  34, NEQ,  121,   97,   73,  104,     ,     ,  23,
EP, 06, 2026072518, 03, FNV3,  12, 196N, 1392W,  75,  980, XX,  50, NEQ,   54,   42,   31,   44,     ,     ,  23,
EP, 06, 2026072518, 03, FNV3,  12, 196N, 1392W,  75,  980, XX,  64, NEQ,   26,   18,   14,   18,     ,     ,  23,
EP, 06, 2026072518, 03, FNV3,  18, 198N, 1404W,  73,  981, XX,  34, NEQ,  123,   94,   73,  106,     ,     ,  20,
EP, 06, 2026072518, 03, FNV3,  18, 198N, 1404W,  73,  981, XX,  50, NEQ,   57,   46,   34,   48,     ,     ,  20,
EP, 06, 2026072518, 03, FNV3,  18, 198N, 1404W,  73,  981, XX,  64, NEQ,   24,   18,   14,   18,     ,     ,  20,
EP, 06, 2026072518, 03, FNV3,  24, 199N, 1415W,  72,  982, XX,  34, NEQ,  117,   91,   68,  101,     ,     ,  22,
EP, 06, 2026072518, 03, FNV3,  24, 199N, 1415W,  72,  982, XX,  50, NEQ,   51,   40,   30,   43,     ,     ,  22,
EP, 06, 2026072518, 03, FNV3,  24, 199N, 1415W,  72,  982, XX,  64, NEQ,   21,   15,   11,   15,     ,     ,  22,
EP, 06, 2026072518, 03, FNV3,  30, 202N, 1427W,  71,  984, XX,  34, NEQ,  122,   93,   67,  103,     ,     ,  23,
