# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
CP, 92, 2026072618, 03, GENC,   0, 125N, 1798E,  38, 1004, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
CP, 92, 2026072618, 03, GENC,   6, 127N, 1782E,  39, 1003, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
CP, 92, 2026072618, 03, GENC,  12, 129N, 1767E,  41, 1001, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
CP, 92, 2026072618, 03, GENC,  18, 128N, 1755E,  43, 1000, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
CP, 92, 2026072618, 03, GENC,  24, 127N, 1743E,  45,  999, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
CP, 92, 2026072618, 03, GENC,  30, 128N, 1733E,  47,  998, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
CP, 92, 2026072618, 03, GENC,  36, 129N, 1723E,  49,  997, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
CP, 92, 2026072618, 03, GENC,  42, 131N, 1715E,  51,  995, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
CP, 92, 2026072618, 03, GENC,  48, 134N, 1707E,  54,  993, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
CP, 92, 2026072618, 03, GENC,  54, 138N, 1700E,  57,  991, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
CP, 92, 2026072618, 03, GENC,  60, 143N, 1693E,  59,  990, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
CP, 92, 2026072618, 03, GENC,  66, 148N, 1686E,  62,  988, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
CP, 92, 2026072618, 03, GENC,  72, 153N, 1679E,  64,  986, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
CP, 92, 2026072618, 03, GENC,  78, 159N, 1671E,  67,  984, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
CP, 92, 2026072618, 03, GENC,  84, 165N, 1663E,  70,  982, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
CP, 92, 2026072618, 03, GENC,  90, 171N, 1654E,  74,  979, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
CP, 92, 2026072618, 03, GENC,  96, 177N, 1645E,  78,  975, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
CP, 92, 2026072618, 03, GENC, 102, 183N, 1634E,  83,  971, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
CP, 92, 2026072618, 03, GENC, 108, 189N, 1624E,  87,  968, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
CP, 92, 2026072618, 03, GENC, 114, 195N, 1613E,  90,  965, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
CP, 92, 2026072618, 03, GENC, 120, 201N, 1602E,  94,  962, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
CP, 92, 2026072618, 03, GENC, 126, 208N, 1591E,  96,  960, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
CP, 92, 2026072618, 03, GENC, 132, 216N, 1580E,  99,  958, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
CP, 92, 2026072618, 03, GENC, 138, 223N, 1568E, 100,  956, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
CP, 92, 2026072618, 03, GENC, 144, 230N, 1557E, 101,  955, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
CP, 92, 2026072618, 03, GENC, 150, 239N, 1545E, 101,  956, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
CP, 92, 2026072618, 03, GENC, 156, 247N, 1534E, 101,  956, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
CP, 92, 2026072618, 03, GENC, 162, 255N, 1522E, 100,  957, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
CP, 92, 2026072618, 03, GENC, 168, 263N, 1510E,  99,  958, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
CP, 92, 2026072618, 03, GENC, 174, 271N, 1499E,  97,  959, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
CP, 92, 2026072618, 03, GENC, 180, 279N, 1489E,  96,  960, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
CP, 92, 2026072618, 03, GENC, 186, 287N, 1479E,  95,  961, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
CP, 92, 2026072618, 03, GENC, 192, 295N, 1470E,  93,  962, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
CP, 92, 2026072618, 03, GENC, 198, 301N, 1462E,  91,  964, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
CP, 92, 2026072618, 03, GENC, 204, 308N, 1454E,  90,  965, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
CP, 92, 2026072618, 03, GENC, 210, 314N, 1446E,  88,  967, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
CP, 92, 2026072618, 03, GENC, 216, 320N, 1438E,  86,  968, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
CP, 92, 2026072618, 03, GENC, 222, 326N, 1431E,  84,  970, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
CP, 92, 2026072618, 03, GENC, 228, 333N, 1424E,  83,  971, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
CP, 92, 2026072618, 03, GENC, 234, 337N, 1413E,  82,  972, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
CP, 92, 2026072618, 03, GENC, 240, 343N, 1406E,  80,  973, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
CP, 92, 2026072618, 03, GENC, 246, 343N, 1397E,  79,  974, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
CP, 92, 2026072618, 03, GENC, 252, 350N, 1391E,  77,  975, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
CP, 92, 2026072618, 03, GENC, 258, 351N, 1381E,  76,  976, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
CP, 92, 2026072618, 03, GENC, 264, 357N, 1376E,  74,  977, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
CP, 92, 2026072618, 03, GENC, 270, 352N, 1363E,  76,  976, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
CP, 92, 2026072618, 03, GENC, 276, 358N, 1359E,  74,  978, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
CP, 92, 2026072618, 03, GENC, 282, 362N, 1356E,  73,  979, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
CP, 92, 2026072618, 03, GENC, 288, 368N, 1355E,  71,  980, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
CP, 92, 2026072618, 03, GENC, 294, 365N, 1351E,  71,  980, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
CP, 92, 2026072618, 03, GENC, 300, 372N, 1353E,  70,  980, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
CP, 92, 2026072618, 03, GENC, 306, 367N, 1332E,  73,  979, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
CP, 92, 2026072618, 03, GENC, 312, 374N, 1332E,  72,  979, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
CP, 92, 2026072618, 03, GENC, 318, 374N, 1333E,  73,  979, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
CP, 92, 2026072618, 03, GENC, 324, 381N, 1335E,  71,  980, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
CP, 92, 2026072618, 03, GENC, 330, 374N, 1324E,  72,  980, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
CP, 92, 2026072618, 03, GENC, 336, 381N, 1322E,  70,  981, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
CP, 92, 2026072618, 03, GENC, 342, 370N, 1305E,  71,  980, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
CP, 92, 2026072618, 03, GENC, 348, 376N, 1304E,  69,  982, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
CP, 92, 2026072618, 03, GENC, 354, 379N, 1316E,  68,  983, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
CP, 92, 2026072618, 03, GENC, 360, 386N, 1316E,  65,  985, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
EP, 06, 2026072618, 03, GENC,   0, 200N, 1418W,  53,  994, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
EP, 06, 2026072618, 03, GENC,   6, 201N, 1431W,  51,  995, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
EP, 06, 2026072618, 03, GENC,  12, 203N, 1444W,  49,  997, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
EP, 06, 2026072618, 03, GENC,  18, 205N, 1458W,  45,  999, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
EP, 06, 2026072618, 03, GENC,  24, 208N, 1472W,  42, 1001, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
EP, 06, 2026072618, 03, GENC,  30, 211N, 1484W,  39, 1003, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
EP, 06, 2026072618, 03, GENC,  36, 214N, 1498W,  36, 1004, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
EP, 06, 2026072618, 03, GENC,  42, 217N, 1508W,  34, 1005, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
EP, 06, 2026072618, 03, GENC,  48, 220N, 1520W,  32, 1007, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
EP, 07, 2026072618, 03, GENC,   0, 135N, 1100W,  66,  985, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
EP, 07, 2026072618, 03, GENC,   6, 142N, 1110W,  65,  985, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
EP, 07, 2026072618, 03, GENC,  12, 150N, 1119W,  64,  986, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
EP, 07, 2026072618, 03, GENC,  18, 155N, 1128W,  66,  985, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
EP, 07, 2026072618, 03, GENC,  24, 161N, 1136W,  67,  984, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
EP, 07, 2026072618, 03, GENC,  30, 165N, 1144W,  67,  984, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
EP, 07, 2026072618, 03, GENC,  36, 169N, 1151W,  66,  984, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
EP, 07, 2026072618, 03, GENC,  42, 172N, 1157W,  68,  984, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
EP, 07, 2026072618, 03, GENC,  48, 174N, 1164W,  69,  983, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
EP, 07, 2026072618, 03, GENC,  54, 177N, 1171W,  67,  984, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
EP, 07, 2026072618, 03, GENC,  60, 179N, 1178W,  65,  985, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
EP, 07, 2026072618, 03, GENC,  66, 181N, 1186W,  64,  986, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
EP, 07, 2026072618, 03, GENC,  72, 184N, 1194W,  62,  988, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
EP, 07, 2026072618, 03, GENC,  78, 187N, 1202W,  60,  989, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
EP, 07, 2026072618, 03, GENC,  84, 191N, 1211W,  58,  990, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
EP, 07, 2026072618, 03, GENC,  90, 195N, 1223W,  56,  992, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
EP, 07, 2026072618, 03, GENC,  96, 199N, 1234W,  54,  993, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
EP, 07, 2026072618, 03, GENC, 102, 203N, 1246W,  51,  995, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
EP, 07, 2026072618, 03, GENC, 108, 206N, 1257W,  48,  997, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
EP, 07, 2026072618, 03, GENC, 114, 209N, 1270W,  45,  999, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
EP, 07, 2026072618, 03, GENC, 120, 212N, 1283W,  41, 1001, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
