# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
EP, 06, 2026072806, 03, FNV3,   0, 218N, 1497W,  54,  999, XX,  34, NEQ,  120,   80,     ,   90,     ,     ,  35,
EP, 06, 2026072806, 03, FNV3,   0, 218N, 1497W,  54,  999, XX,  50, NEQ,   60,     ,     ,   40,     ,     ,  35,
EP, 06, 2026072806, 03, FNV3,   6, 220N, 1509W,  51,  999, XX,  34, NEQ,  103,   78,   53,   80,     ,     ,  43,
EP, 06, 2026072806, 03, FNV3,   6, 220N, 1509W,  51,  999, XX,  50, NEQ,   20,    3,    3,    5,     ,     ,  43,
EP, 06, 2026072806, 03, FNV3,  12, 222N, 1520W,  44, 1002, XX,  34, NEQ,   86,   61,   42,   61,     ,     ,  49,
EP, 06, 2026072806, 03, FNV3,  12, 222N, 1520W,  44, 1002, XX,  50, NEQ,    1,    0,    0,    1,     ,     ,  49,
EP, 06, 2026072806, 03, FNV3,  18, 224N, 1530W,  39, 1004, XX,  34, NEQ,   56,   33,   23,   35,     ,     ,  48,
EP, 06, 2026072806, 03, FNV3,  24, 226N, 1541W,  34, 1006, XX,  34, NEQ,   45,   27,   21,   26,     ,     ,  50,
EP, 06, 2026072806, 03, FNV3,  30, 227N, 1552W,  32, 1007, XX,  34, NEQ,   17,    8,    6,    8,     ,     ,  57,
EP, 06, 2026072806, 03, FNV3,  36, 229N, 1564W,  31, 1008, XX,  34, NEQ,   17,    4,    3,    5,     ,     ,  56,
EP, 06, 2026072806, 03, FNV3,  42, 232N, 1576W,  29, 1008, XX,  34, NEQ,    2,    0,    0,    0,     ,     ,  54,
EP, 07, 2026072806, 03, FNV3,   0, 173N, 1150W, 121,  943, XX,  34, NEQ,  150,  120,   90,  130,     ,     ,  15,
EP, 07, 2026072806, 03, FNV3,   0, 173N, 1150W, 121,  943, XX,  50, NEQ,   70,   60,   50,   70,     ,     ,  15,
EP, 07, 2026072806, 03, FNV3,   0, 173N, 1150W, 121,  943, XX,  64, NEQ,   40,   35,   35,   40,     ,     ,  15,
EP, 07, 2026072806, 03, FNV3,   6, 177N, 1157W, 100,  961, XX,  34, NEQ,  131,  111,   78,  107,     ,     ,  19,
EP, 07, 2026072806, 03, FNV3,   6, 177N, 1157W, 100,  961, XX,  50, NEQ,   56,   44,   31,   46,     ,     ,  19,
EP, 07, 2026072806, 03, FNV3,   6, 177N, 1157W, 100,  961, XX,  64, NEQ,   29,   23,   17,   23,     ,     ,  19,
EP, 07, 2026072806, 03, FNV3,  12, 180N, 1165W, 100,  962, XX,  34, NEQ,  127,  105,   81,  109,     ,     ,  18,
EP, 07, 2026072806, 03, FNV3,  12, 180N, 1165W, 100,  962, XX,  50, NEQ,   51,   41,   30,   43,     ,     ,  18,
EP, 07, 2026072806, 03, FNV3,  12, 180N, 1165W, 100,  962, XX,  64, NEQ,   26,   19,   15,   20,     ,     ,  18,
EP, 07, 2026072806, 03, FNV3,  18, 183N, 1173W,  97,  962, XX,  34, NEQ,  142,  115,   90,  123,     ,     ,  20,
EP, 07, 2026072806, 03, FNV3,  18, 183N, 1173W,  97,  962, XX,  50, NEQ,   60,   48,   37,   51,     ,     ,  20,
EP, 07, 2026072806, 03, FNV3,  18, 183N, 1173W,  97,  962, XX,  64, NEQ,   31,   24,   19,   24,     ,     ,  20,
EP, 07, 2026072806, 03, FNV3,  24, 184N, 1180W,  91,  966, XX,  34, NEQ,  132,  110,   86,  115,     ,     ,  19,
EP, 07, 2026072806, 03, FNV3,  24, 184N, 1180W,  91,  966, XX,  50, NEQ,   60,   49,   38,   51,     ,     ,  19,
EP, 07, 2026072806, 03, FNV3,  24, 184N, 1180W,  91,  966, XX,  64, NEQ,   29,   24,   19,   24,     ,     ,  19,
EP, 07, 2026072806, 03, FNV3,  30, 186N, 1188W,  84,  972, XX,  34, NEQ,  135,  108,   82,  116,     ,     ,  21,
EP, 07, 2026072806, 03, FNV3,  30, 186N, 1188W,  84,  972, XX,  50, NEQ,   65,   54,   40,   55,     ,     ,  21,
EP, 07, 2026072806, 03, FNV3,  30, 186N, 1188W,  84,  972, XX,  64, NEQ,   31,   25,   20,   25,     ,     ,  21,
EP, 07, 2026072806, 03, FNV3,  36, 189N, 1197W,  76,  977, XX,  34, NEQ,  135,  111,   84,  115,     ,     ,  22,
EP, 07, 2026072806, 03, FNV3,  36, 189N, 1197W,  76,  977, XX,  50, NEQ,   60,   49,   36,   50,     ,     ,  22,
