# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
EP, 06, 2026072812, 03, FNV3,   0, 218N, 1511W,  51, 1004, XX,  34, NEQ,  120,   60,     ,  100,     ,     ,  60,
EP, 06, 2026072812, 03, FNV3,   0, 218N, 1511W,  51, 1004, XX,  50, NEQ,   70,     ,     ,     ,     ,     ,  60,
EP, 06, 2026072812, 03, FNV3,   6, 223N, 1522W,  45, 1003, XX,  34, NEQ,   84,   62,   44,   62,     ,     ,  47,
EP, 06, 2026072812, 03, FNV3,   6, 223N, 1522W,  45, 1003, XX,  50, NEQ,    3,    0,    0,    1,     ,     ,  47,
EP, 06, 2026072812, 03, FNV3,  12, 224N, 1532W,  39, 1004, XX,  34, NEQ,   60,   31,   22,   32,     ,     ,  51,
EP, 06, 2026072812, 03, FNV3,  12, 224N, 1532W,  39, 1004, XX,  50, NEQ,    0,    0,    0,    1,     ,     ,  51,
EP, 06, 2026072812, 03, FNV3,  18, 225N, 1542W,  34, 1006, XX,  34, NEQ,   32,   15,   11,   15,     ,     ,  50,
EP, 06, 2026072812, 03, FNV3,  24, 226N, 1552W,  32, 1007, XX,  34, NEQ,   11,    4,    3,    4,     ,     ,  49,
EP, 06, 2026072812, 03, FNV3,  30, 228N, 1565W,  30, 1008, XX,  34, NEQ,    5,    1,    1,    1,     ,     ,  51,
EP, 06, 2026072812, 03, FNV3,  36, 230N, 1577W,  29, 1008, XX,  34, NEQ,    5,    0,    0,    0,     ,     ,  55,
EP, 07, 2026072812, 03, FNV3,   0, 177N, 1157W, 111,  950, XX,  34, NEQ,  120,  110,   90,  120,     ,     ,  15,
EP, 07, 2026072812, 03, FNV3,   0, 177N, 1157W, 111,  950, XX,  50, NEQ,   60,   50,   50,   60,     ,     ,  15,
EP, 07, 2026072812, 03, FNV3,   0, 177N, 1157W, 111,  950, XX,  64, NEQ,   40,   30,   30,   40,     ,     ,  15,
EP, 07, 2026072812, 03, FNV3,   6, 180N, 1165W,  95,  966, XX,  34, NEQ,  124,  107,   81,  104,     ,     ,  22,
EP, 07, 2026072812, 03, FNV3,   6, 180N, 1165W,  95,  966, XX,  50, NEQ,   51,   42,   31,   43,     ,     ,  22,
EP, 07, 2026072812, 03, FNV3,   6, 180N, 1165W,  95,  966, XX,  64, NEQ,   28,   20,   16,   20,     ,     ,  22,
EP, 07, 2026072812, 03, FNV3,  12, 183N, 1172W,  91,  966, XX,  34, NEQ,  127,  105,   81,  108,     ,     ,  21,
EP, 07, 2026072812, 03, FNV3,  12, 183N, 1172W,  91,  966, XX,  50, NEQ,   54,   44,   33,   46,     ,     ,  21,
EP, 07, 2026072812, 03, FNV3,  12, 183N, 1172W,  91,  966, XX,  64, NEQ,   28,   21,   17,   21,     ,     ,  21,
EP, 07, 2026072812, 03, FNV3,  18, 184N, 1180W,  91,  967, XX,  34, NEQ,  136,  112,   89,  120,     ,     ,  19,
EP, 07, 2026072812, 03, FNV3,  18, 184N, 1180W,  91,  967, XX,  50, NEQ,   61,   50,   38,   52,     ,     ,  19,
EP, 07, 2026072812, 03, FNV3,  18, 184N, 1180W,  91,  967, XX,  64, NEQ,   29,   23,   19,   24,     ,     ,  19,
EP, 07, 2026072812, 03, FNV3,  24, 186N, 1188W,  84,  972, XX,  34, NEQ,  131,  106,   80,  114,     ,     ,  20,
EP, 07, 2026072812, 03, FNV3,  24, 186N, 1188W,  84,  972, XX,  50, NEQ,   64,   52,   40,   54,     ,     ,  20,
EP, 07, 2026072812, 03, FNV3,  24, 186N, 1188W,  84,  972, XX,  64, NEQ,   30,   24,   19,   24,     ,     ,  20,
EP, 07, 2026072812, 03, FNV3,  30, 189N, 1197W,  74,  979, XX,  34, NEQ,  133,  110,   83,  114,     ,     ,  22,
EP, 07, 2026072812, 03, FNV3,  30, 189N, 1197W,  74,  979, XX,  50, NEQ,   59,   49,   35,   48,     ,     ,  22,
EP, 07, 2026072812, 03, FNV3,  30, 189N, 1197W,  74,  979, XX,  64, NEQ,   24,   17,   13,   17,     ,     ,  22,
EP, 07, 2026072812, 03, FNV3,  36, 192N, 1207W,  68,  983, XX,  34, NEQ,  130,  104,   78,  110,     ,     ,  24,
EP, 07, 2026072812, 03, FNV3,  36, 192N, 1207W,  68,  983, XX,  50, NEQ,   52,   40,   29,   41,     ,     ,  24,
EP, 07, 2026072812, 03, FNV3,  36, 192N, 1207W,  68,  983, XX,  64, NEQ,   17,   10,    8,   10,     ,     ,  24,
