# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
EP, 07, 2026080218, 03, FNV3,   0, 246N, 1389W,  35, 1009, XX,  34, NEQ,   90,     ,     ,   50,     ,     ,  50,
EP, 07, 2026080218, 03, FNV3,   6, 252N, 1400W,  32, 1007, XX,  34, NEQ,   10,    1,    1,    3,     ,     ,  45,
EP, 07, 2026080218, 03, FNV3,  12, 256N, 1412W,  33, 1006, XX,  34, NEQ,   18,    4,    3,    5,     ,     ,  51,
EP, 07, 2026080218, 03, FNV3,  18, 262N, 1423W,  31, 1006, XX,  34, NEQ,    3,    0,    0,    0,     ,     ,  51,
EP, 07, 2026080218, 03, FNV3,  24, 264N, 1435W,  28, 1007, XX,  34, NEQ,    1,    0,    0,    0,     ,     ,  55,
EP, 07, 2026080218, 03, FNV3,  30, 267N, 1440W,  27, 1007, XX,  34, NEQ,    0,    0,    0,    0,     ,     ,  54,
WP, 12, 2026080218, 03, FNV3,   0, 240N, 1494E, 105,  945, XX,  34, NEQ,  240,  170,  160,  190,     ,     ,  20,
WP, 12, 2026080218, 03, FNV3,   6, 243N, 1482E,  97,  947, XX,  34, NEQ,  213,  190,  170,  192,     ,     ,  24,
WP, 12, 2026080218, 03, FNV3,   6, 243N, 1482E,  97,  947, XX,  50, NEQ,  116,  106,   91,  105,     ,     ,  24,
WP, 12, 2026080218, 03, FNV3,   6, 243N, 1482E,  97,  947, XX,  64, NEQ,   66,   60,   51,   57,     ,     ,  24,
WP, 12, 2026080218, 03, FNV3,  12, 247N, 1470E,  96,  948, XX,  34, NEQ,  210,  184,  166,  190,     ,     ,  28,
WP, 12, 2026080218, 03, FNV3,  12, 247N, 1470E,  96,  948, XX,  50, NEQ,  111,  101,   87,  100,     ,     ,  28,
WP, 12, 2026080218, 03, FNV3,  12, 247N, 1470E,  96,  948, XX,  64, NEQ,   63,   58,   49,   55,     ,     ,  28,
WP, 12, 2026080218, 03, FNV3,  18, 248N, 1457E,  99,  946, XX,  34, NEQ,  208,  181,  167,  192,     ,     ,  22,
WP, 12, 2026080218, 03, FNV3,  18, 248N, 1457E,  99,  946, XX,  50, NEQ,  112,  101,   88,  102,     ,     ,  22,
WP, 12, 2026080218, 03, FNV3,  18, 248N, 1457E,  99,  946, XX,  64, NEQ,   64,   59,   50,   57,     ,     ,  22,
WP, 12, 2026080218, 03, FNV3,  24, 249N, 1444E,  98,  947, XX,  34, NEQ,  216,  190,  173,  197,     ,     ,  23,
WP, 12, 2026080218, 03, FNV3,  24, 249N, 1444E,  98,  947, XX,  50, NEQ,  111,  100,   87,  100,     ,     ,  23,
WP, 12, 2026080218, 03, FNV3,  24, 249N, 1444E,  98,  947, XX,  64, NEQ,   62,   58,   49,   55,     ,     ,  23,
WP, 12, 2026080218, 03, FNV3,  30, 250N, 1432E, 100,  944, XX,  34, NEQ,  215,  191,  175,  197,     ,     ,  22,
WP, 12, 2026080218, 03, FNV3,  30, 250N, 1432E, 100,  944, XX,  50, NEQ,  119,  110,   97,  108,     ,     ,  22,
WP, 12, 2026080218, 03, FNV3,  30, 250N, 1432E, 100,  944, XX,  64, NEQ,   68,   63,   54,   60,     ,     ,  22,
WP, 12, 2026080218, 03, FNV3,  36, 251N, 1420E,  98,  945, XX,  34, NEQ,  226,  200,  181,  206,     ,     ,  26,
WP, 12, 2026080218, 03, FNV3,  36, 251N, 1420E,  98,  945, XX,  50, NEQ,  124,  114,   99,  112,     ,     ,  26,
WP, 12, 2026080218, 03, FNV3,  36, 251N, 1420E,  98,  945, XX,  64, NEQ,   69,   64,   55,   61,     ,     ,  26,
WP, 12, 2026080218, 03, FNV3,  42, 252N, 1407E,  96,  946, XX,  34, NEQ,  224,  197,  180,  206,     ,     ,  26,
WP, 12, 2026080218, 03, FNV3,  42, 252N, 1407E,  96,  946, XX,  50, NEQ,  123,  113,   99,  112,     ,     ,  26,
WP, 12, 2026080218, 03, FNV3,  42, 252N, 1407E,  96,  946, XX,  64, NEQ,   68,   63,   54,   60,     ,     ,  26,
WP, 12, 2026080218, 03, FNV3,  48, 254N, 1394E,  89,  951, XX,  34, NEQ,  227,  199,  181,  206,     ,     ,  30,
WP, 12, 2026080218, 03, FNV3,  48, 254N, 1394E,  89,  951, XX,  50, NEQ,  123,  114,   98,  110,     ,     ,  30,
WP, 12, 2026080218, 03, FNV3,  48, 254N, 1394E,  89,  951, XX,  64, NEQ,   64,   60,   50,   56,     ,     ,  30,
WP, 12, 2026080218, 03, FNV3,  54, 254N, 1382E,  85,  954, XX,  34, NEQ,  228,  203,  185,  208,     ,     ,  31,
WP, 12, 2026080218, 03, FNV3,  54, 254N, 1382E,  85,  954, XX,  50, NEQ,  121,  112,   97,  109,     ,     ,  31,
WP, 12, 2026080218, 03, FNV3,  54, 254N, 1382E,  85,  954, XX,  64, NEQ,   61,   55,   47,   52,     ,     ,  31,
WP, 12, 2026080218, 03, FNV3,  60, 256N, 1370E,  86,  952, XX,  34, NEQ,  230,  205,  189,  210,     ,     ,  29,
WP, 12, 2026080218, 03, FNV3,  60, 256N, 1370E,  86,  952, XX,  50, NEQ,  126,  117,  102,  113,     ,     ,  29,
WP, 12, 2026080218, 03, FNV3,  60, 256N, 1370E,  86,  952, XX,  64, NEQ,   67,   62,   53,   58,     ,     ,  29,
WP, 12, 2026080218, 03, FNV3,  66, 256N, 1359E,  88,  951, XX,  34, NEQ,  230,  204,  189,  213,     ,     ,  28,
WP, 12, 2026080218, 03, FNV3,  66, 256N, 1359E,  88,  951, XX,  50, NEQ,  132,  123,  109,  120,     ,     ,  28,
WP, 12, 2026080218, 03, FNV3,  66, 256N, 1359E,  88,  951, XX,  64, NEQ,   70,   66,   56,   61,     ,     ,  28,
WP, 12, 2026080218, 03, FNV3,  72, 258N, 1348E,  89,  950, XX,  34, NEQ,  230,  207,  189,  210,     ,     ,  28,
WP, 12, 2026080218, 03, FNV3,  72, 258N, 1348E,  89,  950, XX,  50, NEQ,  124,  116,  101,  111,     ,     ,  28,
WP, 12, 2026080218, 03, FNV3,  72, 258N, 1348E,  89,  950, XX,  64, NEQ,   66,   61,   51,   57,     ,     ,  28,
WP, 12, 2026080218, 03, FNV3,  78, 260N, 1338E,  89,  950, XX,  34, NEQ,  238,  217,  197,  218,     ,     ,  30,
WP, 12, 2026080218, 03, FNV3,  78, 260N, 1338E,  89,  950, XX,  50, NEQ,  130,  122,  106,  117,     ,     ,  30,
WP, 12, 2026080218, 03, FNV3,  78, 260N, 1338E,  89,  950, XX,  64, NEQ,   69,   63,   53,   58,     ,     ,  30,
WP, 12, 2026080218, 03, FNV3,  84, 262N, 1328E,  92,  947, XX,  34, NEQ,  246,  223,  203,  223,     ,     ,  31,
WP, 12, 2026080218, 03, FNV3,  84, 262N, 1328E,  92,  947, XX,  50, NEQ,  130,  122,  107,  117,     ,     ,  31,
WP, 12, 2026080218, 03, FNV3,  84, 262N, 1328E,  92,  947, XX,  64, NEQ,   70,   65,   55,   60,     ,     ,  31,
WP, 12, 2026080218, 03, FNV3,  90, 263N, 1319E,  90,  947, XX,  34, NEQ,  240,  215,  198,  221,     ,     ,  29,
WP, 12, 2026080218, 03, FNV3,  90, 263N, 1319E,  90,  947, XX,  50, NEQ,  132,  124,  109,  119,     ,     ,  29,
WP, 12, 2026080218, 03, FNV3,  90, 263N, 1319E,  90,  947, XX,  64, NEQ,   71,   66,   56,   61,     ,     ,  29,
WP, 12, 2026080218, 03, FNV3,  96, 265N, 1308E,  91,  947, XX,  34, NEQ,  233,  210,  192,  213,     ,     ,  26,
WP, 12, 2026080218, 03, FNV3,  96, 265N, 1308E,  91,  947, XX,  50, NEQ,  125,  116,  101,  111,     ,     ,  26,
WP, 12, 2026080218, 03, FNV3,  96, 265N, 1308E,  91,  947, XX,  64, NEQ,   66,   61,   51,   56,     ,     ,  26,
WP, 12, 2026080218, 03, FNV3, 102, 267N, 1298E,  89,  948, XX,  34, NEQ,  245,  226,  207,  226,     ,     ,  30,
WP, 12, 2026080218, 03, FNV3, 102, 267N, 1298E,  89,  948, XX,  50, NEQ,  122,  115,  100,  110,     ,     ,  30,
WP, 12, 2026080218, 03, FNV3, 102, 267N, 1298E,  89,  948, XX,  64, NEQ,   64,   57,   49,   53,     ,     ,  30,
WP, 12, 2026080218, 03, FNV3, 108, 268N, 1288E,  86,  950, XX,  34, NEQ,  239,  216,  200,  220,     ,     ,  31,
WP, 12, 2026080218, 03, FNV3, 108, 268N, 1288E,  86,  950, XX,  50, NEQ,  130,  123,  107,  118,     ,     ,  31,
WP, 12, 2026080218, 03, FNV3, 108, 268N, 1288E,  86,  950, XX,  64, NEQ,   67,   63,   53,   58,     ,     ,  31,
WP, 12, 2026080218, 03, FNV3, 114, 268N, 1279E,  85,  950, XX,  34, NEQ,  240,  223,  213,  227,     ,     ,  32,
WP, 12, 2026080218, 03, FNV3, 114, 268N, 1279E,  85,  950, XX,  50, NEQ,  130,  124,  110,  119,     ,     ,  32,
WP, 12, 2026080218, 03, FNV3, 114, 268N, 1279E,  85,  950, XX,  64, NEQ,   66,   61,   52,   58,     ,     ,  32,
WP, 12, 2026080218, 03, FNV3, 120, 267N, 1273E,  83,  952, XX,  34, NEQ,  227,  210,  197,  210,     ,     ,  33,
