# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
WP, 12, 2026080400, 03, FNV3,   0, 251N, 1432E,  99,  947, XX,  34, NEQ,  230,  170,  160,  210,     ,     ,  15,
WP, 12, 2026080400, 03, FNV3,   6, 252N, 1417E,  89,  951, XX,  34, NEQ,  241,  217,  196,  219,     ,     ,  33,
WP, 12, 2026080400, 03, FNV3,   6, 252N, 1417E,  89,  951, XX,  50, NEQ,  130,  121,  106,  117,     ,     ,  33,
WP, 12, 2026080400, 03, FNV3,   6, 252N, 1417E,  89,  951, XX,  64, NEQ,   70,   65,   55,   61,     ,     ,  33,
WP, 12, 2026080400, 03, FNV3,  12, 252N, 1406E,  89,  952, XX,  34, NEQ,  228,  198,  181,  211,     ,     ,  24,
WP, 12, 2026080400, 03, FNV3,  12, 252N, 1406E,  89,  952, XX,  50, NEQ,  130,  120,  106,  118,     ,     ,  24,
WP, 12, 2026080400, 03, FNV3,  12, 252N, 1406E,  89,  952, XX,  64, NEQ,   72,   67,   57,   63,     ,     ,  24,
WP, 12, 2026080400, 03, FNV3,  18, 253N, 1393E,  81,  957, XX,  34, NEQ,  226,  200,  184,  208,     ,     ,  33,
WP, 12, 2026080400, 03, FNV3,  18, 253N, 1393E,  81,  957, XX,  50, NEQ,  125,  115,   99,  111,     ,     ,  33,
WP, 12, 2026080400, 03, FNV3,  18, 253N, 1393E,  81,  957, XX,  64, NEQ,   63,   57,   48,   54,     ,     ,  33,
WP, 12, 2026080400, 03, FNV3,  24, 255N, 1380E,  81,  957, XX,  34, NEQ,  233,  209,  190,  213,     ,     ,  32,
WP, 12, 2026080400, 03, FNV3,  24, 255N, 1380E,  81,  957, XX,  50, NEQ,  125,  115,   99,  111,     ,     ,  32,
WP, 12, 2026080400, 03, FNV3,  24, 255N, 1380E,  81,  957, XX,  64, NEQ,   64,   56,   47,   54,     ,     ,  32,
WP, 12, 2026080400, 03, FNV3,  30, 257N, 1368E,  81,  955, XX,  34, NEQ,  230,  207,  192,  211,     ,     ,  32,
WP, 12, 2026080400, 03, FNV3,  30, 257N, 1368E,  81,  955, XX,  50, NEQ,  122,  114,   99,  110,     ,     ,  32,
WP, 12, 2026080400, 03, FNV3,  30, 257N, 1368E,  81,  955, XX,  64, NEQ,   64,   59,   50,   55,     ,     ,  32,
WP, 12, 2026080400, 03, FNV3,  36, 258N, 1358E,  84,  955, XX,  34, NEQ,  229,  204,  188,  212,     ,     ,  32,
WP, 12, 2026080400, 03, FNV3,  36, 258N, 1358E,  84,  955, XX,  50, NEQ,  127,  118,  103,  115,     ,     ,  32,
WP, 12, 2026080400, 03, FNV3,  36, 258N, 1358E,  84,  955, XX,  64, NEQ,   67,   62,   52,   59,     ,     ,  32,
WP, 12, 2026080400, 03, FNV3,  42, 260N, 1346E,  83,  955, XX,  34, NEQ,  228,  202,  184,  208,     ,     ,  31,
WP, 12, 2026080400, 03, FNV3,  42, 260N, 1346E,  83,  955, XX,  50, NEQ,  131,  121,  105,  117,     ,     ,  31,
WP, 12, 2026080400, 03, FNV3,  42, 260N, 1346E,  83,  955, XX,  64, NEQ,   66,   62,   52,   58,     ,     ,  31,
WP, 12, 2026080400, 03, FNV3,  48, 262N, 1334E,  86,  953, XX,  34, NEQ,  231,  207,  190,  211,     ,     ,  29,
WP, 12, 2026080400, 03, FNV3,  48, 262N, 1334E,  86,  953, XX,  50, NEQ,  127,  119,  103,  114,     ,     ,  29,
WP, 12, 2026080400, 03, FNV3,  48, 262N, 1334E,  86,  953, XX,  64, NEQ,   63,   58,   49,   54,     ,     ,  29,
WP, 12, 2026080400, 03, FNV3,  54, 264N, 1323E,  88,  949, XX,  34, NEQ,  243,  220,  202,  223,     ,     ,  33,
WP, 12, 2026080400, 03, FNV3,  54, 264N, 1323E,  88,  949, XX,  50, NEQ,  139,  131,  114,  125,     ,     ,  33,
WP, 12, 2026080400, 03, FNV3,  54, 264N, 1323E,  88,  949, XX,  64, NEQ,   72,   69,   59,   64,     ,     ,  33,
WP, 12, 2026080400, 03, FNV3,  60, 266N, 1312E,  88,  950, XX,  34, NEQ,  243,  217,  201,  225,     ,     ,  29,
WP, 12, 2026080400, 03, FNV3,  60, 266N, 1312E,  88,  950, XX,  50, NEQ,  141,  132,  117,  129,     ,     ,  29,
WP, 12, 2026080400, 03, FNV3,  60, 266N, 1312E,  88,  950, XX,  64, NEQ,   76,   73,   62,   68,     ,     ,  29,
WP, 12, 2026080400, 03, FNV3,  66, 267N, 1301E,  87,  950, XX,  34, NEQ,  234,  210,  191,  213,     ,     ,  27,
WP, 12, 2026080400, 03, FNV3,  66, 267N, 1301E,  87,  950, XX,  50, NEQ,  126,  118,  102,  113,     ,     ,  27,
