# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
WP, 12, 2026080718, 03, FNV3,   0, 266N, 1265E,  89,  948, XX,  34, NEQ,  265,  200,  200,  240,     ,     ,   5,
WP, 12, 2026080718, 03, FNV3,   6, 268N, 1259E,  66,  964, XX,  34, NEQ,  259,  243,  217,  234,     ,     ,  49,
WP, 12, 2026080718, 03, FNV3,   6, 268N, 1259E,  66,  964, XX,  50, NEQ,   97,   83,   69,   77,     ,     ,  49,
WP, 12, 2026080718, 03, FNV3,   6, 268N, 1259E,  66,  964, XX,  64, NEQ,   27,   14,   11,   16,     ,     ,  49,
WP, 12, 2026080718, 03, FNV3,  12, 269N, 1254E,  64,  965, XX,  34, NEQ,  227,  212,  192,  206,     ,     ,  47,
WP, 12, 2026080718, 03, FNV3,  12, 269N, 1254E,  64,  965, XX,  50, NEQ,   95,   83,   70,   76,     ,     ,  47,
WP, 12, 2026080718, 03, FNV3,  12, 269N, 1254E,  64,  965, XX,  64, NEQ,   19,   14,   13,   14,     ,     ,  47,
WP, 12, 2026080718, 03, FNV3,  18, 270N, 1248E,  62,  967, XX,  34, NEQ,  248,  232,  213,  230,     ,     ,  47,
WP, 12, 2026080718, 03, FNV3,  18, 270N, 1248E,  62,  967, XX,  50, NEQ,  115,  107,   91,   98,     ,     ,  47,
WP, 12, 2026080718, 03, FNV3,  18, 270N, 1248E,  62,  967, XX,  64, NEQ,   20,   16,   14,   16,     ,     ,  47,
WP, 12, 2026080718, 03, FNV3,  24, 272N, 1241E,  60,  968, XX,  34, NEQ,  222,  206,  184,  201,     ,     ,  49,
WP, 12, 2026080718, 03, FNV3,  24, 272N, 1241E,  60,  968, XX,  50, NEQ,   98,   88,   72,   79,     ,     ,  49,
WP, 12, 2026080718, 03, FNV3,  24, 272N, 1241E,  60,  968, XX,  64, NEQ,   12,    9,    8,   10,     ,     ,  49,
WP, 12, 2026080718, 03, FNV3,  30, 274N, 1232E,  62,  969, XX,  34, NEQ,  226,  209,  186,  202,     ,     ,  46,
WP, 12, 2026080718, 03, FNV3,  30, 274N, 1232E,  62,  969, XX,  50, NEQ,   99,   89,   73,   81,     ,     ,  46,
WP, 12, 2026080718, 03, FNV3,  30, 274N, 1232E,  62,  969, XX,  64, NEQ,   16,   13,   11,   14,     ,     ,  46,
WP, 12, 2026080718, 03, FNV3,  36, 275N, 1224E,  64,  967, XX,  34, NEQ,  195,  179,  162,  176,     ,     ,  36,
WP, 12, 2026080718, 03, FNV3,  36, 275N, 1224E,  64,  967, XX,  50, NEQ,   82,   71,   60,   69,     ,     ,  36,
WP, 12, 2026080718, 03, FNV3,  36, 275N, 1224E,  64,  967, XX,  64, NEQ,   23,   17,   14,   16,     ,     ,  36,
WP, 12, 2026080718, 03, FNV3,  42, 277N, 1216E,  60,  971, XX,  34, NEQ,  155,  141,  129,  140,     ,     ,  34,
