# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
CP, 93, 2026080912, 03, FNV3,   0, 101N, 1406W,  19, 1007, XX,  34, NEQ,    0,    0,    0,    0,     ,     ,   0,
WP, 12, 2026080912, 03, FNV3,   0, 279N, 1206E,  64,  958, XX,  34, NEQ,  255,  170,  170,  240,     ,     ,  15,
WP, 12, 2026080912, 03, FNV3,   6, 278N, 1197E,  47,  981, XX,  34, NEQ,   93,   86,   71,   77,     ,     ,  25,
WP, 12, 2026080912, 03, FNV3,   6, 278N, 1197E,  47,  981, XX,  50, NEQ,   12,    7,    5,    7,     ,     ,  25,
WP, 12, 2026080912, 03, FNV3,  12, 282N, 1189E,  39,  985, XX,  34, NEQ,   57,   56,   43,   46,     ,     ,  34,
WP, 12, 2026080912, 03, FNV3,  18, 289N, 1180E,  33,  988, XX,  34, NEQ,   26,   22,   17,   19,     ,     ,  36,
WP, 12, 2026080912, 03, FNV3,  24, 296N, 1171E,  28,  990, XX,  34, NEQ,    9,    7,    6,    7,     ,     ,  46,
WP, 12, 2026080912, 03, FNV3,  30, 303N, 1160E,  25,  992, XX,  34, NEQ,    1,    1,    2,    1,     ,     ,  48,
WP, 12, 2026080912, 03, FNV3,  36, 307N, 1149E,  24,  995, XX,  34, NEQ,    0,    0,    0,    0,     ,     ,  47,
WP, 12, 2026080912, 03, FNV3,  42, 309N, 1142E,  23,  995, XX,  34, NEQ,    1,    0,    0,    0,     ,     ,  51,
WP, 12, 2026080912, 03, FNV3,  48, 308N, 1138E,  22,  996, XX,  34, NEQ,    0,    0,    0,    0,     ,     ,  48,
WP, 12, 2026080912, 03, FNV3,  54, 309N, 1136E,  21,  997, XX,  34, NEQ,    0,    0,    0,    0,     ,     ,  48,
WP, 12, 2026080912, 03, FNV3,  60, 308N, 1137E,  16, 1000, XX,  34, NEQ,    0,    0,    0,    0,     ,     ,  52,
WP, 12, 2026080912, 03, FNV3,  66, 311N, 1143E,  17, 1000, XX,  34, NEQ,    0,    0,    0,    0,     ,     ,  47,
WP, 13, 2026080912, 03, FNV3,   0, 208N, 1440E,  35,  999, XX,  34, NEQ,   50,   50,   45,   30,     ,     ,  30,
WP, 13, 2026080912, 03, FNV3,   6, 205N, 1465E,  38,  994, XX,  34, NEQ,   19,   21,   15,   12,     ,     ,  32,
WP, 13, 2026080912, 03, FNV3,  12, 208N, 1489E,  39,  994, XX,  34, NEQ,   30,   29,   23,   22,     ,     ,  35,
WP, 13, 2026080912, 03, FNV3,  12, 208N, 1489E,  39,  994, XX,  50, NEQ,    1,    2,    1,    1,     ,     ,  35,
WP, 13, 2026080912, 03, FNV3,  18, 215N, 1511E,  42,  991, XX,  34, NEQ,   42,   41,   30,   32,     ,     ,  27,
WP, 13, 2026080912, 03, FNV3,  18, 215N, 1511E,  42,  991, XX,  50, NEQ,    3,    3,    2,    2,     ,     ,  27,
WP, 13, 2026080912, 03, FNV3,  24, 224N, 1531E,  39,  993, XX,  34, NEQ,   34,   34,   23,   25,     ,     ,  34,
WP, 13, 2026080912, 03, FNV3,  24, 224N, 1531E,  39,  993, XX,  50, NEQ,    1,    1,    0,    0,     ,     ,  34,
WP, 13, 2026080912, 03, FNV3,  30, 233N, 1547E,  39,  993, XX,  34, NEQ,   46,   44,   32,   32,     ,     ,  38,
WP, 13, 2026080912, 03, FNV3,  30, 233N, 1547E,  39,  993, XX,  50, NEQ,    0,    1,    0,    0,     ,     ,  38,
WP, 13, 2026080912, 03, FNV3,  36, 243N, 1561E,  38,  993, XX,  34, NEQ,   39,   34,   28,   28,     ,     ,  34,
WP, 13, 2026080912, 03, FNV3,  42, 256N, 1575E,  36,  993, XX,  34, NEQ,   26,   26,   21,   18,     ,     ,  38,
WP, 13, 2026080912, 03, FNV3,  48, 270N, 1585E,  33,  994, XX,  34, NEQ,   12,    8,    8,    7,     ,     ,  40,
WP, 13, 2026080912, 03, FNV3,  54, 283N, 1596E,  33,  994, XX,  34, NEQ,   14,   20,   11,   10,     ,     ,  41,
WP, 13, 2026080912, 03, FNV3,  60, 294N, 1607E,  34,  994, XX,  34, NEQ,   10,   15,    7,    7,     ,     ,  35,
WP, 13, 2026080912, 03, FNV3,  60, 294N, 1607E,  34,  994, XX,  50, NEQ,    1,    1,    1,    1,     ,     ,  35,
WP, 13, 2026080912, 03, FNV3,  66, 301N, 1617E,  32,  994, XX,  34, NEQ,   10,   13,    8,    7,     ,     ,  38,
WP, 13, 2026080912, 03, FNV3,  72, 307N, 1628E,  32,  995, XX,  34, NEQ,    8,   10,    6,    5,     ,     ,  37,
WP, 13, 2026080912, 03, FNV3,  72, 307N, 1628E,  32,  995, XX,  50, NEQ,    0,    1,    0,    0,     ,     ,  37,
WP, 13, 2026080912, 03, FNV3,  78, 311N, 1640E,  32,  996, XX,  34, NEQ,   12,   14,   10,    8,     ,     ,  43,
WP, 13, 2026080912, 03, FNV3,  84, 314N, 1653E,  30,  996, XX,  34, NEQ,    3,    9,    5,    2,     ,     ,  55,
WP, 13, 2026080912, 03, FNV3,  90, 316N, 1664E,  31,  995, XX,  34, NEQ,   10,   10,    5,    4,     ,     ,  54,
WP, 13, 2026080912, 03, FNV3,  96, 321N, 1679E,  31,  994, XX,  34, NEQ,    9,    8,    9,    5,     ,     ,  55,
WP, 13, 2026080912, 03, FNV3, 102, 326N, 1698E,  31,  994, XX,  34, NEQ,   14,   29,   11,   11,     ,     ,  66,
WP, 13, 2026080912, 03, FNV3, 108, 337N, 1722E,  35,  993, XX,  34, NEQ,   13,   26,   11,   10,     ,     ,  53,
WP, 13, 2026080912, 03, FNV3, 108, 337N, 1722E,  35,  993, XX,  50, NEQ,    0,    2,    0,    0,     ,     ,  53,
WP, 14, 2026080912, 03, FNV3,   0, 323N, 1507E,  35,  990, XX,  34, NEQ,  100,   70,     ,   80,     ,     ,  45,
WP, 14, 2026080912, 03, FNV3,   6, 331N, 1505E,  35,  990, XX,  34, NEQ,   24,    5,    3,    7,     ,     ,  48,
WP, 14, 2026080912, 03, FNV3,  12, 339N, 1499E,  37,  990, XX,  34, NEQ,   40,   21,   15,   16,     ,     ,  52,
WP, 14, 2026080912, 03, FNV3,  18, 349N, 1492E,  43,  986, XX,  34, NEQ,   84,   67,   52,   61,     ,     ,  47,
WP, 14, 2026080912, 03, FNV3,  18, 349N, 1492E,  43,  986, XX,  50, NEQ,    1,    0,    0,    1,     ,     ,  47,
WP, 14, 2026080912, 03, FNV3,  24, 359N, 1479E,  47,  984, XX,  34, NEQ,  100,   87,   67,   79,     ,     ,  42,
WP, 14, 2026080912, 03, FNV3,  24, 359N, 1479E,  47,  984, XX,  50, NEQ,    5,    2,    0,    2,     ,     ,  42,
WP, 14, 2026080912, 03, FNV3,  30, 369N, 1462E,  47,  984, XX,  34, NEQ,  115,   99,   85,   94,     ,     ,  50,
WP, 14, 2026080912, 03, FNV3,  30, 369N, 1462E,  47,  984, XX,  50, NEQ,   12,    4,    4,    3,     ,     ,  50,
WP, 14, 2026080912, 03, FNV3,  36, 371N, 1441E,  49,  984, XX,  34, NEQ,  156,  138,  122,  138,     ,     ,  52,
WP, 14, 2026080912, 03, FNV3,  36, 371N, 1441E,  49,  984, XX,  50, NEQ,   19,   14,   11,   17,     ,     ,  52,
WP, 14, 2026080912, 03, FNV3,  42, 369N, 1420E,  48,  985, XX,  34, NEQ,  117,  103,   97,  112,     ,     ,  50,
WP, 14, 2026080912, 03, FNV3,  42, 369N, 1420E,  48,  985, XX,  50, NEQ,   16,   10,    8,   13,     ,     ,  50,
WP, 14, 2026080912, 03, FNV3,  42, 369N, 1420E,  48,  985, XX,  64, NEQ,    1,    0,    0,    0,     ,     ,  50,
WP, 14, 2026080912, 03, FNV3,  48, 366N, 1402E,  39,  991, XX,  34, NEQ,   42,   34,   29,   38,     ,     ,  41,
WP, 14, 2026080912, 03, FNV3,  48, 366N, 1402E,  39,  991, XX,  50, NEQ,    3,    1,    1,    1,     ,     ,  41,
WP, 14, 2026080912, 03, FNV3,  54, 367N, 1381E,  30,  997, XX,  34, NEQ,    4,    3,    2,    8,     ,     ,  47,
WP, 14, 2026080912, 03, FNV3,  60, 367N, 1359E,  27, 1000, XX,  34, NEQ,    3,    3,    1,    1,     ,     ,  65,
WP, 14, 2026080912, 03, FNV3,  66, 365N, 1344E,  27,  999, XX,  34, NEQ,    8,    8,    7,    7,     ,     ,  67,
WP, 98, 2026080912, 03, FNV3,   0, 236N, 1589E,  19, 1000, XX,  34, NEQ,    0,    0,    0,    0,     ,     ,  30,
WP, 98, 2026080912, 03, FNV3,   6, 246N, 1596E,  30,  998, XX,  34, NEQ,    5,    2,    1,    3,     ,     ,  50,
WP, 98, 2026080912, 03, FNV3,  12, 254N, 1606E,  29,  998, XX,  34, NEQ,   10,    0,    0,    0,     ,     ,  52,
