# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
AL, 94, 2026081506, 03, FNV3,   0, 111N,  396W,  25, 1012, XX,  34, NEQ,    0,    0,    0,    0,     ,     , 120,
CP, 01, 2026081506, 03, FNV3,   0, 176N, 1530W,  54,  991, XX,  34, NEQ,  190,     ,     ,  150,     ,     ,  80,
CP, 01, 2026081506, 03, FNV3,   0, 176N, 1530W,  54,  991, XX,  50, NEQ,   90,     ,     ,     ,     ,     ,  80,
CP, 01, 2026081506, 03, FNV3,   6, 178N, 1539W,  64,  988, XX,  34, NEQ,  120,   94,   65,   99,     ,     ,  23,
CP, 01, 2026081506, 03, FNV3,   6, 178N, 1539W,  64,  988, XX,  50, NEQ,   37,   27,   18,   28,     ,     ,  23,
CP, 01, 2026081506, 03, FNV3,   6, 178N, 1539W,  64,  988, XX,  64, NEQ,    8,    2,    2,    3,     ,     ,  23,
CP, 01, 2026081506, 03, FNV3,  12, 180N, 1549W,  68,  984, XX,  34, NEQ,  111,   88,   63,   93,     ,     ,  18,
CP, 01, 2026081506, 03, FNV3,  12, 180N, 1549W,  68,  984, XX,  50, NEQ,   39,   28,   19,   29,     ,     ,  18,
CP, 01, 2026081506, 03, FNV3,  12, 180N, 1549W,  68,  984, XX,  64, NEQ,   11,    6,    4,    6,     ,     ,  18,
CP, 01, 2026081506, 03, FNV3,  18, 186N, 1557W,  75,  979, XX,  34, NEQ,  111,   91,   69,   96,     ,     ,  16,
CP, 01, 2026081506, 03, FNV3,  18, 186N, 1557W,  75,  979, XX,  50, NEQ,   49,   39,   29,   40,     ,     ,  16,
CP, 01, 2026081506, 03, FNV3,  18, 186N, 1557W,  75,  979, XX,  64, NEQ,   20,   14,   12,   16,     ,     ,  16,
CP, 01, 2026081506, 03, FNV3,  24, 191N, 1568W,  67,  985, XX,  34, NEQ,  118,  100,   72,   99,     ,     ,  22,
CP, 01, 2026081506, 03, FNV3,  24, 191N, 1568W,  67,  985, XX,  50, NEQ,   44,   32,   23,   32,     ,     ,  22,
CP, 01, 2026081506, 03, FNV3,  24, 191N, 1568W,  67,  985, XX,  64, NEQ,   14,    8,    6,    9,     ,     ,  22,
CP, 01, 2026081506, 03, FNV3,  30, 197N, 1581W,  60,  990, XX,  34, NEQ,  119,   98,   69,   96,     ,     ,  27,
