# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
CP, 01, 2026081906, 03, GENC,   0, 207N, 1693W,  66,  985, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
CP, 01, 2026081906, 03, GENC,   6, 213N, 1700W,  69,  982, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
CP, 01, 2026081906, 03, GENC,  12, 218N, 1707W,  73,  979, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
CP, 01, 2026081906, 03, GENC,  18, 224N, 1714W,  74,  979, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
CP, 01, 2026081906, 03, GENC,  24, 230N, 1721W,  75,  978, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
CP, 01, 2026081906, 03, GENC,  30, 237N, 1724W,  76,  977, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
CP, 01, 2026081906, 03, GENC,  36, 243N, 1727W,  77,  976, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
CP, 01, 2026081906, 03, GENC,  42, 250N, 1725W,  78,  976, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
CP, 01, 2026081906, 03, GENC,  48, 257N, 1722W,  78,  975, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
CP, 01, 2026081906, 03, GENC,  54, 267N, 1716W,  79,  975, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
CP, 01, 2026081906, 03, GENC,  60, 277N, 1710W,  80,  974, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
CP, 01, 2026081906, 03, GENC,  66, 288N, 1713W,  79,  975, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
CP, 01, 2026081906, 03, GENC,  72, 300N, 1716W,  78,  975, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
CP, 01, 2026081906, 03, GENC,  78, 305N, 1725W,  77,  976, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
CP, 01, 2026081906, 03, GENC,  84, 310N, 1734W,  76,  977, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
CP, 01, 2026081906, 03, GENC,  90, 314N, 1738W,  73,  979, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
CP, 01, 2026081906, 03, GENC,  96, 318N, 1743W,  71,  981, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
CP, 01, 2026081906, 03, GENC, 102, 323N, 1749W,  68,  983, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
CP, 01, 2026081906, 03, GENC, 108, 328N, 1756W,  65,  985, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
CP, 01, 2026081906, 03, GENC, 114, 332N, 1761W,  63,  987, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
CP, 01, 2026081906, 03, GENC, 120, 336N, 1767W,  62,  988, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
CP, 01, 2026081906, 03, GENC, 126, 340N, 1772W,  60,  989, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
CP, 01, 2026081906, 03, GENC, 132, 343N, 1777W,  59,  990, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
CP, 01, 2026081906, 03, GENC, 138, 349N, 1781W,  57,  991, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
CP, 01, 2026081906, 03, GENC, 144, 354N, 1785W,  55,  992, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
CP, 01, 2026081906, 03, GENC, 150, 361N, 1789W,  53,  994, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
CP, 01, 2026081906, 03, GENC, 156, 368N, 1793W,  51,  995, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
CP, 01, 2026081906, 03, GENC, 162, 377N, 1795W,  49,  997, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
CP, 01, 2026081906, 03, GENC, 168, 386N, 1798W,  47,  998, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
CP, 01, 2026081906, 03, GENC, 174, 396N, 1799W,  45,  999, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
CP, 01, 2026081906, 03, GENC, 180, 405N, 1800W,  43, 1000, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
CP, 01, 2026081906, 03, GENC, 186, 415N, 1799W,  41, 1001, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
CP, 01, 2026081906, 03, GENC, 192, 425N, 1798W,  39, 1002, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
CP, 01, 2026081906, 03, GENC, 198, 431N, 1793W,  38, 1003, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
CP, 01, 2026081906, 03, GENC, 204, 440N, 1789W,  36, 1004, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
CP, 01, 2026081906, 03, GENC, 210, 442N, 1786W,  35, 1005, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
CP, 01, 2026081906, 03, GENC, 216, 451N, 1781W,  34, 1005, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
CP, 01, 2026081906, 03, GENC, 222, 441N, 1783W,  34, 1005, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
CP, 01, 2026081906, 03, GENC, 228, 444N, 1781W,  33, 1006, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
WP, 17, 2026081906, 03, GENC,   0,  88N, 1538E,  42, 1001, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
WP, 17, 2026081906, 03, GENC,   6,  98N, 1535E,  42, 1001, XX,  34, NEQ,     ,     ,     ,     ,     ,     ,    ,
