# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
CP, 01, 2026082006, 03, FNV3,   0, 231N, 1718W,  95,  963, XX,  34, NEQ,  120,  100,   70,  110,     ,     ,  15,
CP, 01, 2026082006, 03, FNV3,   0, 231N, 1718W,  95,  963, XX,  50, NEQ,   70,   60,   50,   50,     ,     ,  15,
CP, 01, 2026082006, 03, FNV3,   0, 231N, 1718W,  95,  963, XX,  64, NEQ,   30,   25,   25,   25,     ,     ,  15,
CP, 01, 2026082006, 03, FNV3,   6, 238N, 1721W,  81,  971, XX,  34, NEQ,  126,  110,   79,  101,     ,     ,  22,
CP, 01, 2026082006, 03, FNV3,   6, 238N, 1721W,  81,  971, XX,  50, NEQ,   57,   48,   34,   46,     ,     ,  22,
CP, 01, 2026082006, 03, FNV3,   6, 238N, 1721W,  81,  971, XX,  64, NEQ,   29,   22,   17,   21,     ,     ,  22,
CP, 01, 2026082006, 03, FNV3,  12, 244N, 1722W,  78,  973, XX,  34, NEQ,  129,  120,   85,  100,     ,     ,  23,
CP, 01, 2026082006, 03, FNV3,  12, 244N, 1722W,  78,  973, XX,  50, NEQ,   54,   48,   35,   43,     ,     ,  23,
CP, 01, 2026082006, 03, FNV3,  12, 244N, 1722W,  78,  973, XX,  64, NEQ,   29,   20,   16,   18,     ,     ,  23,
CP, 01, 2026082006, 03, FNV3,  18, 251N, 1722W,  79,  972, XX,  34, NEQ,  125,  122,   87,   98,     ,     ,  19,
CP, 01, 2026082006, 03, FNV3,  18, 251N, 1722W,  79,  972, XX,  50, NEQ,   59,   54,   40,   46,     ,     ,  19,
CP, 01, 2026082006, 03, FNV3,  18, 251N, 1722W,  79,  972, XX,  64, NEQ,   30,   25,   20,   22,     ,     ,  19,
CP, 01, 2026082006, 03, FNV3,  24, 259N, 1717W,  79,  973, XX,  34, NEQ,  119,  124,   85,   89,     ,     ,  20,
CP, 01, 2026082006, 03, FNV3,  24, 259N, 1717W,  79,  973, XX,  50, NEQ,   52,   51,   36,   40,     ,     ,  20,
CP, 01, 2026082006, 03, FNV3,  24, 259N, 1717W,  79,  973, XX,  64, NEQ,   25,   23,   17,   18,     ,     ,  20,
CP, 01, 2026082006, 03, FNV3,  30, 268N, 1712W,  80,  972, XX,  34, NEQ,  128,  131,   91,   98,     ,     ,  19,
CP, 01, 2026082006, 03, FNV3,  30, 268N, 1712W,  80,  972, XX,  50, NEQ,   58,   57,   41,   45,     ,     ,  19,
CP, 01, 2026082006, 03, FNV3,  30, 268N, 1712W,  80,  972, XX,  64, NEQ,   28,   26,   20,   21,     ,     ,  19,
CP, 01, 2026082006, 03, FNV3,  36, 280N, 1708W,  77,  973, XX,  34, NEQ,  142,  146,  102,  107,     ,     ,  26,
CP, 01, 2026082006, 03, FNV3,  36, 280N, 1708W,  77,  973, XX,  50, NEQ,   55,   54,   39,   43,     ,     ,  26,
CP, 01, 2026082006, 03, FNV3,  36, 280N, 1708W,  77,  973, XX,  64, NEQ,   24,   23,   14,   15,     ,     ,  26,
CP, 01, 2026082006, 03, FNV3,  42, 292N, 1711W,  76,  973, XX,  34, NEQ,  152,  143,  104,  119,     ,     ,  29,
CP, 01, 2026082006, 03, FNV3,  42, 292N, 1711W,  76,  973, XX,  50, NEQ,   62,   55,   40,   48,     ,     ,  29,
CP, 01, 2026082006, 03, FNV3,  42, 292N, 1711W,  76,  973, XX,  64, NEQ,   27,   21,   14,   17,     ,     ,  29,
CP, 01, 2026082006, 03, FNV3,  48, 299N, 1718W,  68,  976, XX,  34, NEQ,  173,  153,  119,  142,     ,     ,  42,
CP, 01, 2026082006, 03, FNV3,  48, 299N, 1718W,  68,  976, XX,  50, NEQ,   75,   64,   48,   59,     ,     ,  42,
CP, 01, 2026082006, 03, FNV3,  48, 299N, 1718W,  68,  976, XX,  64, NEQ,   35,   20,   15,   18,     ,     ,  42,
CP, 01, 2026082006, 03, FNV3,  54, 303N, 1725W,  65,  977, XX,  34, NEQ,  173,  150,  125,  150,     ,     ,  42,
CP, 01, 2026082006, 03, FNV3,  54, 303N, 1725W,  65,  977, XX,  50, NEQ,   74,   61,   47,   59,     ,     ,  42,
CP, 01, 2026082006, 03, FNV3,  54, 303N, 1725W,  65,  977, XX,  64, NEQ,   21,   11,    9,   13,     ,     ,  42,
CP, 01, 2026082006, 03, FNV3,  60, 307N, 1728W,  64,  979, XX,  34, NEQ,  189,  170,  138,  160,     ,     ,  44,
CP, 01, 2026082006, 03, FNV3,  60, 307N, 1728W,  64,  979, XX,  50, NEQ,   76,   63,   48,   58,     ,     ,  44,
CP, 01, 2026082006, 03, FNV3,  60, 307N, 1728W,  64,  979, XX,  64, NEQ,   17,    7,    4,    6,     ,     ,  44,
CP, 01, 2026082006, 03, FNV3,  66, 312N, 1734W,  64,  979, XX,  34, NEQ,  176,  155,  124,  148,     ,     ,  40,
CP, 01, 2026082006, 03, FNV3,  66, 312N, 1734W,  64,  979, XX,  50, NEQ,   62,   48,   35,   45,     ,     ,  40,
CP, 01, 2026082006, 03, FNV3,  66, 312N, 1734W,  64,  979, XX,  64, NEQ,   15,    6,    3,    6,     ,     ,  40,
CP, 01, 2026082006, 03, FNV3,  72, 316N, 1740W,  61,  982, XX,  34, NEQ,  178,  157,  127,  149,     ,     ,  46,
CP, 01, 2026082006, 03, FNV3,  72, 316N, 1740W,  61,  982, XX,  50, NEQ,   64,   47,   37,   45,     ,     ,  46,
CP, 01, 2026082006, 03, FNV3,  72, 316N, 1740W,  61,  982, XX,  64, NEQ,    9,    3,    3,    4,     ,     ,  46,
CP, 01, 2026082006, 03, FNV3,  78, 320N, 1747W,  59,  983, XX,  34, NEQ,  154,  133,  109,  131,     ,     ,  44,
CP, 01, 2026082006, 03, FNV3,  78, 320N, 1747W,  59,  983, XX,  50, NEQ,   46,   30,   21,   32,     ,     ,  44,
