# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
AL, 04, 2026082800, 03, FNV3,   0, 137N,  414W,  35, 1007, XX,  34, NEQ,  100,     ,     ,     ,     ,     ,  50,
AL, 04, 2026082800, 03, FNV3,   6, 142N,  435W,  35, 1007, XX,  34, NEQ,   34,   11,    7,   11,     ,     ,  49,
AL, 04, 2026082800, 03, FNV3,  12, 147N,  457W,  37, 1006, XX,  34, NEQ,   33,    8,    4,    8,     ,     ,  44,
AL, 04, 2026082800, 03, FNV3,  18, 152N,  481W,  36, 1007, XX,  34, NEQ,   44,   20,   13,   21,     ,     ,  47,
AL, 04, 2026082800, 03, FNV3,  24, 159N,  506W,  37, 1007, XX,  34, NEQ,   49,   21,   13,   20,     ,     ,  50,
AL, 04, 2026082800, 03, FNV3,  30, 161N,  527W,  38, 1008, XX,  34, NEQ,   51,   26,   18,   25,     ,     ,  49,
AL, 04, 2026082800, 03, FNV3,  36, 165N,  548W,  41, 1008, XX,  34, NEQ,   68,   25,   14,   24,     ,     ,  58,
AL, 04, 2026082800, 03, FNV3,  36, 165N,  548W,  41, 1008, XX,  50, NEQ,    2,    1,    1,    1,     ,     ,  58,
AL, 04, 2026082800, 03, FNV3,  42, 170N,  572W,  39, 1007, XX,  34, NEQ,   49,   19,   13,   18,     ,     ,  51,
CP, 01, 2026082800, 03, FNV3,   0, 377N, 1790W,  35, 1002, XX,  34, NEQ,  100,   80,     ,   80,     ,     ,  80,
CP, 01, 2026082800, 03, FNV3,   6, 379N, 1793W,  31, 1005, XX,  34, NEQ,   10,    0,    0,    1,     ,     ,  53,
CP, 01, 2026082800, 03, FNV3,  12, 383N, 1798W,  31, 1006, XX,  34, NEQ,    4,    0,    0,    0,     ,     ,  63,
CP, 01, 2026082800, 03, FNV3,  18, 384N, 1797E,  27, 1007, XX,  34, NEQ,    0,    0,    0,    3,     ,     ,  52,
EP, 11, 2026082800, 03, FNV3,   0, 116N, 1123W,  45, 1000, XX,  34, NEQ,  180,   50,     ,  130,     ,     ,  90,
EP, 11, 2026082800, 03, FNV3,   6, 121N, 1135W,  45,  997, XX,  34, NEQ,   75,   57,   40,   52,     ,     ,  49,
EP, 11, 2026082800, 03, FNV3,   6, 121N, 1135W,  45,  997, XX,  50, NEQ,    6,    0,    1,    0,     ,     ,  49,
EP, 11, 2026082800, 03, FNV3,  12, 127N, 1142W,  50,  995, XX,  34, NEQ,   94,   77,   50,   66,     ,     ,  45,
EP, 11, 2026082800, 03, FNV3,  12, 127N, 1142W,  50,  995, XX,  50, NEQ,   20,    7,    3,    4,     ,     ,  45,
EP, 11, 2026082800, 03, FNV3,  12, 127N, 1142W,  50,  995, XX,  64, NEQ,    1,    0,    0,    0,     ,     ,  45,
EP, 11, 2026082800, 03, FNV3,  18, 134N, 1150W,  55,  993, XX,  34, NEQ,   98,   84,   55,   74,     ,     ,  36,
EP, 11, 2026082800, 03, FNV3,  18, 134N, 1150W,  55,  993, XX,  50, NEQ,   29,    9,    5,    7,     ,     ,  36,
EP, 11, 2026082800, 03, FNV3,  18, 134N, 1150W,  55,  993, XX,  64, NEQ,    1,    1,    0,    0,     ,     ,  36,
EP, 11, 2026082800, 03, FNV3,  24, 141N, 1157W,  68,  985, XX,  34, NEQ,  104,   85,   57,   82,     ,     ,  23,
EP, 11, 2026082800, 03, FNV3,  24, 141N, 1157W,  68,  985, XX,  50, NEQ,   36,   22,   15,   22,     ,     ,  23,
EP, 11, 2026082800, 03, FNV3,  24, 141N, 1157W,  68,  985, XX,  64, NEQ,   11,    3,    3,    4,     ,     ,  23,
EP, 11, 2026082800, 03, FNV3,  30, 147N, 1166W,  72,  980, XX,  34, NEQ,  132,  108,   78,  108,     ,     ,  18,
EP, 11, 2026082800, 03, FNV3,  30, 147N, 1166W,  72,  980, XX,  50, NEQ,   46,   35,   24,   35,     ,     ,  18,
EP, 11, 2026082800, 03, FNV3,  30, 147N, 1166W,  72,  980, XX,  64, NEQ,   13,    7,    5,    8,     ,     ,  18,
EP, 11, 2026082800, 03, FNV3,  36, 154N, 1175W,  81,  974, XX,  34, NEQ,  123,  100,   68,   98,     ,     ,  14,
EP, 11, 2026082800, 03, FNV3,  36, 154N, 1175W,  81,  974, XX,  50, NEQ,   47,   37,   26,   36,     ,     ,  14,
EP, 11, 2026082800, 03, FNV3,  36, 154N, 1175W,  81,  974, XX,  64, NEQ,   18,   12,    9,   12,     ,     ,  14,
EP, 11, 2026082800, 03, FNV3,  42, 161N, 1184W,  81,  974, XX,  34, NEQ,  125,  102,   73,  104,     ,     ,  16,
EP, 11, 2026082800, 03, FNV3,  42, 161N, 1184W,  81,  974, XX,  50, NEQ,   51,   40,   29,   41,     ,     ,  16,
EP, 11, 2026082800, 03, FNV3,  42, 161N, 1184W,  81,  974, XX,  64, NEQ,   19,   14,   10,   14,     ,     ,  16,
EP, 11, 2026082800, 03, FNV3,  48, 166N, 1193W,  87,  970, XX,  34, NEQ,  123,  101,   77,  104,     ,     ,  11,
EP, 11, 2026082800, 03, FNV3,  48, 166N, 1193W,  87,  970, XX,  50, NEQ,   49,   39,   29,   40,     ,     ,  11,
EP, 11, 2026082800, 03, FNV3,  48, 166N, 1193W,  87,  970, XX,  64, NEQ,   20,   16,   12,   16,     ,     ,  11,
EP, 11, 2026082800, 03, FNV3,  54, 171N, 1202W,  92,  966, XX,  34, NEQ,  123,  102,   80,  107,     ,     ,  15,
EP, 11, 2026082800, 03, FNV3,  54, 171N, 1202W,  92,  966, XX,  50, NEQ,   50,   40,   30,   41,     ,     ,  15,
EP, 11, 2026082800, 03, FNV3,  54, 171N, 1202W,  92,  966, XX,  64, NEQ,   22,   16,   13,   17,     ,     ,  15,
EP, 11, 2026082800, 03, FNV3,  60, 174N, 1212W,  97,  961, XX,  34, NEQ,  121,   97,   77,  107,     ,     ,  12,
EP, 11, 2026082800, 03, FNV3,  60, 174N, 1212W,  97,  961, XX,  50, NEQ,   53,   42,   32,   45,     ,     ,  12,
EP, 11, 2026082800, 03, FNV3,  60, 174N, 1212W,  97,  961, XX,  64, NEQ,   24,   19,   16,   20,     ,     ,  12,
EP, 11, 2026082800, 03, FNV3,  66, 176N, 1222W, 100,  959, XX,  34, NEQ,  124,  101,   85,  112,     ,     ,  15,
EP, 11, 2026082800, 03, FNV3,  66, 176N, 1222W, 100,  959, XX,  50, NEQ,   55,   45,   35,   48,     ,     ,  15,
EP, 11, 2026082800, 03, FNV3,  66, 176N, 1222W, 100,  959, XX,  64, NEQ,   27,   22,   18,   23,     ,     ,  15,
EP, 11, 2026082800, 03, FNV3,  72, 178N, 1230W, 106,  952, XX,  34, NEQ,  128,  105,   87,  116,     ,     ,  12,
EP, 11, 2026082800, 03, FNV3,  72, 178N, 1230W, 106,  952, XX,  50, NEQ,   58,   47,   37,   50,     ,     ,  12,
EP, 11, 2026082800, 03, FNV3,  72, 178N, 1230W, 106,  952, XX,  64, NEQ,   30,   25,   20,   26,     ,     ,  12,
EP, 11, 2026082800, 03, FNV3,  78, 178N, 1238W, 111,  948, XX,  34, NEQ,  127,  105,   93,  119,     ,     ,  14,
EP, 11, 2026082800, 03, FNV3,  78, 178N, 1238W, 111,  948, XX,  50, NEQ,   58,   48,   40,   53,     ,     ,  14,
EP, 11, 2026082800, 03, FNV3,  78, 178N, 1238W, 111,  948, XX,  64, NEQ,   32,   27,   23,   28,     ,     ,  14,
EP, 11, 2026082800, 03, FNV3,  84, 179N, 1247W, 115,  945, XX,  34, NEQ,  130,  104,   90,  122,     ,     ,  15,
EP, 11, 2026082800, 03, FNV3,  84, 179N, 1247W, 115,  945, XX,  50, NEQ,   64,   52,   43,   57,     ,     ,  15,
EP, 11, 2026082800, 03, FNV3,  84, 179N, 1247W, 115,  945, XX,  64, NEQ,   36,   31,   26,   32,     ,     ,  15,
EP, 11, 2026082800, 03, FNV3,  90, 180N, 1255W, 117,  943, XX,  34, NEQ,  130,  106,   97,  123,     ,     ,  16,
EP, 11, 2026082800, 03, FNV3,  90, 180N, 1255W, 117,  943, XX,  50, NEQ,   64,   53,   45,   58,     ,     ,  16,
EP, 11, 2026082800, 03, FNV3,  90, 180N, 1255W, 117,  943, XX,  64, NEQ,   37,   32,   27,   33,     ,     ,  16,
EP, 11, 2026082800, 03, FNV3,  96, 182N, 1263W, 117,  942, XX,  34, NEQ,  134,  110,   98,  125,     ,     ,  16,
EP, 11, 2026082800, 03, FNV3,  96, 182N, 1263W, 117,  942, XX,  50, NEQ,   70,   58,   49,   63,     ,     ,  16,
EP, 11, 2026082800, 03, FNV3,  96, 182N, 1263W, 117,  942, XX,  64, NEQ,   39,   34,   29,   35,     ,     ,  16,
EP, 11, 2026082800, 03, FNV3, 102, 184N, 1271W, 109,  948, XX,  34, NEQ,  129,  107,   98,  121,     ,     ,  17,
EP, 11, 2026082800, 03, FNV3, 102, 184N, 1271W, 109,  948, XX,  50, NEQ,   66,   56,   47,   60,     ,     ,  17,
EP, 11, 2026082800, 03, FNV3, 102, 184N, 1271W, 109,  948, XX,  64, NEQ,   38,   33,   28,   33,     ,     ,  17,
EP, 11, 2026082800, 03, FNV3, 108, 187N, 1279W, 105,  952, XX,  34, NEQ,  135,  112,   95,  122,     ,     ,  17,
