# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
AL, 04, 2026082812, 03, FNV3,   0, 148N,  458W,  35, 1008, XX,  34, NEQ,  100,     ,     ,   80,     ,     ,  50,
AL, 04, 2026082812, 03, FNV3,   6, 153N,  483W,  35, 1007, XX,  34, NEQ,   27,    6,    4,    6,     ,     ,  44,
AL, 04, 2026082812, 03, FNV3,  12, 158N,  506W,  38, 1007, XX,  34, NEQ,   53,   19,   11,   17,     ,     ,  51,
AL, 04, 2026082812, 03, FNV3,  18, 164N,  528W,  40, 1007, XX,  34, NEQ,   52,   18,   10,   17,     ,     ,  54,
AL, 04, 2026082812, 03, FNV3,  24, 168N,  549W,  42, 1007, XX,  34, NEQ,   69,   33,   21,   30,     ,     ,  56,
AL, 04, 2026082812, 03, FNV3,  30, 172N,  571W,  41, 1007, XX,  34, NEQ,   67,   35,   24,   34,     ,     ,  52,
AL, 04, 2026082812, 03, FNV3,  36, 174N,  593W,  41, 1007, XX,  34, NEQ,   52,   30,   19,   29,     ,     ,  48,
AL, 04, 2026082812, 03, FNV3,  36, 174N,  593W,  41, 1007, XX,  50, NEQ,    2,    0,    0,    0,     ,     ,  48,
AL, 04, 2026082812, 03, FNV3,  42, 175N,  613W,  37, 1008, XX,  34, NEQ,   43,   10,    5,    9,     ,     ,  57,
EP, 11, 2026082812, 03, FNV3,   0, 129N, 1147W,  45,  999, XX,  34, NEQ,  200,  200,     ,     ,     ,     ,  50,
EP, 11, 2026082812, 03, FNV3,   6, 134N, 1152W,  51,  995, XX,  34, NEQ,   94,   74,   47,   64,     ,     ,  43,
EP, 11, 2026082812, 03, FNV3,   6, 134N, 1152W,  51,  995, XX,  50, NEQ,   20,    6,    3,    5,     ,     ,  43,
EP, 11, 2026082812, 03, FNV3,  12, 141N, 1161W,  63,  988, XX,  34, NEQ,  106,   88,   60,   84,     ,     ,  24,
EP, 11, 2026082812, 03, FNV3,  12, 141N, 1161W,  63,  988, XX,  50, NEQ,   30,   19,   12,   17,     ,     ,  24,
EP, 11, 2026082812, 03, FNV3,  12, 141N, 1161W,  63,  988, XX,  64, NEQ,    6,    1,    1,    2,     ,     ,  24,
EP, 11, 2026082812, 03, FNV3,  18, 147N, 1169W,  67,  985, XX,  34, NEQ,  126,  103,   73,  102,     ,     ,  26,
EP, 11, 2026082812, 03, FNV3,  18, 147N, 1169W,  67,  985, XX,  50, NEQ,   44,   29,   20,   28,     ,     ,  26,
EP, 11, 2026082812, 03, FNV3,  18, 147N, 1169W,  67,  985, XX,  64, NEQ,   13,    6,    4,    6,     ,     ,  26,
EP, 11, 2026082812, 03, FNV3,  24, 153N, 1178W,  69,  983, XX,  34, NEQ,  121,   96,   68,   99,     ,     ,  22,
EP, 11, 2026082812, 03, FNV3,  24, 153N, 1178W,  69,  983, XX,  50, NEQ,   46,   31,   22,   32,     ,     ,  22,
EP, 11, 2026082812, 03, FNV3,  24, 153N, 1178W,  69,  983, XX,  64, NEQ,   14,    7,    5,    8,     ,     ,  22,
EP, 11, 2026082812, 03, FNV3,  30, 158N, 1186W,  68,  984, XX,  34, NEQ,  122,   99,   74,  102,     ,     ,  20,
EP, 11, 2026082812, 03, FNV3,  30, 158N, 1186W,  68,  984, XX,  50, NEQ,   44,   33,   23,   34,     ,     ,  20,
EP, 11, 2026082812, 03, FNV3,  30, 158N, 1186W,  68,  984, XX,  64, NEQ,   13,    8,    6,    9,     ,     ,  20,
EP, 11, 2026082812, 03, FNV3,  36, 163N, 1195W,  74,  979, XX,  34, NEQ,  119,   97,   73,  102,     ,     ,  17,
EP, 11, 2026082812, 03, FNV3,  36, 163N, 1195W,  74,  979, XX,  50, NEQ,   47,   35,   25,   36,     ,     ,  17,
EP, 11, 2026082812, 03, FNV3,  36, 163N, 1195W,  74,  979, XX,  64, NEQ,   16,   10,    7,   11,     ,     ,  17,
EP, 11, 2026082812, 03, FNV3,  42, 167N, 1204W,  80,  976, XX,  34, NEQ,  117,   96,   77,  102,     ,     ,  18,
EP, 11, 2026082812, 03, FNV3,  42, 167N, 1204W,  80,  976, XX,  50, NEQ,   48,   38,   28,   39,     ,     ,  18,
EP, 11, 2026082812, 03, FNV3,  42, 167N, 1204W,  80,  976, XX,  64, NEQ,   19,   13,   10,   14,     ,     ,  18,
EP, 11, 2026082812, 03, FNV3,  48, 169N, 1213W,  87,  970, XX,  34, NEQ,  113,   91,   73,  100,     ,     ,  14,
EP, 11, 2026082812, 03, FNV3,  48, 169N, 1213W,  87,  970, XX,  50, NEQ,   49,   38,   29,   40,     ,     ,  14,
EP, 11, 2026082812, 03, FNV3,  48, 169N, 1213W,  87,  970, XX,  64, NEQ,   22,   16,   12,   16,     ,     ,  14,
EP, 11, 2026082812, 03, FNV3,  54, 171N, 1221W,  89,  967, XX,  34, NEQ,  118,   97,   79,  106,     ,     ,  15,
EP, 11, 2026082812, 03, FNV3,  54, 171N, 1221W,  89,  967, XX,  50, NEQ,   53,   43,   34,   46,     ,     ,  15,
EP, 11, 2026082812, 03, FNV3,  54, 171N, 1221W,  89,  967, XX,  64, NEQ,   25,   21,   17,   21,     ,     ,  15,
EP, 11, 2026082812, 03, FNV3,  60, 173N, 1230W,  99,  959, XX,  34, NEQ,  118,   94,   80,  107,     ,     ,  13,
EP, 11, 2026082812, 03, FNV3,  60, 173N, 1230W,  99,  959, XX,  50, NEQ,   54,   43,   35,   47,     ,     ,  13,
EP, 11, 2026082812, 03, FNV3,  60, 173N, 1230W,  99,  959, XX,  64, NEQ,   28,   23,   19,   24,     ,     ,  13,
EP, 11, 2026082812, 03, FNV3,  66, 173N, 1239W, 103,  956, XX,  34, NEQ,  121,   99,   86,  111,     ,     ,  14,
EP, 11, 2026082812, 03, FNV3,  66, 173N, 1239W, 103,  956, XX,  50, NEQ,   55,   45,   37,   49,     ,     ,  14,
EP, 11, 2026082812, 03, FNV3,  66, 173N, 1239W, 103,  956, XX,  64, NEQ,   28,   24,   20,   25,     ,     ,  14,
EP, 11, 2026082812, 03, FNV3,  72, 174N, 1247W, 107,  952, XX,  34, NEQ,  120,   94,   81,  112,     ,     ,  14,
EP, 11, 2026082812, 03, FNV3,  72, 174N, 1247W, 107,  952, XX,  50, NEQ,   59,   47,   38,   52,     ,     ,  14,
EP, 11, 2026082812, 03, FNV3,  72, 174N, 1247W, 107,  952, XX,  64, NEQ,   31,   26,   21,   27,     ,     ,  14,
EP, 11, 2026082812, 03, FNV3,  78, 174N, 1257W, 113,  947, XX,  34, NEQ,  121,  100,   87,  113,     ,     ,  16,
EP, 11, 2026082812, 03, FNV3,  78, 174N, 1257W, 113,  947, XX,  50, NEQ,   58,   47,   39,   52,     ,     ,  16,
EP, 11, 2026082812, 03, FNV3,  78, 174N, 1257W, 113,  947, XX,  64, NEQ,   34,   28,   24,   29,     ,     ,  16,
EP, 11, 2026082812, 03, FNV3,  84, 176N, 1267W, 116,  944, XX,  34, NEQ,  130,  104,   93,  121,     ,     ,  14,
EP, 11, 2026082812, 03, FNV3,  84, 176N, 1267W, 116,  944, XX,  50, NEQ,   65,   52,   43,   57,     ,     ,  14,
EP, 11, 2026082812, 03, FNV3,  84, 176N, 1267W, 116,  944, XX,  64, NEQ,   37,   31,   26,   32,     ,     ,  14,
EP, 11, 2026082812, 03, FNV3,  90, 178N, 1276W, 110,  949, XX,  34, NEQ,  125,  103,   94,  117,     ,     ,  18,
EP, 11, 2026082812, 03, FNV3,  90, 178N, 1276W, 110,  949, XX,  50, NEQ,   63,   52,   44,   57,     ,     ,  18,
EP, 11, 2026082812, 03, FNV3,  90, 178N, 1276W, 110,  949, XX,  64, NEQ,   36,   31,   26,   32,     ,     ,  18,
EP, 11, 2026082812, 03, FNV3,  96, 180N, 1285W, 107,  951, XX,  34, NEQ,  129,  104,   89,  118,     ,     ,  15,
EP, 11, 2026082812, 03, FNV3,  96, 180N, 1285W, 107,  951, XX,  50, NEQ,   66,   54,   44,   58,     ,     ,  15,
EP, 11, 2026082812, 03, FNV3,  96, 180N, 1285W, 107,  951, XX,  64, NEQ,   36,   31,   26,   32,     ,     ,  15,
EP, 11, 2026082812, 03, FNV3, 102, 182N, 1295W, 100,  957, XX,  34, NEQ,  132,  108,   92,  121,     ,     ,  18,
EP, 11, 2026082812, 03, FNV3, 102, 182N, 1295W, 100,  957, XX,  50, NEQ,   67,   56,   46,   60,     ,     ,  18,
EP, 11, 2026082812, 03, FNV3, 102, 182N, 1295W, 100,  957, XX,  64, NEQ,   38,   33,   28,   34,     ,     ,  18,
EP, 11, 2026082812, 03, FNV3, 108, 185N, 1303W, 102,  956, XX,  34, NEQ,  133,  111,   94,  119,     ,     ,  17,
EP, 11, 2026082812, 03, FNV3, 108, 185N, 1303W, 102,  956, XX,  50, NEQ,   67,   55,   45,   58,     ,     ,  17,
EP, 11, 2026082812, 03, FNV3, 108, 185N, 1303W, 102,  956, XX,  64, NEQ,   36,   31,   26,   31,     ,     ,  17,
EP, 11, 2026082812, 03, FNV3, 114, 189N, 1311W,  97,  959, XX,  34, NEQ,  136,  115,   96,  122,     ,     ,  22,
EP, 11, 2026082812, 03, FNV3, 114, 189N, 1311W,  97,  959, XX,  50, NEQ,   67,   56,   45,   59,     ,     ,  22,
EP, 11, 2026082812, 03, FNV3, 114, 189N, 1311W,  97,  959, XX,  64, NEQ,   36,   31,   25,   31,     ,     ,  22,
EP, 11, 2026082812, 03, FNV3, 120, 192N, 1318W,  93,  963, XX,  34, NEQ,  133,  112,   91,  116,     ,     ,  20,
