# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
AL, 04, 2026082900, 03, FNV3,   0, 160N,  510W,  35, 1008, XX,  34, NEQ,   80,     ,     ,   80,     ,     ,  70,
AL, 04, 2026082900, 03, FNV3,   6, 164N,  533W,  41, 1007, XX,  34, NEQ,   53,   21,   14,   20,     ,     ,  45,
AL, 04, 2026082900, 03, FNV3,   6, 164N,  533W,  41, 1007, XX,  50, NEQ,    1,    0,    0,    0,     ,     ,  45,
AL, 04, 2026082900, 03, FNV3,  12, 169N,  557W,  42, 1007, XX,  34, NEQ,   58,   23,   13,   20,     ,     ,  53,
AL, 04, 2026082900, 03, FNV3,  12, 169N,  557W,  42, 1007, XX,  50, NEQ,    1,    0,    0,    0,     ,     ,  53,
AL, 04, 2026082900, 03, FNV3,  18, 174N,  577W,  41, 1007, XX,  34, NEQ,   58,   20,   13,   20,     ,     ,  50,
AL, 04, 2026082900, 03, FNV3,  18, 174N,  577W,  41, 1007, XX,  50, NEQ,    1,    0,    0,    0,     ,     ,  50,
AL, 04, 2026082900, 03, FNV3,  24, 177N,  601W,  41, 1007, XX,  34, NEQ,   69,   41,   26,   39,     ,     ,  55,
AL, 04, 2026082900, 03, FNV3,  24, 177N,  601W,  41, 1007, XX,  50, NEQ,    3,    1,    1,    1,     ,     ,  55,
AL, 04, 2026082900, 03, FNV3,  30, 178N,  620W,  38, 1008, XX,  34, NEQ,   58,   29,   20,   27,     ,     ,  56,
EP, 11, 2026082900, 03, FNV3,   0, 139N, 1159W,  54,  988, XX,  34, NEQ,  180,  200,     ,  120,     ,     ,  40,
EP, 11, 2026082900, 03, FNV3,   0, 139N, 1159W,  54,  988, XX,  50, NEQ,   40,     ,     ,     ,     ,     ,  40,
EP, 11, 2026082900, 03, FNV3,   6, 149N, 1166W,  66,  985, XX,  34, NEQ,  118,   97,   69,   96,     ,     ,  22,
EP, 11, 2026082900, 03, FNV3,   6, 149N, 1166W,  66,  985, XX,  50, NEQ,   41,   28,   21,   28,     ,     ,  22,
EP, 11, 2026082900, 03, FNV3,   6, 149N, 1166W,  66,  985, XX,  64, NEQ,   10,    4,    3,    5,     ,     ,  22,
EP, 11, 2026082900, 03, FNV3,  12, 154N, 1178W,  66,  985, XX,  34, NEQ,  117,   92,   64,   96,     ,     ,  20,
EP, 11, 2026082900, 03, FNV3,  12, 154N, 1178W,  66,  985, XX,  50, NEQ,   42,   30,   21,   29,     ,     ,  20,
EP, 11, 2026082900, 03, FNV3,  12, 154N, 1178W,  66,  985, XX,  64, NEQ,   11,    4,    3,    4,     ,     ,  20,
EP, 11, 2026082900, 03, FNV3,  18, 158N, 1188W,  70,  983, XX,  34, NEQ,  117,   93,   70,   99,     ,     ,  17,
EP, 11, 2026082900, 03, FNV3,  18, 158N, 1188W,  70,  983, XX,  50, NEQ,   42,   30,   21,   31,     ,     ,  17,
EP, 11, 2026082900, 03, FNV3,  18, 158N, 1188W,  70,  983, XX,  64, NEQ,   12,    6,    4,    6,     ,     ,  17,
EP, 11, 2026082900, 03, FNV3,  24, 162N, 1197W,  75,  979, XX,  34, NEQ,  115,   95,   74,  100,     ,     ,  12,
EP, 11, 2026082900, 03, FNV3,  24, 162N, 1197W,  75,  979, XX,  50, NEQ,   43,   32,   23,   33,     ,     ,  12,
EP, 11, 2026082900, 03, FNV3,  24, 162N, 1197W,  75,  979, XX,  64, NEQ,   14,    8,    6,    8,     ,     ,  12,
EP, 11, 2026082900, 03, FNV3,  30, 165N, 1206W,  80,  975, XX,  34, NEQ,  120,   98,   79,  105,     ,     ,  14,
EP, 11, 2026082900, 03, FNV3,  30, 165N, 1206W,  80,  975, XX,  50, NEQ,   48,   38,   29,   40,     ,     ,  14,
EP, 11, 2026082900, 03, FNV3,  30, 165N, 1206W,  80,  975, XX,  64, NEQ,   17,   12,    9,   12,     ,     ,  14,
EP, 11, 2026082900, 03, FNV3,  36, 168N, 1215W,  90,  967, XX,  34, NEQ,  109,   88,   72,   97,     ,     ,  11,
EP, 11, 2026082900, 03, FNV3,  36, 168N, 1215W,  90,  967, XX,  50, NEQ,   47,   37,   28,   40,     ,     ,  11,
EP, 11, 2026082900, 03, FNV3,  36, 168N, 1215W,  90,  967, XX,  64, NEQ,   21,   17,   13,   18,     ,     ,  11,
EP, 11, 2026082900, 03, FNV3,  42, 169N, 1224W,  97,  961, XX,  34, NEQ,  115,   94,   79,  105,     ,     ,  12,
EP, 11, 2026082900, 03, FNV3,  42, 169N, 1224W,  97,  961, XX,  50, NEQ,   50,   40,   32,   43,     ,     ,  12,
EP, 11, 2026082900, 03, FNV3,  42, 169N, 1224W,  97,  961, XX,  64, NEQ,   24,   19,   16,   20,     ,     ,  12,
EP, 11, 2026082900, 03, FNV3,  48, 170N, 1234W, 107,  953, XX,  34, NEQ,  122,   97,   83,  111,     ,     ,  11,
EP, 11, 2026082900, 03, FNV3,  48, 170N, 1234W, 107,  953, XX,  50, NEQ,   55,   44,   36,   48,     ,     ,  11,
EP, 11, 2026082900, 03, FNV3,  48, 170N, 1234W, 107,  953, XX,  64, NEQ,   28,   24,   19,   24,     ,     ,  11,
