# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
AL, 05, 2026090112, 03, FNV3,   0, 293N,  930W,  35, 1003, XX,  34, NEQ,   20,   20,     ,   20,     ,     ,   5,
AL, 05, 2026090112, 03, FNV3,   6, 297N,  936W,  37, 1005, XX,  34, NEQ,   17,    9,    2,    8,     ,     ,  34,
AL, 05, 2026090112, 03, FNV3,  12, 302N,  944W,  32, 1007, XX,  34, NEQ,    9,    3,    2,    3,     ,     ,  33,
AL, 05, 2026090112, 03, FNV3,  18, 306N,  949W,  29, 1008, XX,  34, NEQ,    5,    2,    1,    2,     ,     ,  39,
AL, 05, 2026090112, 03, FNV3,  24, 312N,  952W,  28, 1008, XX,  34, NEQ,    3,    4,    1,    2,     ,     ,  40,
AL, 05, 2026090112, 03, FNV3,  30, 317N,  954W,  27, 1008, XX,  34, NEQ,    1,    2,    1,    1,     ,     ,  34,
AL, 05, 2026090112, 03, FNV3,  36, 319N,  957W,  20, 1010, XX,  34, NEQ,    0,    0,    0,    0,     ,     ,  47,
EP, 11, 2026090112, 03, FNV3,   0, 180N, 1285W, 121,  945, XX,  34, NEQ,  100,   80,   90,  100,     ,     ,  15,
EP, 11, 2026090112, 03, FNV3,   0, 180N, 1285W, 121,  945, XX,  50, NEQ,   50,   40,   40,   50,     ,     ,  15,
EP, 11, 2026090112, 03, FNV3,   0, 180N, 1285W, 121,  945, XX,  64, NEQ,   25,   20,   30,   25,     ,     ,  15,
EP, 11, 2026090112, 03, FNV3,   6, 181N, 1295W, 104,  956, XX,  34, NEQ,  108,   87,   74,  103,     ,     ,  18,
EP, 11, 2026090112, 03, FNV3,   6, 181N, 1295W, 104,  956, XX,  50, NEQ,   56,   44,   36,   50,     ,     ,  18,
EP, 11, 2026090112, 03, FNV3,   6, 181N, 1295W, 104,  956, XX,  64, NEQ,   32,   27,   22,   28,     ,     ,  18,
EP, 11, 2026090112, 03, FNV3,  12, 182N, 1305W, 105,  953, XX,  34, NEQ,  118,   95,   82,  109,     ,     ,  18,
EP, 11, 2026090112, 03, FNV3,  12, 182N, 1305W, 105,  953, XX,  50, NEQ,   60,   48,   40,   53,     ,     ,  18,
EP, 11, 2026090112, 03, FNV3,  12, 182N, 1305W, 105,  953, XX,  64, NEQ,   34,   29,   24,   30,     ,     ,  18,
EP, 11, 2026090112, 03, FNV3,  18, 185N, 1314W, 101,  957, XX,  34, NEQ,  124,   99,   86,  115,     ,     ,  21,
EP, 11, 2026090112, 03, FNV3,  18, 185N, 1314W, 101,  957, XX,  50, NEQ,   64,   52,   43,   58,     ,     ,  21,
EP, 11, 2026090112, 03, FNV3,  18, 185N, 1314W, 101,  957, XX,  64, NEQ,   37,   31,   26,   32,     ,     ,  21,
EP, 11, 2026090112, 03, FNV3,  24, 187N, 1324W,  97,  961, XX,  34, NEQ,  119,   93,   78,  109,     ,     ,  17,
EP, 11, 2026090112, 03, FNV3,  24, 187N, 1324W,  97,  961, XX,  50, NEQ,   62,   50,   40,   54,     ,     ,  17,
EP, 11, 2026090112, 03, FNV3,  24, 187N, 1324W,  97,  961, XX,  64, NEQ,   34,   29,   24,   29,     ,     ,  17,
EP, 11, 2026090112, 03, FNV3,  30, 189N, 1334W,  92,  965, XX,  34, NEQ,  120,   96,   80,  109,     ,     ,  18,
EP, 11, 2026090112, 03, FNV3,  30, 189N, 1334W,  92,  965, XX,  50, NEQ,   59,   47,   38,   52,     ,     ,  18,
EP, 11, 2026090112, 03, FNV3,  30, 189N, 1334W,  92,  965, XX,  64, NEQ,   32,   27,   22,   27,     ,     ,  18,
EP, 11, 2026090112, 03, FNV3,  36, 192N, 1344W,  94,  962, XX,  34, NEQ,  118,   95,   78,  106,     ,     ,  15,
EP, 11, 2026090112, 03, FNV3,  36, 192N, 1344W,  94,  962, XX,  50, NEQ,   58,   46,   36,   50,     ,     ,  15,
EP, 11, 2026090112, 03, FNV3,  36, 192N, 1344W,  94,  962, XX,  64, NEQ,   32,   27,   22,   27,     ,     ,  15,
EP, 11, 2026090112, 03, FNV3,  42, 194N, 1353W,  88,  968, XX,  34, NEQ,  124,  102,   85,  112,     ,     ,  19,
EP, 11, 2026090112, 03, FNV3,  42, 194N, 1353W,  88,  968, XX,  50, NEQ,   62,   51,   41,   54,     ,     ,  19,
EP, 11, 2026090112, 03, FNV3,  42, 194N, 1353W,  88,  968, XX,  64, NEQ,   32,   27,   22,   28,     ,     ,  19,
EP, 11, 2026090112, 03, FNV3,  48, 196N, 1362W,  87,  969, XX,  34, NEQ,  123,   98,   78,  110,     ,     ,  19,
EP, 11, 2026090112, 03, FNV3,  48, 196N, 1362W,  87,  969, XX,  50, NEQ,   62,   50,   39,   53,     ,     ,  19,
EP, 11, 2026090112, 03, FNV3,  48, 196N, 1362W,  87,  969, XX,  64, NEQ,   33,   27,   22,   28,     ,     ,  19,
EP, 11, 2026090112, 03, FNV3,  54, 198N, 1371W,  86,  970, XX,  34, NEQ,  124,  101,   81,  108,     ,     ,  22,
EP, 11, 2026090112, 03, FNV3,  54, 198N, 1371W,  86,  970, XX,  50, NEQ,   61,   50,   40,   53,     ,     ,  22,
EP, 11, 2026090112, 03, FNV3,  54, 198N, 1371W,  86,  970, XX,  64, NEQ,   33,   27,   22,   27,     ,     ,  22,
EP, 11, 2026090112, 03, FNV3,  60, 201N, 1380W,  89,  967, XX,  34, NEQ,  131,  106,   83,  113,     ,     ,  18,
EP, 11, 2026090112, 03, FNV3,  60, 201N, 1380W,  89,  967, XX,  50, NEQ,   64,   52,   41,   54,     ,     ,  18,
EP, 11, 2026090112, 03, FNV3,  60, 201N, 1380W,  89,  967, XX,  64, NEQ,   34,   28,   23,   28,     ,     ,  18,
EP, 11, 2026090112, 03, FNV3,  66, 202N, 1389W,  80,  973, XX,  34, NEQ,  133,  109,   90,  118,     ,     ,  25,
EP, 11, 2026090112, 03, FNV3,  66, 202N, 1389W,  80,  973, XX,  50, NEQ,   62,   52,   42,   54,     ,     ,  25,
EP, 11, 2026090112, 03, FNV3,  66, 202N, 1389W,  80,  973, XX,  64, NEQ,   32,   26,   21,   26,     ,     ,  25,
EP, 11, 2026090112, 03, FNV3,  72, 204N, 1398W,  75,  976, XX,  34, NEQ,  127,  103,   85,  113,     ,     ,  23,
EP, 11, 2026090112, 03, FNV3,  72, 204N, 1398W,  75,  976, XX,  50, NEQ,   60,   50,   39,   51,     ,     ,  23,
EP, 11, 2026090112, 03, FNV3,  72, 204N, 1398W,  75,  976, XX,  64, NEQ,   27,   21,   17,   21,     ,     ,  23,
EP, 11, 2026090112, 03, FNV3,  78, 206N, 1407W,  67,  982, XX,  34, NEQ,  128,  107,   87,  112,     ,     ,  26,
EP, 11, 2026090112, 03, FNV3,  78, 206N, 1407W,  67,  982, XX,  50, NEQ,   51,   42,   31,   42,     ,     ,  26,
EP, 11, 2026090112, 03, FNV3,  78, 206N, 1407W,  67,  982, XX,  64, NEQ,   19,   12,   10,   12,     ,     ,  26,
EP, 11, 2026090112, 03, FNV3,  84, 209N, 1415W,  67,  982, XX,  34, NEQ,  139,  114,   90,  119,     ,     ,  23,
EP, 11, 2026090112, 03, FNV3,  84, 209N, 1415W,  67,  982, XX,  50, NEQ,   58,   47,   35,   46,     ,     ,  23,
