# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
AL, 05, 2026090200, 03, FNV3,   0, 302N,  942W,  41, 1000, XX,  34, NEQ,   20,   20,   20,   20,     ,     ,   5,
AL, 05, 2026090200, 03, FNV3,   6, 305N,  947W,  33, 1006, XX,  34, NEQ,   11,    6,    2,    4,     ,     ,  33,
AL, 05, 2026090200, 03, FNV3,  12, 311N,  951W,  31, 1007, XX,  34, NEQ,    8,    7,    1,    4,     ,     ,  35,
AL, 05, 2026090200, 03, FNV3,  12, 311N,  951W,  31, 1007, XX,  50, NEQ,    1,    1,    0,    1,     ,     ,  35,
AL, 05, 2026090200, 03, FNV3,  18, 315N,  953W,  26, 1008, XX,  34, NEQ,    1,    0,    0,    0,     ,     ,  35,
AL, 05, 2026090200, 03, FNV3,  24, 318N,  957W,  22, 1007, XX,  34, NEQ,    0,    0,    0,    0,     ,     ,  45,
AL, 05, 2026090200, 03, FNV3,  30, 322N,  959W,  24, 1007, XX,  34, NEQ,    0,    0,    0,    0,     ,     ,  45,
EP, 11, 2026090200, 03, FNV3,   0, 182N, 1303W, 121,  946, XX,  34, NEQ,  100,   80,  100,  110,     ,     ,  15,
EP, 11, 2026090200, 03, FNV3,   0, 182N, 1303W, 121,  946, XX,  50, NEQ,   50,   40,   50,   50,     ,     ,  15,
EP, 11, 2026090200, 03, FNV3,   0, 182N, 1303W, 121,  946, XX,  64, NEQ,   30,   30,   30,   30,     ,     ,  15,
EP, 11, 2026090200, 03, FNV3,   6, 184N, 1314W, 109,  951, XX,  34, NEQ,  116,   96,   82,  111,     ,     ,  18,
EP, 11, 2026090200, 03, FNV3,   6, 184N, 1314W, 109,  951, XX,  50, NEQ,   59,   49,   41,   54,     ,     ,  18,
EP, 11, 2026090200, 03, FNV3,   6, 184N, 1314W, 109,  951, XX,  64, NEQ,   35,   30,   25,   31,     ,     ,  18,
EP, 11, 2026090200, 03, FNV3,  12, 187N, 1323W, 101,  956, XX,  34, NEQ,  117,   92,   74,  106,     ,     ,  16,
EP, 11, 2026090200, 03, FNV3,  12, 187N, 1323W, 101,  956, XX,  50, NEQ,   59,   47,   37,   52,     ,     ,  16,
EP, 11, 2026090200, 03, FNV3,  12, 187N, 1323W, 101,  956, XX,  64, NEQ,   33,   28,   23,   29,     ,     ,  16,
EP, 11, 2026090200, 03, FNV3,  18, 189N, 1333W, 100,  958, XX,  34, NEQ,  116,   93,   75,  107,     ,     ,  17,
EP, 11, 2026090200, 03, FNV3,  18, 189N, 1333W, 100,  958, XX,  50, NEQ,   58,   46,   37,   51,     ,     ,  17,
EP, 11, 2026090200, 03, FNV3,  18, 189N, 1333W, 100,  958, XX,  64, NEQ,   32,   26,   21,   27,     ,     ,  17,
EP, 11, 2026090200, 03, FNV3,  24, 192N, 1344W,  98,  959, XX,  34, NEQ,  117,   95,   77,  104,     ,     ,  14,
EP, 11, 2026090200, 03, FNV3,  24, 192N, 1344W,  98,  959, XX,  50, NEQ,   56,   45,   35,   48,     ,     ,  14,
EP, 11, 2026090200, 03, FNV3,  24, 192N, 1344W,  98,  959, XX,  64, NEQ,   30,   25,   20,   26,     ,     ,  14,
EP, 11, 2026090200, 03, FNV3,  30, 195N, 1353W,  91,  966, XX,  34, NEQ,  123,  101,   82,  110,     ,     ,  18,
EP, 11, 2026090200, 03, FNV3,  30, 195N, 1353W,  91,  966, XX,  50, NEQ,   59,   48,   38,   51,     ,     ,  18,
EP, 11, 2026090200, 03, FNV3,  30, 195N, 1353W,  91,  966, XX,  64, NEQ,   30,   25,   20,   25,     ,     ,  18,
EP, 11, 2026090200, 03, FNV3,  36, 197N, 1362W,  91,  967, XX,  34, NEQ,  125,  100,   80,  110,     ,     ,  18,
EP, 11, 2026090200, 03, FNV3,  36, 197N, 1362W,  91,  967, XX,  50, NEQ,   58,   46,   35,   49,     ,     ,  18,
EP, 11, 2026090200, 03, FNV3,  36, 197N, 1362W,  91,  967, XX,  64, NEQ,   30,   24,   19,   24,     ,     ,  18,
EP, 11, 2026090200, 03, FNV3,  42, 199N, 1372W,  87,  970, XX,  34, NEQ,  126,  103,   83,  111,     ,     ,  21,
EP, 11, 2026090200, 03, FNV3,  42, 199N, 1372W,  87,  970, XX,  50, NEQ,   59,   48,   38,   52,     ,     ,  21,
EP, 11, 2026090200, 03, FNV3,  42, 199N, 1372W,  87,  970, XX,  64, NEQ,   30,   25,   21,   25,     ,     ,  21,
EP, 11, 2026090200, 03, FNV3,  48, 201N, 1381W,  88,  968, XX,  34, NEQ,  126,  104,   82,  111,     ,     ,  21,
EP, 11, 2026090200, 03, FNV3,  48, 201N, 1381W,  88,  968, XX,  50, NEQ,   61,   49,   38,   52,     ,     ,  21,
EP, 11, 2026090200, 03, FNV3,  48, 201N, 1381W,  88,  968, XX,  64, NEQ,   32,   26,   21,   26,     ,     ,  21,
EP, 11, 2026090200, 03, FNV3,  54, 203N, 1390W,  81,  972, XX,  34, NEQ,  130,  106,   88,  117,     ,     ,  23,
EP, 11, 2026090200, 03, FNV3,  54, 203N, 1390W,  81,  972, XX,  50, NEQ,   63,   52,   41,   54,     ,     ,  23,
EP, 11, 2026090200, 03, FNV3,  54, 203N, 1390W,  81,  972, XX,  64, NEQ,   32,   25,   20,   25,     ,     ,  23,
EP, 11, 2026090200, 03, FNV3,  60, 206N, 1399W,  76,  976, XX,  34, NEQ,  126,  102,   84,  112,     ,     ,  23,
EP, 11, 2026090200, 03, FNV3,  60, 206N, 1399W,  76,  976, XX,  50, NEQ,   59,   48,   37,   50,     ,     ,  23,
EP, 11, 2026090200, 03, FNV3,  60, 206N, 1399W,  76,  976, XX,  64, NEQ,   26,   20,   16,   20,     ,     ,  23,
EP, 11, 2026090200, 03, FNV3,  66, 208N, 1408W,  67,  982, XX,  34, NEQ,  119,   99,   78,  103,     ,     ,  22,
EP, 11, 2026090200, 03, FNV3,  66, 208N, 1408W,  67,  982, XX,  50, NEQ,   47,   36,   27,   38,     ,     ,  22,
EP, 11, 2026090200, 03, FNV3,  66, 208N, 1408W,  67,  982, XX,  64, NEQ,   17,   11,    9,   12,     ,     ,  22,
EP, 11, 2026090200, 03, FNV3,  72, 211N, 1417W,  68,  982, XX,  34, NEQ,  132,  110,   86,  113,     ,     ,  22,
EP, 11, 2026090200, 03, FNV3,  72, 211N, 1417W,  68,  982, XX,  50, NEQ,   48,   38,   27,   39,     ,     ,  22,
EP, 11, 2026090200, 03, FNV3,  72, 211N, 1417W,  68,  982, XX,  64, NEQ,   16,   10,    8,   11,     ,     ,  22,
EP, 11, 2026090200, 03, FNV3,  78, 214N, 1424W,  63,  984, XX,  34, NEQ,  117,   98,   78,  100,     ,     ,  24,
EP, 11, 2026090200, 03, FNV3,  78, 214N, 1424W,  63,  984, XX,  50, NEQ,   41,   33,   23,   33,     ,     ,  24,
EP, 11, 2026090200, 03, FNV3,  78, 214N, 1424W,  63,  984, XX,  64, NEQ,   11,    7,    6,    7,     ,     ,  24,
EP, 11, 2026090200, 03, FNV3,  84, 218N, 1430W,  60,  987, XX,  34, NEQ,  124,  105,   83,  106,     ,     ,  27,
EP, 11, 2026090200, 03, FNV3,  84, 218N, 1430W,  60,  987, XX,  50, NEQ,   41,   32,   23,   31,     ,     ,  27,
EP, 11, 2026090200, 03, FNV3,  84, 218N, 1430W,  60,  987, XX,  64, NEQ,    7,    6,    4,    5,     ,     ,  27,
EP, 11, 2026090200, 03, FNV3,  90, 222N, 1436W,  55,  990, XX,  34, NEQ,  110,   93,   72,   91,     ,     ,  32,
EP, 11, 2026090200, 03, FNV3,  90, 222N, 1436W,  55,  990, XX,  50, NEQ,   30,   22,   15,   20,     ,     ,  32,
EP, 11, 2026090200, 03, FNV3,  90, 222N, 1436W,  55,  990, XX,  64, NEQ,    2,    1,    1,    1,     ,     ,  32,
EP, 11, 2026090200, 03, FNV3,  96, 227N, 1441W,  52,  992, XX,  34, NEQ,  115,  101,   76,   93,     ,     ,  37,
EP, 11, 2026090200, 03, FNV3,  96, 227N, 1441W,  52,  992, XX,  50, NEQ,   21,   17,   10,   13,     ,     ,  37,
EP, 11, 2026090200, 03, FNV3,  96, 227N, 1441W,  52,  992, XX,  64, NEQ,    1,    1,    1,    1,     ,     ,  37,
EP, 11, 2026090200, 03, FNV3, 102, 232N, 1444W,  51,  992, XX,  34, NEQ,   98,   87,   65,   78,     ,     ,  42,
EP, 11, 2026090200, 03, FNV3, 102, 232N, 1444W,  51,  992, XX,  50, NEQ,   18,   11,    8,   14,     ,     ,  42,
EP, 11, 2026090200, 03, FNV3, 108, 238N, 1448W,  47,  994, XX,  34, NEQ,  100,   81,   60,   74,     ,     ,  48,
EP, 11, 2026090200, 03, FNV3, 108, 238N, 1448W,  47,  994, XX,  50, NEQ,   13,    5,    3,    4,     ,     ,  48,
EP, 11, 2026090200, 03, FNV3, 114, 244N, 1453W,  44,  996, XX,  34, NEQ,   91,   69,   53,   64,     ,     ,  50,
EP, 11, 2026090200, 03, FNV3, 114, 244N, 1453W,  44,  996, XX,  50, NEQ,    5,    3,    3,    2,     ,     ,  50,
EP, 11, 2026090200, 03, FNV3, 120, 249N, 1460W,  40,  998, XX,  34, NEQ,   65,   40,   30,   42,     ,     ,  54,
EP, 11, 2026090200, 03, FNV3, 120, 249N, 1460W,  40,  998, XX,  50, NEQ,    1,    0,    0,    0,     ,     ,  54,
EP, 11, 2026090200, 03, FNV3, 126, 254N, 1471W,  39, 1000, XX,  34, NEQ,   63,   37,   29,   39,     ,     ,  62,
