# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
AL, 05, 2026090218, 03, FNV3,   0, 314N,  951W,  19, 1011, XX,  34, NEQ,    0,    0,    0,    0,     ,     ,  25,
AL, 05, 2026090218, 03, FNV3,   6, 317N,  956W,  22, 1009, XX,  34, NEQ,    0,    1,    0,    0,     ,     ,  45,
AL, 05, 2026090218, 03, FNV3,  12, 322N,  960W,  22, 1009, XX,  34, NEQ,    0,    0,    0,    0,     ,     ,  42,
EP, 11, 2026090218, 03, FNV3,   0, 188N, 1333W, 121,  943, XX,  34, NEQ,  100,   80,  100,  110,     ,     ,  15,
EP, 11, 2026090218, 03, FNV3,   0, 188N, 1333W, 121,  943, XX,  50, NEQ,   60,   50,   50,   60,     ,     ,  15,
EP, 11, 2026090218, 03, FNV3,   0, 188N, 1333W, 121,  943, XX,  64, NEQ,   30,   30,   30,   30,     ,     ,  15,
EP, 11, 2026090218, 03, FNV3,   6, 191N, 1342W, 102,  957, XX,  34, NEQ,  113,   94,   77,  103,     ,     ,  13,
EP, 11, 2026090218, 03, FNV3,   6, 191N, 1342W, 102,  957, XX,  50, NEQ,   49,   38,   29,   42,     ,     ,  13,
EP, 11, 2026090218, 03, FNV3,   6, 191N, 1342W, 102,  957, XX,  64, NEQ,   27,   21,   17,   23,     ,     ,  13,
EP, 11, 2026090218, 03, FNV3,  12, 194N, 1352W,  98,  961, XX,  34, NEQ,  123,   99,   80,  110,     ,     ,  19,
EP, 11, 2026090218, 03, FNV3,  12, 194N, 1352W,  98,  961, XX,  50, NEQ,   57,   46,   36,   50,     ,     ,  19,
EP, 11, 2026090218, 03, FNV3,  12, 194N, 1352W,  98,  961, XX,  64, NEQ,   31,   25,   20,   26,     ,     ,  19,
EP, 11, 2026090218, 03, FNV3,  18, 196N, 1361W,  92,  966, XX,  34, NEQ,  129,  102,   82,  114,     ,     ,  20,
EP, 11, 2026090218, 03, FNV3,  18, 196N, 1361W,  92,  966, XX,  50, NEQ,   63,   51,   39,   54,     ,     ,  20,
EP, 11, 2026090218, 03, FNV3,  18, 196N, 1361W,  92,  966, XX,  64, NEQ,   34,   28,   22,   28,     ,     ,  20,
EP, 11, 2026090218, 03, FNV3,  24, 198N, 1370W,  89,  968, XX,  34, NEQ,  127,  105,   84,  113,     ,     ,  21,
EP, 11, 2026090218, 03, FNV3,  24, 198N, 1370W,  89,  968, XX,  50, NEQ,   60,   50,   39,   52,     ,     ,  21,
EP, 11, 2026090218, 03, FNV3,  24, 198N, 1370W,  89,  968, XX,  64, NEQ,   32,   27,   22,   27,     ,     ,  21,
EP, 11, 2026090218, 03, FNV3,  30, 201N, 1379W,  89,  967, XX,  34, NEQ,  130,  106,   84,  115,     ,     ,  20,
EP, 11, 2026090218, 03, FNV3,  30, 201N, 1379W,  89,  967, XX,  50, NEQ,   65,   54,   42,   56,     ,     ,  20,
EP, 11, 2026090218, 03, FNV3,  30, 201N, 1379W,  89,  967, XX,  64, NEQ,   35,   30,   24,   30,     ,     ,  20,
EP, 11, 2026090218, 03, FNV3,  36, 203N, 1387W,  79,  974, XX,  34, NEQ,  129,  107,   90,  117,     ,     ,  23,
EP, 11, 2026090218, 03, FNV3,  36, 203N, 1387W,  79,  974, XX,  50, NEQ,   63,   53,   42,   55,     ,     ,  23,
EP, 11, 2026090218, 03, FNV3,  36, 203N, 1387W,  79,  974, XX,  64, NEQ,   33,   27,   22,   27,     ,     ,  23,
EP, 11, 2026090218, 03, FNV3,  42, 205N, 1396W,  74,  977, XX,  34, NEQ,  130,  106,   87,  115,     ,     ,  23,
EP, 11, 2026090218, 03, FNV3,  42, 205N, 1396W,  74,  977, XX,  50, NEQ,   63,   51,   40,   52,     ,     ,  23,
EP, 11, 2026090218, 03, FNV3,  42, 205N, 1396W,  74,  977, XX,  64, NEQ,   28,   22,   18,   22,     ,     ,  23,
EP, 11, 2026090218, 03, FNV3,  48, 207N, 1404W,  68,  981, XX,  34, NEQ,  126,  105,   85,  111,     ,     ,  23,
EP, 11, 2026090218, 03, FNV3,  48, 207N, 1404W,  68,  981, XX,  50, NEQ,   54,   45,   34,   45,     ,     ,  23,
EP, 11, 2026090218, 03, FNV3,  48, 207N, 1404W,  68,  981, XX,  64, NEQ,   20,   15,   12,   15,     ,     ,  23,
EP, 11, 2026090218, 03, FNV3,  54, 210N, 1411W,  66,  983, XX,  34, NEQ,  127,  106,   85,  110,     ,     ,  23,
EP, 11, 2026090218, 03, FNV3,  54, 210N, 1411W,  66,  983, XX,  50, NEQ,   50,   41,   31,   41,     ,     ,  23,
EP, 11, 2026090218, 03, FNV3,  54, 210N, 1411W,  66,  983, XX,  64, NEQ,   17,   12,   10,   12,     ,     ,  23,
EP, 11, 2026090218, 03, FNV3,  60, 213N, 1418W,  63,  985, XX,  34, NEQ,  121,  103,   83,  105,     ,     ,  26,
EP, 11, 2026090218, 03, FNV3,  60, 213N, 1418W,  63,  985, XX,  50, NEQ,   48,   38,   29,   39,     ,     ,  26,
EP, 11, 2026090218, 03, FNV3,  60, 213N, 1418W,  63,  985, XX,  64, NEQ,   14,   10,    8,   10,     ,     ,  26,
EP, 11, 2026090218, 03, FNV3,  66, 217N, 1424W,  58,  989, XX,  34, NEQ,  124,  103,   81,  105,     ,     ,  30,
EP, 11, 2026090218, 03, FNV3,  66, 217N, 1424W,  58,  989, XX,  50, NEQ,   41,   30,   22,   29,     ,     ,  30,
EP, 11, 2026090218, 03, FNV3,  66, 217N, 1424W,  58,  989, XX,  64, NEQ,    5,    3,    3,    3,     ,     ,  30,
EP, 11, 2026090218, 03, FNV3,  72, 221N, 1430W,  53,  992, XX,  34, NEQ,  114,   96,   74,   93,     ,     ,  37,
EP, 11, 2026090218, 03, FNV3,  72, 221N, 1430W,  53,  992, XX,  50, NEQ,   33,   19,   13,   18,     ,     ,  37,
EP, 11, 2026090218, 03, FNV3,  72, 221N, 1430W,  53,  992, XX,  64, NEQ,    2,    2,    2,    2,     ,     ,  37,
EP, 11, 2026090218, 03, FNV3,  78, 226N, 1434W,  51,  992, XX,  34, NEQ,  111,   95,   73,   89,     ,     ,  38,
EP, 11, 2026090218, 03, FNV3,  78, 226N, 1434W,  51,  992, XX,  50, NEQ,   19,   11,    8,   11,     ,     ,  38,
EP, 11, 2026090218, 03, FNV3,  78, 226N, 1434W,  51,  992, XX,  64, NEQ,    2,    1,    1,    1,     ,     ,  38,
EP, 11, 2026090218, 03, FNV3,  84, 230N, 1438W,  47,  994, XX,  34, NEQ,   98,   84,   64,   76,     ,     ,  42,
EP, 11, 2026090218, 03, FNV3,  84, 230N, 1438W,  47,  994, XX,  50, NEQ,   13,    9,    6,    8,     ,     ,  42,
EP, 11, 2026090218, 03, FNV3,  90, 236N, 1442W,  45,  995, XX,  34, NEQ,   90,   72,   54,   68,     ,     ,  46,
EP, 11, 2026090218, 03, FNV3,  90, 236N, 1442W,  45,  995, XX,  50, NEQ,    8,    5,    2,    3,     ,     ,  46,
EP, 11, 2026090218, 03, FNV3,  96, 241N, 1447W,  41,  998, XX,  34, NEQ,   83,   64,   54,   59,     ,     ,  53,
EP, 11, 2026090218, 03, FNV3,  96, 241N, 1447W,  41,  998, XX,  50, NEQ,    1,    0,    0,    0,     ,     ,  53,
EP, 11, 2026090218, 03, FNV3, 102, 245N, 1454W,  39,  999, XX,  34, NEQ,   60,   37,   27,   37,     ,     ,  56,
EP, 11, 2026090218, 03, FNV3, 108, 248N, 1463W,  36, 1000, XX,  34, NEQ,   41,   23,   18,   28,     ,     ,  58,
EP, 11, 2026090218, 03, FNV3, 114, 252N, 1473W,  34, 1003, XX,  34, NEQ,   29,   12,    9,   17,     ,     ,  62,
EP, 11, 2026090218, 03, FNV3, 120, 254N, 1484W,  33, 1003, XX,  34, NEQ,   19,    5,    4,    7,     ,     ,  53,
EP, 11, 2026090218, 03, FNV3, 126, 256N, 1496W,  30, 1005, XX,  34, NEQ,    2,    1,    1,    3,     ,     ,  52,
EP, 11, 2026090218, 03, FNV3, 132, 262N, 1505W,  28, 1006, XX,  34, NEQ,    5,    2,    1,    2,     ,     ,  64,
EP, 12, 2026090218, 03, FNV3,   0, 133N, 1537W, 140,  927, XX,  34, NEQ,   80,   60,   60,   80,     ,     ,  10,
EP, 12, 2026090218, 03, FNV3,   0, 133N, 1537W, 140,  927, XX,  50, NEQ,   40,   35,   30,   40,     ,     ,  10,
EP, 12, 2026090218, 03, FNV3,   0, 133N, 1537W, 140,  927, XX,  64, NEQ,   30,   25,   20,   30,     ,     ,  10,
EP, 12, 2026090218, 03, FNV3,   6, 132N, 1547W, 114,  950, XX,  34, NEQ,   96,   70,   63,   92,     ,     ,  12,
EP, 12, 2026090218, 03, FNV3,   6, 132N, 1547W, 114,  950, XX,  50, NEQ,   48,   36,   29,   42,     ,     ,  12,
EP, 12, 2026090218, 03, FNV3,   6, 132N, 1547W, 114,  950, XX,  64, NEQ,   27,   22,   18,   24,     ,     ,  12,
EP, 12, 2026090218, 03, FNV3,  12, 134N, 1557W, 116,  948, XX,  34, NEQ,  108,   82,   71,  101,     ,     ,  13,
EP, 12, 2026090218, 03, FNV3,  12, 134N, 1557W, 116,  948, XX,  50, NEQ,   57,   45,   37,   51,     ,     ,  13,
