# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
EP, 11, 2026090500, 03, FNV3,   0, 206N, 1416W,  76,  978, XX,  34, NEQ,  130,   90,   80,  130,     ,     ,  25,
EP, 11, 2026090500, 03, FNV3,   0, 206N, 1416W,  76,  978, XX,  50, NEQ,   60,   50,   40,   60,     ,     ,  25,
EP, 11, 2026090500, 03, FNV3,   0, 206N, 1416W,  76,  978, XX,  64, NEQ,   30,   30,   25,   35,     ,     ,  25,
EP, 11, 2026090500, 03, FNV3,   6, 210N, 1422W,  66,  983, XX,  34, NEQ,  122,  105,   84,  107,     ,     ,  21,
EP, 11, 2026090500, 03, FNV3,   6, 210N, 1422W,  66,  983, XX,  50, NEQ,   50,   41,   30,   41,     ,     ,  21,
EP, 11, 2026090500, 03, FNV3,   6, 210N, 1422W,  66,  983, XX,  64, NEQ,   14,    9,    7,    9,     ,     ,  21,
EP, 11, 2026090500, 03, FNV3,  12, 213N, 1428W,  65,  984, XX,  34, NEQ,  122,  101,   81,  105,     ,     ,  21,
EP, 11, 2026090500, 03, FNV3,  12, 213N, 1428W,  65,  984, XX,  50, NEQ,   51,   42,   31,   42,     ,     ,  21,
EP, 11, 2026090500, 03, FNV3,  12, 213N, 1428W,  65,  984, XX,  64, NEQ,   13,    9,    7,    9,     ,     ,  21,
EP, 11, 2026090500, 03, FNV3,  18, 216N, 1433W,  58,  988, XX,  34, NEQ,  120,  104,   83,  102,     ,     ,  26,
EP, 11, 2026090500, 03, FNV3,  18, 216N, 1433W,  58,  988, XX,  50, NEQ,   44,   32,   23,   30,     ,     ,  26,
EP, 11, 2026090500, 03, FNV3,  18, 216N, 1433W,  58,  988, XX,  64, NEQ,    2,    1,    1,    1,     ,     ,  26,
EP, 11, 2026090500, 03, FNV3,  24, 220N, 1437W,  55,  989, XX,  34, NEQ,  114,  100,   78,   95,     ,     ,  31,
EP, 11, 2026090500, 03, FNV3,  24, 220N, 1437W,  55,  989, XX,  50, NEQ,   31,   22,   14,   19,     ,     ,  31,
EP, 11, 2026090500, 03, FNV3,  24, 220N, 1437W,  55,  989, XX,  64, NEQ,    1,    0,    0,    0,     ,     ,  31,
EP, 11, 2026090500, 03, FNV3,  30, 223N, 1440W,  52,  992, XX,  34, NEQ,  109,   97,   77,   91,     ,     ,  35,
EP, 11, 2026090500, 03, FNV3,  30, 223N, 1440W,  52,  992, XX,  50, NEQ,   22,   12,    8,   11,     ,     ,  35,
EP, 11, 2026090500, 03, FNV3,  30, 223N, 1440W,  52,  992, XX,  64, NEQ,    1,    1,    1,    1,     ,     ,  35,
EP, 11, 2026090500, 03, FNV3,  36, 226N, 1445W,  46,  996, XX,  34, NEQ,  112,   95,   74,   89,     ,     ,  44,
EP, 11, 2026090500, 03, FNV3,  36, 226N, 1445W,  46,  996, XX,  50, NEQ,    6,    4,    1,    2,     ,     ,  44,
EP, 11, 2026090500, 03, FNV3,  42, 229N, 1449W,  42,  997, XX,  34, NEQ,   80,   60,   46,   58,     ,     ,  48,
EP, 11, 2026090500, 03, FNV3,  42, 229N, 1449W,  42,  997, XX,  50, NEQ,    2,    0,    1,    0,     ,     ,  48,
EP, 11, 2026090500, 03, FNV3,  48, 230N, 1456W,  40,  999, XX,  34, NEQ,   64,   40,   32,   42,     ,     ,  47,
EP, 11, 2026090500, 03, FNV3,  54, 230N, 1465W,  37, 1000, XX,  34, NEQ,   37,   19,   16,   25,     ,     ,  52,
EP, 11, 2026090500, 03, FNV3,  60, 231N, 1475W,  32, 1003, XX,  34, NEQ,   15,    2,    0,    2,     ,     ,  56,
EP, 11, 2026090500, 03, FNV3,  66, 231N, 1485W,  33, 1003, XX,  34, NEQ,   13,    1,    1,    4,     ,     ,  57,
EP, 11, 2026090500, 03, FNV3,  72, 234N, 1499W,  29, 1005, XX,  34, NEQ,    2,    0,    0,    0,     ,     ,  53,
EP, 11, 2026090500, 03, FNV3,  78, 237N, 1514W,  30, 1005, XX,  34, NEQ,   11,    5,    3,    5,     ,     ,  56,
EP, 12, 2026090500, 03, FNV3,   0, 132N, 1611W, 130,  924, XX,  34, NEQ,  130,  110,  100,  140,     ,     ,  15,
EP, 12, 2026090500, 03, FNV3,   0, 132N, 1611W, 130,  924, XX,  50, NEQ,   80,   70,   60,   70,     ,     ,  15,
EP, 12, 2026090500, 03, FNV3,   0, 132N, 1611W, 130,  924, XX,  64, NEQ,   50,   40,   35,   40,     ,     ,  15,
EP, 12, 2026090500, 03, FNV3,   6, 132N, 1617W, 116,  943, XX,  34, NEQ,  129,  108,   96,  123,     ,     ,  19,
EP, 12, 2026090500, 03, FNV3,   6, 132N, 1617W, 116,  943, XX,  50, NEQ,   69,   58,   49,   62,     ,     ,  19,
EP, 12, 2026090500, 03, FNV3,   6, 132N, 1617W, 116,  943, XX,  64, NEQ,   40,   35,   30,   36,     ,     ,  19,
EP, 12, 2026090500, 03, FNV3,  12, 133N, 1624W, 113,  945, XX,  34, NEQ,  132,  106,   93,  123,     ,     ,  19,
EP, 12, 2026090500, 03, FNV3,  12, 133N, 1624W, 113,  945, XX,  50, NEQ,   68,   56,   47,   61,     ,     ,  19,
EP, 12, 2026090500, 03, FNV3,  12, 133N, 1624W, 113,  945, XX,  64, NEQ,   40,   35,   29,   35,     ,     ,  19,
EP, 12, 2026090500, 03, FNV3,  18, 135N, 1629W, 119,  941, XX,  34, NEQ,  131,  111,   96,  122,     ,     ,  17,
EP, 12, 2026090500, 03, FNV3,  18, 135N, 1629W, 119,  941, XX,  50, NEQ,   66,   56,   48,   59,     ,     ,  17,
EP, 12, 2026090500, 03, FNV3,  18, 135N, 1629W, 119,  941, XX,  64, NEQ,   38,   34,   28,   34,     ,     ,  17,
EP, 12, 2026090500, 03, FNV3,  24, 138N, 1634W, 116,  944, XX,  34, NEQ,  134,  114,   93,  120,     ,     ,  18,
EP, 12, 2026090500, 03, FNV3,  24, 138N, 1634W, 116,  944, XX,  50, NEQ,   63,   53,   42,   55,     ,     ,  18,
EP, 12, 2026090500, 03, FNV3,  24, 138N, 1634W, 116,  944, XX,  64, NEQ,   36,   31,   25,   31,     ,     ,  18,
EP, 12, 2026090500, 03, FNV3,  30, 142N, 1639W, 120,  939, XX,  34, NEQ,  140,  121,  101,  125,     ,     ,  18,
EP, 12, 2026090500, 03, FNV3,  30, 142N, 1639W, 120,  939, XX,  50, NEQ,   66,   57,   47,   58,     ,     ,  18,
EP, 12, 2026090500, 03, FNV3,  30, 142N, 1639W, 120,  939, XX,  64, NEQ,   37,   33,   28,   32,     ,     ,  18,
EP, 12, 2026090500, 03, FNV3,  36, 146N, 1642W, 113,  944, XX,  34, NEQ,  130,  115,   88,  110,     ,     ,  15,
EP, 12, 2026090500, 03, FNV3,  36, 146N, 1642W, 113,  944, XX,  50, NEQ,   59,   50,   39,   50,     ,     ,  15,
EP, 12, 2026090500, 03, FNV3,  36, 146N, 1642W, 113,  944, XX,  64, NEQ,   33,   28,   23,   28,     ,     ,  15,
EP, 12, 2026090500, 03, FNV3,  42, 151N, 1644W, 112,  946, XX,  34, NEQ,  134,  125,   93,  111,     ,     ,  17,
EP, 12, 2026090500, 03, FNV3,  42, 151N, 1644W, 112,  946, XX,  50, NEQ,   58,   51,   38,   48,     ,     ,  17,
EP, 12, 2026090500, 03, FNV3,  42, 151N, 1644W, 112,  946, XX,  64, NEQ,   30,   28,   22,   25,     ,     ,  17,
EP, 12, 2026090500, 03, FNV3,  48, 157N, 1645W, 112,  946, XX,  34, NEQ,  125,  120,   89,  102,     ,     ,  13,
EP, 12, 2026090500, 03, FNV3,  48, 157N, 1645W, 112,  946, XX,  50, NEQ,   49,   44,   33,   40,     ,     ,  13,
EP, 12, 2026090500, 03, FNV3,  48, 157N, 1645W, 112,  946, XX,  64, NEQ,   27,   24,   19,   22,     ,     ,  13,
EP, 12, 2026090500, 03, FNV3,  54, 163N, 1644W, 112,  946, XX,  34, NEQ,  127,  128,   94,  101,     ,     ,  14,
EP, 12, 2026090500, 03, FNV3,  54, 163N, 1644W, 112,  946, XX,  50, NEQ,   53,   51,   39,   43,     ,     ,  14,
EP, 12, 2026090500, 03, FNV3,  54, 163N, 1644W, 112,  946, XX,  64, NEQ,   30,   27,   22,   24,     ,     ,  14,
EP, 12, 2026090500, 03, FNV3,  60, 171N, 1641W, 103,  954, XX,  34, NEQ,  125,  126,   89,   99,     ,     ,  12,
EP, 12, 2026090500, 03, FNV3,  60, 171N, 1641W, 103,  954, XX,  50, NEQ,   52,   50,   37,   42,     ,     ,  12,
EP, 12, 2026090500, 03, FNV3,  60, 171N, 1641W, 103,  954, XX,  64, NEQ,   27,   25,   20,   22,     ,     ,  12,
EP, 12, 2026090500, 03, FNV3,  66, 179N, 1637W,  99,  957, XX,  34, NEQ,  122,  130,   89,   93,     ,     ,  17,
EP, 12, 2026090500, 03, FNV3,  66, 179N, 1637W,  99,  957, XX,  50, NEQ,   56,   56,   42,   45,     ,     ,  17,
EP, 12, 2026090500, 03, FNV3,  66, 179N, 1637W,  99,  957, XX,  64, NEQ,   31,   29,   23,   25,     ,     ,  17,
EP, 12, 2026090500, 03, FNV3,  72, 192N, 1632W,  98,  958, XX,  34, NEQ,  129,  133,   91,   99,     ,     ,  12,
EP, 12, 2026090500, 03, FNV3,  72, 192N, 1632W,  98,  958, XX,  50, NEQ,   60,   58,   43,   48,     ,     ,  12,
EP, 12, 2026090500, 03, FNV3,  72, 192N, 1632W,  98,  958, XX,  64, NEQ,   31,   30,   23,   26,     ,     ,  12,
EP, 12, 2026090500, 03, FNV3,  78, 205N, 1628W,  90,  965, XX,  34, NEQ,  127,  128,   90,   97,     ,     ,  18,
EP, 12, 2026090500, 03, FNV3,  78, 205N, 1628W,  90,  965, XX,  50, NEQ,   57,   55,   41,   46,     ,     ,  18,
EP, 12, 2026090500, 03, FNV3,  78, 205N, 1628W,  90,  965, XX,  64, NEQ,   28,   26,   21,   23,     ,     ,  18,
EP, 12, 2026090500, 03, FNV3,  84, 220N, 1624W,  82,  970, XX,  34, NEQ,  134,  129,   91,  103,     ,     ,  20,
EP, 12, 2026090500, 03, FNV3,  84, 220N, 1624W,  82,  970, XX,  50, NEQ,   62,   59,   44,   50,     ,     ,  20,
EP, 12, 2026090500, 03, FNV3,  84, 220N, 1624W,  82,  970, XX,  64, NEQ,   29,   26,   20,   22,     ,     ,  20,
EP, 12, 2026090500, 03, FNV3,  90, 234N, 1622W,  72,  977, XX,  34, NEQ,  131,  130,   90,  102,     ,     ,  24,
EP, 12, 2026090500, 03, FNV3,  90, 234N, 1622W,  72,  977, XX,  50, NEQ,   52,   49,   35,   40,     ,     ,  24,
EP, 12, 2026090500, 03, FNV3,  90, 234N, 1622W,  72,  977, XX,  64, NEQ,   21,   18,   12,   14,     ,     ,  24,
EP, 12, 2026090500, 03, FNV3,  96, 247N, 1620W,  66,  981, XX,  34, NEQ,  132,  127,   89,  101,     ,     ,  28,
EP, 12, 2026090500, 03, FNV3,  96, 247N, 1620W,  66,  981, XX,  50, NEQ,   40,   38,   23,   28,     ,     ,  28,
EP, 12, 2026090500, 03, FNV3,  96, 247N, 1620W,  66,  981, XX,  64, NEQ,   10,   11,    5,    6,     ,     ,  28,
EP, 12, 2026090500, 03, FNV3, 102, 256N, 1620W,  57,  987, XX,  34, NEQ,  123,  116,   84,   96,     ,     ,  36,
EP, 12, 2026090500, 03, FNV3, 102, 256N, 1620W,  57,  987, XX,  50, NEQ,   33,   25,   17,   20,     ,     ,  36,
EP, 12, 2026090500, 03, FNV3, 102, 256N, 1620W,  57,  987, XX,  64, NEQ,    4,    3,    2,    2,     ,     ,  36,
EP, 12, 2026090500, 03, FNV3, 108, 264N, 1623W,  52,  990, XX,  34, NEQ,  107,   93,   68,   82,     ,     ,  38,
EP, 12, 2026090500, 03, FNV3, 108, 264N, 1623W,  52,  990, XX,  50, NEQ,   19,   10,    6,    8,     ,     ,  38,
EP, 12, 2026090500, 03, FNV3, 108, 264N, 1623W,  52,  990, XX,  64, NEQ,    2,    1,    0,    1,     ,     ,  38,
EP, 12, 2026090500, 03, FNV3, 114, 271N, 1629W,  45,  993, XX,  34, NEQ,   96,   79,   59,   72,     ,     ,  50,
EP, 12, 2026090500, 03, FNV3, 114, 271N, 1629W,  45,  993, XX,  50, NEQ,   10,    2,    2,    2,     ,     ,  50,
EP, 12, 2026090500, 03, FNV3, 114, 271N, 1629W,  45,  993, XX,  64, NEQ,    1,    0,    0,    0,     ,     ,  50,
EP, 12, 2026090500, 03, FNV3, 120, 275N, 1636W,  42,  996, XX,  34, NEQ,   82,   62,   45,   59,     ,     ,  51,
EP, 12, 2026090500, 03, FNV3, 120, 275N, 1636W,  42,  996, XX,  50, NEQ,    3,    1,    0,    0,     ,     ,  51,
EP, 12, 2026090500, 03, FNV3, 126, 277N, 1644W,  41,  997, XX,  34, NEQ,   73,   52,   39,   49,     ,     ,  53,
EP, 12, 2026090500, 03, FNV3, 126, 277N, 1644W,  41,  997, XX,  50, NEQ,    2,    0,    0,    1,     ,     ,  53,
EP, 12, 2026090500, 03, FNV3, 132, 278N, 1652W,  38,  999, XX,  34, NEQ,   54,   32,   23,   31,     ,     ,  59,
EP, 12, 2026090500, 03, FNV3, 138, 281N, 1658W,  37, 1000, XX,  34, NEQ,   59,   43,   34,   43,     ,     ,  58,
EP, 12, 2026090500, 03, FNV3, 144, 282N, 1664W,  36, 1000, XX,  34, NEQ,   43,   19,   14,   19,     ,     ,  62,
EP, 12, 2026090500, 03, FNV3, 150, 284N, 1668W,  34, 1000, XX,  34, NEQ,   42,   23,   18,   21,     ,     ,  61,
EP, 12, 2026090500, 03, FNV3, 150, 284N, 1668W,  34, 1000, XX,  50, NEQ,    3,    1,    0,    1,     ,     ,  61,
EP, 12, 2026090500, 03, FNV3, 156, 285N, 1676W,  33, 1001, XX,  34, NEQ,   37,   15,   12,   17,     ,     ,  62,
